Sr. No,Security Symbol,Security Name,Industry,Equity,Free Float Market Capitalisation for Sep 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sep 2014
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,-,13091,0.49,-,-,-,-,-
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,-,16400,0.61,-,-,-,-,-
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,-,28507,1.06,-,-,-,-,-
4,AXISBANK,Axis Bank Ltd.,BANKS,-,63090,2.35,-,-,-,-,-
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,-,31558,1.17,-,-,-,-,-
6,BANKBARODA,Bank of Baroda,BANKS,-,16949,0.63,-,-,-,-,-
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,-,56087,2.09,-,-,-,-,-
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,-,18124,0.67,-,-,-,-,-
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,-,16937,0.63,-,-,-,-,-
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,-,17696,0.66,-,-,-,-,-
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,-,31806,1.18,-,-,-,-,-
12,COALINDIA,Coal India Ltd.,MINING,-,22313,0.83,-,-,-,-,-
13,DLF,DLF Ltd.,CONSTRUCTION,-,6741,0.25,-,-,-,-,-
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,-,40989,1.52,-,-,-,-,-
15,GAIL,GAIL (India) Ltd.,GAS,-,20893,0.78,-,-,-,-,-
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,-,22571,0.84,-,-,-,-,-
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,-,46070,1.71,-,-,-,-,-
18,HDFC,"Housing Development Finance
Corporation Ltd.",FINANCE - HOUSING,-,165463,6.15,-,-,-,-,-
19,HDFCBANK,HDFC Bank Ltd.,BANKS,-,163044,6.06,-,-,-,-,-
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,-,34068,1.27,-,-,-,-,-
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,-,20164,0.75,-,-,-,-,-
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,-,52847,1.97,-,-,-,-,-
23,ICICIBANK,ICICI Bank Ltd.,BANKS,-,165842,6.17,-,-,-,-,-
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,-,17234,0.64,-,-,-,-,-
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,-,26759,1,-,-,-,-,-
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,-,180914,6.73,-,-,-,-,-
27,ITC,I T C Ltd.,CIGARETTES,-,205481,7.64,-,-,-,-,-
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,-,6258,0.23,-,-,-,-,-
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,-,43275,1.61,-,-,-,-,-
30,LT,Larsen & Toubro Ltd.,ENGINEERING,-,119052,4.43,-,-,-,-,-
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,-,33358,1.24,-,-,-,-,-
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,-,62648,2.33,-,-,-,-,-
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,-,40519,1.51,-,-,-,-,-
34,NMDC,NMDC Ltd.,MINING,-,13112,0.49,-,-,-,-,-
35,NTPC,NTPC Ltd.,POWER,-,28722,1.07,-,-,-,-,-
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,-,73302,2.73,-,-,-,-,-
37,PNB,Punjab National Bank,BANKS,-,13212,0.49,-,-,-,-,-
38,POWERGRID,Power Grid Corporation of India Ltd.,POWER,-,29792,1.11,-,-,-,-,-
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,-,155655,5.79,-,-,-,-,-
40,SBIN,State Bank of India,BANKS,-,75600,2.81,-,-,-,-,-
41,SSLT,Sesa Sterlite Ltd.,MINING,-,31984,1.19,-,-,-,-,-
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,-,64535,2.4,-,-,-,-,-
43,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,-,90244,3.36,-,-,-,-,-
44,TATAPOWER,Tata Power Co. Ltd.,POWER,-,15041,0.56,-,-,-,-,-
45,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,-,30605,1.14,-,-,-,-,-
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,-,139924,5.2,-,-,-,-,-
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,-,37351,1.39,-,-,-,-,-
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,-,26932,1,-,-,-,-,-
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,-,39109,1.45,-,-,-,-,-
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,-,17177,0.64,-,-,-,-,-
