Sr. No,Security Symbol,Security Name,Industry,Equity,Free Float Market Capitalisation for May 2018,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2018
1,ADANIPORTS,"Adani Ports and Special Economic
Zone Ltd.",SERVICES,-,27612,0.65,-,-,-,-,-
2,ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,-,58817,1.39,-,-,-,-,-
3,AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,-,93857,2.22,-,-,-,-,-
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,-,37405,0.88,-,-,-,-,-
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,-,49998,1.18,-,-,-,-,-
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,-,36538,0.86,-,-,-,-,-
7,BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,-,31546,0.75,-,-,-,-,-
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOM,-,49283,1.17,-,-,-,-,-
9,INFRATEL,Bharti Infratel Ltd.,TELECOM,-,25410,0.6,-,-,-,-,-
10,CIPLA,Cipla Ltd.,PHARMA,-,26619,0.63,-,-,-,-,-
11,COALINDIA,Coal India Ltd.,METALS,-,38618,0.91,-,-,-,-,-
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,-,23455,0.55,-,-,-,-,-
13,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,-,41108,0.97,-,-,-,-,-
14,GAIL,GAIL (India) Ltd.,ENERGY,-,30861,0.73,-,-,-,-,-
15,GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,-,41010,0.97,-,-,-,-,-
16,HCLTECH,HCL Technologies Ltd.,IT,-,50696,1.2,-,-,-,-,-
17,HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,-,438389,10.37,-,-,-,-,-
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,-,46017,1.09,-,-,-,-,-
19,HINDALCO,Hindalco Industries Ltd.,METALS,-,34175,0.81,-,-,-,-,-
20,HINDPETRO,"Hindustan Petroleum Corporation
Ltd.",ENERGY,-,23285,0.55,-,-,-,-,-
21,HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,-,115103,2.72,-,-,-,-,-
22,HDFC,"Housing Development Finance
Corporation Ltd.",FINANCIAL SERVICES,-,306962,7.26,-,-,-,-,-
23,ITC,I T C Ltd.,CONSUMER GOODS,-,231977,5.49,-,-,-,-,-
24,ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,-,183665,4.35,-,-,-,-,-
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,-,40284,0.95,-,-,-,-,-
26,IOC,Indian Oil Corporation Ltd.,ENERGY,-,37198,0.88,-,-,-,-,-
27,INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,-,99765,2.36,-,-,-,-,-
28,INFY,Infosys Ltd.,IT,-,234064,5.54,-,-,-,-,-
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,-,178013,4.21,-,-,-,-,-
30,LT,Larsen & Toubro Ltd.,CONSTRUCTION,-,168998,4,-,-,-,-,-
31,LUPIN,Lupin Ltd.,PHARMA,-,18458,0.44,-,-,-,-,-
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,-,86055,2.04,-,-,-,-,-
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,-,113472,2.68,-,-,-,-,-
34,NTPC,NTPC Ltd.,ENERGY,-,52498,1.24,-,-,-,-,-
35,ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,-,50227,1.19,-,-,-,-,-
36,POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,-,47118,1.11,-,-,-,-,-
37,RELIANCE,Reliance Industries Ltd.,ENERGY,-,317709,7.52,-,-,-,-,-
38,SBIN,State Bank of India,FINANCIAL SERVICES,-,100051,2.37,-,-,-,-,-
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,-,53016,1.25,-,-,-,-,-
40,TCS,Tata Consultancy Services Ltd.,IT,-,173309,4.1,-,-,-,-,-
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,-,52203,1.24,-,-,-,-,-
42,TATASTEEL,Tata Steel Ltd.,METALS,-,44749,1.06,-,-,-,-,-
43,TECHM,Tech Mahindra Ltd.,IT,-,44664,1.06,-,-,-,-,-
44,TITAN,Titan Company Ltd.,CONSUMER GOODS,-,37558,0.89,-,-,-,-,-
45,UPL,UPL Ltd.,FERTILISERS & PESTICIDES,-,25949,0.61,-,-,-,-,-
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,-,39079,0.92,-,-,-,-,-
47,VEDL,Vedanta Ltd.,METALS,-,46149,1.09,-,-,-,-,-
48,WIPRO,Wipro Ltd.,IT,-,29619,0.7,-,-,-,-,-
49,YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,-,63783,1.51,-,-,-,-,-
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,-,30441,0.72,-,-,-,-,-
