"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2014","EQ","1,670.25","1,697.00","1,670.25","1,676.20","1,690.00","1,689.15","1,687.74","1,916.15","1,032.25","78,383","13,22,90,128.40","5,454"
"30-Dec-2014","EQ","1,680.00","1,691.20","1,670.05","1,677.30","1,678.00","1,676.20","1,679.81","1,916.15","1,032.25","46,206","7,76,17,496.45","3,132"
"29-Dec-2014","EQ","1,670.00","1,709.25","1,670.00","1,669.80","1,676.10","1,677.30","1,687.88","1,916.15","1,032.25","1,17,300","19,79,88,013.00","5,337"
"26-Dec-2014","EQ","1,657.00","1,693.40","1,657.00","1,666.60","1,666.05","1,669.80","1,677.50","1,916.15","1,032.25","1,07,969","18,11,17,998.70","4,499"
"24-Dec-2014","EQ","1,648.65","1,676.25","1,641.00","1,657.00","1,667.90","1,666.60","1,663.71","1,916.15","1,032.25","1,85,773","30,90,72,112.10","6,222"
"23-Dec-2014","EQ","1,680.10","1,699.25","1,650.35","1,681.00","1,650.55","1,657.00","1,666.85","1,916.15","1,032.25","99,699","16,61,83,272.40","4,998"
"22-Dec-2014","EQ","1,670.00","1,693.00","1,665.05","1,684.90","1,687.45","1,681.00","1,677.22","1,916.15","1,032.25","1,06,312","17,83,08,613.90","5,302"
"19-Dec-2014","EQ","1,704.00","1,719.55","1,673.85","1,700.35","1,680.00","1,684.90","1,696.05","1,916.15","1,032.25","1,34,003","22,72,76,113.60","7,032"
"18-Dec-2014","EQ","1,602.00","1,713.65","1,602.00","1,600.50","1,699.70","1,700.35","1,673.26","1,916.15","1,032.25","1,89,501","31,70,83,524.00","12,673"
"17-Dec-2014","EQ","1,590.50","1,612.75","1,550.00","1,605.20","1,600.00","1,600.50","1,587.33","1,916.15","1,032.25","4,44,006","70,47,83,652.30","11,874"
"16-Dec-2014","EQ","1,650.00","1,674.95","1,600.00","1,664.45","1,609.00","1,605.20","1,621.18","1,916.15","1,032.25","1,17,423","19,03,64,394.95","7,643"
"15-Dec-2014","EQ","1,650.00","1,675.70","1,575.00","1,662.40","1,656.05","1,664.45","1,657.21","1,916.15","1,032.25","83,051","13,76,33,059.60","6,263"
"12-Dec-2014","EQ","1,698.25","1,708.00","1,656.35","1,698.05","1,657.15","1,662.40","1,679.23","1,916.15","1,032.25","1,32,065","22,17,67,830.05","7,329"
"11-Dec-2014","EQ","1,742.00","1,742.00","1,691.00","1,734.05","1,693.10","1,698.05","1,715.50","1,916.15","1,032.25","1,50,323","25,78,79,377.65","7,209"
"10-Dec-2014","EQ","1,710.25","1,758.80","1,710.25","1,720.70","1,735.00","1,734.05","1,738.07","1,916.15","1,032.25","1,53,285","26,64,20,305.80","15,200"
"09-Dec-2014","EQ","1,763.30","1,790.00","1,705.50","1,763.30","1,718.05","1,720.70","1,743.33","1,916.15","1,032.25","1,57,360","27,43,30,461.40","7,794"
"08-Dec-2014","EQ","1,765.00","1,787.85","1,750.50","1,771.10","1,758.50","1,763.30","1,765.53","1,916.15","1,032.25","1,44,274","25,47,20,382.65","6,299"
"05-Dec-2014","EQ","1,786.00","1,811.00","1,766.50","1,786.60","1,768.25","1,771.10","1,788.59","1,916.15","1,032.25","72,082","12,89,25,145.05","5,583"
"04-Dec-2014","EQ","1,818.00","1,824.05","1,782.50","1,805.15","1,782.50","1,786.60","1,796.84","1,916.15","1,032.25","1,10,462","19,84,82,892.30","9,453"
"03-Dec-2014","EQ","1,790.00","1,820.00","1,770.00","1,765.80","1,808.80","1,805.15","1,807.33","1,916.15","1,032.25","2,55,976","46,26,34,204.80","12,450"
"02-Dec-2014","EQ","1,776.00","1,791.75","1,753.60","1,775.00","1,766.70","1,765.80","1,768.88","1,916.15","1,032.25","85,005","15,03,63,410.80","7,183"
"01-Dec-2014","EQ","1,782.00","1,802.90","1,770.10","1,794.95","1,771.00","1,775.00","1,779.16","1,916.15","1,032.25","90,058","16,02,27,200.45","5,566"
"28-Nov-2014","EQ","1,761.00","1,798.90","1,753.05","1,754.65","1,787.00","1,794.95","1,779.97","1,916.15","1,032.25","2,84,186","50,58,42,437.45","14,735"
"27-Nov-2014","EQ","1,730.20","1,773.80","1,730.20","1,740.50","1,757.00","1,754.65","1,758.98","1,916.15","1,032.25","2,59,366","45,62,18,403.25","9,484"
"26-Nov-2014","EQ","1,720.00","1,755.00","1,710.00","1,718.40","1,739.35","1,740.50","1,736.76","1,916.15","1,032.25","1,87,441","32,55,40,752.55","8,296"
"25-Nov-2014","EQ","1,759.50","1,770.00","1,706.05","1,765.55","1,720.00","1,718.40","1,727.77","1,916.15","1,032.25","1,93,626","33,45,41,276.85","10,812"
"24-Nov-2014","EQ","1,763.15","1,781.90","1,746.95","1,769.75","1,770.00","1,765.55","1,764.66","1,916.15","1,032.25","1,19,749","21,13,15,998.80","6,937"
"21-Nov-2014","EQ","1,766.60","1,796.95","1,765.00","1,764.65","1,766.15","1,769.75","1,778.34","1,916.15","1,032.25","56,597","10,06,48,642.35","3,006"
"20-Nov-2014","EQ","1,775.00","1,813.65","1,756.75","1,769.05","1,771.80","1,764.65","1,777.76","1,916.15","1,032.25","2,17,320","38,63,42,542.40","8,809"
"19-Nov-2014","EQ","1,804.05","1,818.30","1,764.00","1,807.70","1,769.95","1,769.05","1,785.74","1,916.15","1,032.25","79,295","14,16,00,418.75","6,398"
"18-Nov-2014","EQ","1,803.00","1,818.00","1,795.00","1,795.20","1,802.00","1,807.70","1,806.49","1,916.15","1,032.25","1,29,458","23,38,65,026.80","13,637"
"17-Nov-2014","EQ","1,814.00","1,828.35","1,784.10","1,802.50","1,797.50","1,795.20","1,796.44","1,916.15","1,032.25","1,01,910","18,30,75,091.70","5,087"
"14-Nov-2014","EQ","1,820.05","1,831.55","1,782.25","1,817.85","1,800.00","1,802.50","1,806.92","1,916.15","1,032.25","1,54,575","27,93,04,160.05","7,144"
"13-Nov-2014","EQ","1,836.00","1,916.15","1,799.00","1,816.50","1,811.05","1,817.85","1,833.89","1,916.15","1,032.25","3,49,909","64,16,94,657.40","15,832"
"12-Nov-2014","EQ","1,734.00","1,826.75","1,718.50","1,726.95","1,822.55","1,816.50","1,778.40","1,826.75","1,032.25","7,64,214","1,35,90,78,012.40","31,959"
