"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","80.40","81.50","79.40","79.10","79.50","79.95","80.31","159.00","76.50","2,87,744","2,31,09,169.85","5,124"
"29-Dec-2011","EQ","80.45","82.05","78.50","80.85","79.05","79.10","79.85","159.00","76.50","5,74,977","4,59,13,598.45","4,303"
"28-Dec-2011","EQ","81.00","81.45","79.75","81.25","80.80","80.85","80.63","159.00","76.50","3,44,771","2,78,00,344.65","3,640"
"27-Dec-2011","EQ","84.85","84.95","80.30","84.45","81.70","81.25","82.34","159.00","76.50","3,38,370","2,78,60,564.05","3,633"
"26-Dec-2011","EQ","84.55","84.85","83.85","83.85","84.30","84.45","84.40","159.00","76.50","1,51,313","1,27,70,667.20","2,310"
"23-Dec-2011","EQ","87.00","88.05","83.00","86.25","83.80","83.85","85.52","159.00","76.50","4,52,176","3,86,72,295.50","4,910"
"22-Dec-2011","EQ","83.70","86.90","81.40","83.70","85.65","86.25","84.37","159.00","76.50","4,50,824","3,80,34,919.85","4,350"
"21-Dec-2011","EQ","83.00","84.60","80.85","81.85","84.30","83.70","83.00","159.00","76.50","3,44,672","2,86,09,262.60","6,311"
"20-Dec-2011","EQ","84.00","85.50","76.50","84.95","81.85","81.85","82.88","159.00","76.50","2,70,879","2,24,50,707.25","3,644"
"19-Dec-2011","EQ","88.00","89.00","84.65","89.20","84.75","84.95","85.97","159.00","84.65","4,34,013","3,73,11,118.80","5,939"
"16-Dec-2011","EQ","93.70","93.70","88.05","91.65","89.70","89.20","91.49","159.00","88.05","4,31,509","3,94,76,978.35","4,717"
"15-Dec-2011","EQ","93.80","93.80","91.00","92.85","91.35","91.65","91.73","159.00","91.00","2,55,763","2,34,60,138.95","2,650"
"14-Dec-2011","EQ","92.35","94.70","92.25","93.20","93.00","92.85","93.39","159.00","92.10","2,46,989","2,30,66,280.05","3,914"
"13-Dec-2011","EQ","94.05","94.45","92.10","94.60","93.50","93.20","93.00","159.00","92.10","3,02,858","2,81,64,382.65","4,098"
