"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2008","EQ","173.00","175.00","168.40","172.15","171.60","172.05","171.23","342.70","88.20","20,62,601","35,31,73,942.70","-"
"30-Dec-2008","EQ","175.00","176.90","167.20","172.25","171.40","172.15","171.18","342.70","88.20","35,74,730","61,19,15,102.95","-"
"29-Dec-2008","EQ","161.20","175.40","161.20","159.70","173.95","172.25","166.00","342.70","88.20","53,09,293","88,13,20,961.10","-"
"26-Dec-2008","EQ","163.00","163.00","157.00","160.00","161.10","159.70","160.21","342.70","88.20","23,90,921","38,30,43,783.80","-"
"24-Dec-2008","EQ","159.05","163.20","156.00","157.90","162.75","160.00","160.70","342.70","88.20","54,22,466","87,13,94,549.75","-"
"23-Dec-2008","EQ","159.00","162.80","155.30","159.95","158.40","157.90","157.57","342.70","88.20","26,03,024","41,01,60,184.80","-"
"22-Dec-2008","EQ","155.10","166.35","155.05","152.95","160.00","159.95","162.06","342.70","88.20","58,76,860","95,24,07,058.00","-"
"19-Dec-2008","EQ","155.00","157.00","146.50","159.75","152.50","152.95","153.05","342.70","88.20","52,70,088","80,65,70,320.55","-"
"18-Dec-2008","EQ","162.00","165.80","148.50","166.25","160.00","159.75","155.13","342.70","88.20","68,20,007","1,05,80,12,441.25","-"
"17-Dec-2008","EQ","174.95","174.95","164.25","170.10","165.00","166.25","168.38","342.70","88.20","41,36,470","69,64,96,398.85","-"
"16-Dec-2008","EQ","160.00","172.05","160.00","164.30","172.05","170.10","167.80","342.70","88.20","53,05,692","89,02,72,861.65","-"
"15-Dec-2008","EQ","153.25","170.85","152.75","151.65","165.55","164.30","165.10","342.70","88.20","62,62,291","1,03,38,81,159.85","-"
"12-Dec-2008","EQ","144.00","155.65","142.70","147.40","153.05","151.65","151.50","342.70","88.20","58,01,070","87,88,33,597.35","-"
"11-Dec-2008","EQ","151.00","154.55","146.10","150.10","147.40","147.40","150.23","342.70","88.20","47,19,041","70,89,36,492.90","-"
"10-Dec-2008","EQ","145.00","152.40","144.05","142.85","148.30","150.10","148.13","342.70","88.20","54,54,426","80,79,37,956.20","-"
"08-Dec-2008","EQ","137.90","147.50","136.15","133.85","143.75","142.85","141.30","342.70","88.20","50,37,015","71,17,39,490.40","-"
"05-Dec-2008","EQ","135.50","140.00","133.20","139.95","134.15","133.85","136.93","342.70","88.20","30,87,991","42,28,33,611.55","-"
"04-Dec-2008","EQ","133.00","141.55","130.25","134.85","139.65","139.95","135.58","342.70","88.20","35,38,629","47,97,63,519.45","-"
"03-Dec-2008","EQ","136.00","136.50","132.00","134.80","134.00","134.85","133.83","342.70","88.20","28,39,210","37,99,77,948.50","-"
"02-Dec-2008","EQ","131.50","135.90","129.10","140.30","134.60","134.80","132.12","342.70","88.20","25,99,315","34,34,24,933.75","-"
"01-Dec-2008","EQ","142.00","148.50","138.60","141.65","139.70","140.30","145.08","342.70","88.20","28,75,884","41,72,36,352.75","-"
