Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-2015,EQ,137.5,138.95,136.35,137.15,137.95,138.1,137.68,262.5,120.75,"15,29,966","21,06,46,472.05","15,333"
30-Dec-2015,EQ,139.0,139.8,136.75,137.9,137.3,137.15,138.45,262.5,120.75,"12,48,293","17,28,26,117.35","12,736"
29-Dec-2015,EQ,137.55,139.5,136.5,139.05,137.95,137.9,138.03,262.5,120.75,"16,04,737","22,15,03,060.70","21,282"
28-Dec-2015,EQ,139.6,140.5,138.35,138.65,138.65,139.05,139.71,262.5,120.75,"12,15,599","16,98,35,642.40","13,888"
24-Dec-2015,EQ,136.55,139.7,136.5,135.35,138.5,138.65,138.83,262.5,120.75,"21,49,691","29,84,31,721.70","14,659"
23-Dec-2015,EQ,134.1,136.15,134.0,133.15,134.9,135.35,135.22,262.5,120.75,"9,56,442","12,93,29,994.40","9,057"
22-Dec-2015,EQ,133.5,135.7,132.35,134.05,133.0,133.15,133.92,262.5,120.75,"14,05,943","18,82,86,553.80","16,808"
21-Dec-2015,EQ,128.95,134.7,128.0,130.2,133.75,134.05,132.41,262.5,120.75,"21,29,547","28,19,76,198.40","14,479"
18-Dec-2015,EQ,128.2,131.0,128.1,130.0,129.75,130.2,129.71,262.5,120.75,"22,26,920","28,88,60,994.00","17,876"
17-Dec-2015,EQ,130.0,132.0,128.1,131.3,129.7,130.0,129.37,262.5,120.75,"20,22,729","26,16,73,945.30","21,860"
16-Dec-2015,EQ,128.4,133.45,128.0,126.6,131.0,131.3,131.83,262.5,120.75,"44,87,720","59,15,94,634.30","29,471"
15-Dec-2015,EQ,125.75,128.2,124.1,124.95,127.6,126.6,125.74,262.5,120.75,"18,85,088","23,70,25,215.95","16,047"
14-Dec-2015,EQ,122.5,125.55,122.0,125.6,125.3,124.95,123.81,262.5,120.75,"20,02,559","24,79,33,295.45","20,221"
11-Dec-2015,EQ,127.8,128.4,125.05,126.5,125.7,125.6,126.66,262.5,120.75,"15,10,206","19,12,86,217.25","13,090"
10-Dec-2015,EQ,126.9,127.45,125.7,125.9,127.35,126.5,126.72,262.5,120.75,"14,13,731","17,91,48,625.25","19,627"
09-Dec-2015,EQ,129.0,129.35,125.1,128.0,126.9,125.9,127.17,262.5,120.75,"22,34,039","28,40,93,934.25","14,333"
08-Dec-2015,EQ,132.95,133.8,127.0,135.85,127.4,128.0,130.58,262.5,120.75,"29,50,952","38,53,40,868.20","24,227"
07-Dec-2015,EQ,138.0,138.0,134.9,139.35,135.45,135.85,135.75,262.5,120.75,"18,80,223","25,52,31,654.00","14,617"
04-Dec-2015,EQ,136.35,141.65,135.7,136.5,139.4,139.35,139.98,266.4,120.75,"27,12,717","37,97,18,373.30","31,457"
03-Dec-2015,EQ,135.05,138.2,134.45,137.55,136.35,136.5,136.48,266.4,120.75,"15,02,680","20,50,87,293.35","15,845"
02-Dec-2015,EQ,137.3,138.2,136.55,137.2,137.5,137.55,137.52,266.4,120.75,"10,51,022","14,45,38,342.65","13,738"
01-Dec-2015,EQ,135.05,137.75,134.65,134.5,137.2,137.2,136.08,266.4,120.75,"13,82,754","18,81,68,394.35","21,684"
30-Nov-2015,EQ,136.1,136.4,133.0,136.7,134.75,134.5,134.4,266.4,120.75,"33,40,915","44,90,05,250.65","39,676"
27-Nov-2015,EQ,139.0,139.7,136.0,138.05,136.7,136.7,137.61,277.9,120.75,"20,26,816","27,89,00,338.10","22,558"
26-Nov-2015,EQ,139.15,140.1,135.7,138.65,138.9,138.05,137.72,277.9,120.75,"29,72,794","40,94,12,745.60","32,926"
24-Nov-2015,EQ,137.2,141.35,137.2,138.1,138.5,138.65,139.89,277.9,120.75,"21,04,633","29,44,20,244.65","21,254"
23-Nov-2015,EQ,138.35,139.45,136.05,137.05,138.0,138.1,138.17,277.9,120.75,"15,39,923","21,27,78,628.55","18,553"
20-Nov-2015,EQ,135.5,137.65,133.4,135.95,137.0,137.05,136.36,277.9,120.75,"14,26,024","19,44,48,648.00","11,359"
19-Nov-2015,EQ,140.0,140.0,135.0,134.7,135.95,135.95,137.47,277.9,120.75,"18,73,180","25,75,04,238.80","13,458"
18-Nov-2015,EQ,135.7,137.1,133.8,135.75,134.25,134.7,135.24,277.9,120.75,"12,80,684","17,31,97,586.45","15,020"
17-Nov-2015,EQ,133.0,136.5,132.35,131.55,136.25,135.75,134.11,277.9,120.75,"17,59,973","23,60,25,329.15","19,639"
16-Nov-2015,EQ,130.25,133.25,129.0,130.7,132.3,131.55,131.37,277.9,120.75,"20,48,490","26,91,14,933.50","27,139"
13-Nov-2015,EQ,137.0,137.0,130.0,138.25,130.7,130.7,132.26,280.5,120.75,"31,22,652","41,30,13,944.95","29,153"
11-Nov-2015,EQ,139.0,139.95,137.0,137.9,139.0,138.25,138.17,280.5,120.75,"3,54,560","4,89,87,883.90","6,256"
10-Nov-2015,EQ,145.0,145.9,136.75,144.9,137.15,137.9,139.4,280.5,120.75,"25,29,521","35,26,17,542.15","24,447"
09-Nov-2015,EQ,147.7,149.95,143.35,150.8,144.6,144.9,145.58,280.5,120.75,"17,40,671","25,33,98,298.90","24,810"
06-Nov-2015,EQ,150.5,152.3,149.15,150.35,151.15,150.8,150.76,291.7,120.75,"21,93,764","33,07,35,561.25","25,047"
05-Nov-2015,EQ,153.0,154.25,149.6,153.1,149.8,150.35,152.1,291.7,120.75,"13,65,318","20,76,64,795.90","26,945"
04-Nov-2015,EQ,156.1,157.4,152.5,154.9,153.0,153.1,154.13,291.7,120.75,"13,65,862","21,05,14,524.10","12,460"
03-Nov-2015,EQ,153.6,155.95,153.4,153.4,155.2,154.9,154.77,291.7,120.75,"13,85,586","21,44,46,657.55","14,838"
02-Nov-2015,EQ,153.6,154.0,150.6,153.4,152.9,153.4,152.37,291.7,120.75,"10,71,116","16,32,06,398.70","24,497"
30-Oct-2015,EQ,154.3,157.7,152.6,153.9,153.1,153.4,155.53,291.7,120.75,"13,24,588","20,60,13,656.00","28,392"
29-Oct-2015,EQ,155.9,157.4,152.8,153.6,154.25,153.9,154.61,291.7,120.75,"26,45,304","40,89,79,891.00","27,573"
28-Oct-2015,EQ,154.7,155.85,152.0,157.9,153.55,153.6,153.65,291.7,120.75,"24,10,444","37,03,53,190.95","31,431"
27-Oct-2015,EQ,158.15,160.0,156.2,158.15,157.95,157.9,158.21,291.7,120.75,"16,60,518","26,27,04,134.50","27,491"
26-Oct-2015,EQ,159.8,160.0,155.25,158.05,158.3,158.15,157.55,291.7,120.75,"18,15,122","28,59,68,201.10","38,178"
