"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2009","EQ","422.00","424.75","420.55","422.70","421.95","421.40","422.67","494.40","155.00","13,755","58,13,809.05","-"
"30-Dec-2009","EQ","424.70","424.70","418.75","417.75","423.00","422.70","422.02","494.40","155.00","22,427","94,64,669.20","-"
"29-Dec-2009","EQ","419.90","421.00","417.10","414.95","418.90","417.75","419.05","494.40","155.00","62,237","2,60,80,602.30","-"
"24-Dec-2009","EQ","416.00","420.50","414.00","414.50","416.00","414.95","416.48","494.40","155.00","29,277","1,21,93,243.60","-"
"23-Dec-2009","EQ","415.05","421.00","414.00","412.50","414.85","414.50","415.62","494.40","155.00","41,045","1,70,59,210.10","-"
"22-Dec-2009","EQ","422.00","428.95","405.00","419.70","409.00","412.50","416.73","494.40","155.00","48,891","2,03,74,419.00","-"
"21-Dec-2009","EQ","423.00","425.25","418.10","421.35","421.90","419.70","421.73","494.40","155.00","10,596","44,68,694.60","-"
"18-Dec-2009","EQ","420.00","424.00","416.00","419.65","421.00","421.35","420.11","494.40","155.00","1,00,861","4,23,73,030.45","-"
"17-Dec-2009","EQ","419.00","422.00","413.05","413.55","422.00","419.65","415.99","494.40","155.00","1,66,547","6,92,81,670.00","-"
"16-Dec-2009","EQ","414.55","419.85","410.00","414.55","412.00","413.55","414.57","494.40","155.00","39,395","1,63,32,093.70","-"
"15-Dec-2009","EQ","437.00","437.00","411.00","432.25","414.95","414.55","421.67","494.40","155.00","51,311","2,16,36,378.75","-"
"14-Dec-2009","EQ","438.00","447.00","430.00","436.75","430.00","432.25","435.48","494.40","155.00","28,410","1,23,71,901.25","-"
"11-Dec-2009","EQ","459.00","459.00","435.00","443.65","435.80","436.75","446.11","494.40","155.00","63,794","2,84,58,845.50","-"
"10-Dec-2009","EQ","442.30","448.00","437.20","441.70","443.00","443.65","443.44","494.40","155.00","23,304","1,03,33,941.15","-"
"09-Dec-2009","EQ","449.00","449.00","436.35","445.15","440.00","441.70","444.18","494.40","155.00","23,444","1,04,13,441.90","-"
"08-Dec-2009","EQ","449.70","450.00","444.00","444.50","445.40","445.15","446.64","494.40","155.00","13,680","61,10,061.40","-"
"07-Dec-2009","EQ","449.85","454.70","442.65","449.85","444.90","444.50","447.11","494.40","155.00","14,957","66,87,391.10","-"
"04-Dec-2009","EQ","459.00","460.00","446.35","452.40","450.00","449.85","451.87","494.40","155.00","26,738","1,20,82,129.85","-"
"03-Dec-2009","EQ","457.00","462.95","451.10","456.15","452.00","452.40","459.31","494.40","155.00","33,760","1,55,06,321.25","-"
"02-Dec-2009","EQ","456.00","464.40","445.65","453.40","455.00","456.15","458.25","494.40","155.00","49,153","2,25,24,258.35","-"
"01-Dec-2009","EQ","448.30","455.70","446.15","446.10","453.90","453.40","451.46","494.40","155.00","23,444","1,05,84,131.85","-"
"30-Nov-2009","EQ","439.90","448.90","439.90","432.70","445.00","446.10","446.12","494.40","155.00","24,449","1,09,07,108.80","-"
"27-Nov-2009","EQ","440.00","440.00","418.00","441.70","435.90","432.70","430.70","494.40","155.00","32,182","1,38,60,703.25","-"
"26-Nov-2009","EQ","450.00","453.95","437.10","448.30","442.00","441.70","444.04","494.40","155.00","31,398","1,39,42,060.50","-"
"25-Nov-2009","EQ","455.00","459.95","445.20","453.80","447.00","448.30","454.06","494.40","155.00","30,534","1,38,64,380.15","-"
"24-Nov-2009","EQ","464.75","466.00","447.05","460.50","447.05","453.80","457.91","494.40","155.00","54,153","2,47,97,327.35","-"
"23-Nov-2009","EQ","460.50","464.90","451.10","450.75","459.05","460.50","459.25","494.40","155.00","1,00,355","4,60,88,246.25","-"
"20-Nov-2009","EQ","450.05","463.70","446.00","454.20","449.35","450.75","452.51","494.40","155.00","74,100","3,35,30,701.75","-"
"19-Nov-2009","EQ","449.55","462.00","449.55","448.75","453.00","454.20","457.40","494.40","155.00","83,818","3,83,38,693.65","-"
"18-Nov-2009","EQ","453.50","459.00","445.10","453.20","450.95","448.75","452.04","494.40","155.00","19,818","89,58,471.00","-"
"17-Nov-2009","EQ","437.00","462.00","408.80","438.95","452.25","453.20","445.89","494.40","155.00","81,559","3,63,66,206.40","-"
"16-Nov-2009","EQ","450.00","494.40","435.00","435.90","437.85","438.95","439.77","494.40","155.00","1,14,604","5,03,99,633.20","-"
"13-Nov-2009","EQ","435.15","439.85","434.20","433.20","436.00","435.90","437.14","484.50","155.00","12,933","56,53,496.70","-"
"12-Nov-2009","EQ","437.00","439.95","430.65","436.65","434.00","433.20","434.48","484.50","155.00","22,365","97,17,143.50","-"
"11-Nov-2009","EQ","432.00","439.80","429.00","430.85","435.05","436.65","435.44","484.50","155.00","29,726","1,29,43,872.35","-"
"10-Nov-2009","EQ","436.00","439.00","427.40","429.45","432.00","430.85","430.86","484.50","155.00","78,019","3,36,15,634.05","-"
"09-Nov-2009","EQ","422.00","434.45","422.00","426.30","429.00","429.45","430.12","484.50","155.00","49,366","2,12,33,058.90","-"
"06-Nov-2009","EQ","423.00","429.30","418.00","419.80","426.25","426.30","426.27","484.50","155.00","21,659","92,32,612.05","-"
"05-Nov-2009","EQ","415.00","422.00","411.00","414.80","421.00","419.80","416.80","484.50","155.00","13,891","57,89,717.25","-"
"04-Nov-2009","EQ","407.00","419.45","407.00","409.55","416.75","414.80","412.76","484.50","155.00","16,101","66,45,870.05","-"
"03-Nov-2009","EQ","421.00","429.70","401.00","423.90","405.50","409.55","415.29","484.50","155.00","31,617","1,31,30,174.75","-"
"30-Oct-2009","EQ","425.00","435.00","415.20","417.35","421.20","423.90","428.14","484.50","155.00","68,134","2,91,71,132.00","-"
"29-Oct-2009","EQ","428.00","437.70","412.00","426.75","415.00","417.35","429.39","484.50","155.00","2,83,466","12,17,18,159.75","-"
"28-Oct-2009","EQ","431.50","437.75","418.15","438.30","427.00","426.75","428.17","484.50","155.00","44,646","1,91,16,063.00","-"
"27-Oct-2009","EQ","436.00","459.95","432.00","462.00","441.10","438.30","440.41","484.50","155.00","39,790","1,75,23,914.80","-"
"26-Oct-2009","EQ","472.00","481.20","453.25","461.00","459.00","462.00","464.49","484.50","155.00","78,004","3,62,31,776.00","-"
"23-Oct-2009","EQ","460.05","484.50","458.00","453.00","460.00","461.00","461.42","484.50","155.00","78,909","3,64,09,980.70","-"
"22-Oct-2009","EQ","450.00","459.00","437.00","450.80","457.25","453.00","450.09","479.00","155.00","39,237","1,76,60,163.25","-"
"21-Oct-2009","EQ","469.00","474.70","446.00","469.25","451.50","450.80","456.93","479.00","155.00","64,730","2,95,77,382.70","-"
"20-Oct-2009","EQ","465.00","479.00","459.10","462.55","468.25","469.25","471.42","479.00","155.00","74,484","3,51,13,289.70","-"
"17-Oct-2009","EQ","462.00","469.70","450.05","460.40","462.80","462.55","462.74","470.00","155.00","8,799","40,71,655.20","-"
"16-Oct-2009","EQ","461.00","463.95","453.55","457.65","461.05","460.40","459.49","470.00","155.00","43,973","2,02,05,170.40","-"
"15-Oct-2009","EQ","452.00","470.00","452.00","446.75","461.00","457.65","459.60","470.00","155.00","1,02,155","4,69,50,763.75","-"
"14-Oct-2009","EQ","422.20","450.80","422.00","422.20","446.20","446.75","441.99","450.80","155.00","1,60,589","7,09,78,512.85","-"
"12-Oct-2009","EQ","422.00","426.80","420.00","422.65","420.15","422.20","422.57","434.75","155.00","53,362","2,25,49,145.10","-"
"09-Oct-2009","EQ","419.20","426.00","417.05","425.60","425.00","422.65","421.81","434.75","155.00","36,799","1,55,22,251.15","-"
"08-Oct-2009","EQ","425.00","430.50","422.50","424.10","425.50","425.60","426.47","434.75","155.00","41,152","1,75,49,910.40","-"
"07-Oct-2009","EQ","419.00","429.80","419.00","418.65","424.95","424.10","426.12","434.75","155.00","40,745","1,73,62,412.50","-"
"06-Oct-2009","EQ","422.00","429.55","407.00","425.05","419.10","418.65","417.01","434.75","155.00","62,895","2,62,28,015.55","-"
