"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2012","EQ","115.60","117.10","115.40","115.60","115.50","115.90","116.27","167.30","102.10","10,44,407","12,14,28,038.55","20,488"
"28-Dec-2012","EQ","113.85","115.95","113.05","112.65","115.50","115.60","115.10","167.30","102.10","18,24,412","20,99,94,821.95","17,217"
"27-Dec-2012","EQ","114.70","114.70","112.00","113.70","113.00","112.65","112.76","167.30","102.10","20,56,958","23,19,39,755.10","13,042"
"26-Dec-2012","EQ","113.15","115.00","113.10","112.95","113.85","113.70","114.29","167.30","102.10","11,22,070","12,82,36,729.15","9,691"
"24-Dec-2012","EQ","113.05","113.95","112.05","113.05","113.20","112.95","112.73","167.30","102.10","13,15,863","14,83,31,590.40","8,676"
"21-Dec-2012","EQ","114.65","114.75","111.80","115.05","112.75","113.05","113.00","167.30","102.10","20,91,344","23,63,17,465.40","14,281"
"20-Dec-2012","EQ","116.00","116.65","113.85","115.90","114.90","115.05","114.73","167.30","102.10","12,88,631","14,78,45,947.45","12,068"
"19-Dec-2012","EQ","119.10","119.60","115.00","118.35","115.80","115.90","116.59","167.30","102.10","22,90,660","26,70,63,898.60","20,045"
"18-Dec-2012","EQ","115.00","119.40","113.20","114.00","118.65","118.35","116.55","167.30","102.10","24,55,280","28,61,67,778.70","42,899"
"17-Dec-2012","EQ","110.80","114.35","110.80","111.65","113.95","114.00","113.36","167.30","102.10","13,35,073","15,13,48,991.25","30,507"
"14-Dec-2012","EQ","110.60","112.50","110.10","111.20","111.85","111.65","111.24","167.30","102.10","13,97,256","15,54,33,820.10","38,971"
"13-Dec-2012","EQ","113.30","114.15","110.65","113.15","111.25","111.20","112.70","167.30","102.10","15,60,104","17,58,18,199.45","37,751"
"12-Dec-2012","EQ","116.90","116.90","112.90","115.75","113.15","113.15","114.32","167.30","102.10","16,33,487","18,67,32,887.40","39,231"
"11-Dec-2012","EQ","117.85","119.00","114.15","117.20","115.90","115.75","116.19","167.30","102.10","13,26,134","15,40,82,324.85","30,748"
"10-Dec-2012","EQ","118.50","119.20","116.90","118.70","117.30","117.20","117.67","167.30","102.10","8,63,145","10,15,69,076.85","16,507"
"07-Dec-2012","EQ","120.45","121.40","118.10","120.45","118.10","118.70","119.36","167.30","102.10","12,69,466","15,15,20,279.30","11,761"
"06-Dec-2012","EQ","121.00","121.05","117.00","120.05","120.70","120.45","118.66","167.30","102.10","33,49,970","39,75,17,105.20","36,410"
"05-Dec-2012","EQ","119.25","121.35","118.65","117.80","120.05","120.05","120.01","167.30","102.10","37,93,118","45,52,24,641.55","69,818"
"04-Dec-2012","EQ","115.70","118.40","115.00","115.40","118.20","117.80","116.51","167.30","102.10","66,10,383","77,01,57,476.45","67,141"
"03-Dec-2012","EQ","115.00","117.20","113.20","114.35","115.45","115.40","115.56","167.30","102.10","17,05,368","19,70,70,424.20","40,096"
"30-Nov-2012","EQ","114.50","115.10","113.20","112.90","114.65","114.35","114.41","167.30","102.10","13,24,834","15,15,80,127.00","29,687"
"29-Nov-2012","EQ","116.95","117.95","112.30","116.30","113.40","112.90","114.33","167.30","102.10","22,32,460","25,52,37,915.85","40,999"
"27-Nov-2012","EQ","116.10","117.25","115.20","115.05","115.90","116.30","116.43","167.30","102.10","10,47,805","12,19,98,793.00","8,667"
"26-Nov-2012","EQ","115.10","116.60","114.60","114.55","114.90","115.05","115.58","167.30","102.10","11,35,716","13,12,61,749.30","11,367"
"23-Nov-2012","EQ","111.00","115.45","111.00","111.05","114.55","114.55","114.32","167.30","102.10","31,23,328","35,70,58,022.05","34,198"
"22-Nov-2012","EQ","109.05","111.55","108.85","108.65","111.50","111.05","110.27","167.30","102.10","18,51,751","20,41,92,738.45","15,479"
"21-Nov-2012","EQ","111.70","111.70","108.30","110.90","108.80","108.65","109.37","167.30","102.10","14,27,470","15,61,17,004.35","11,114"
"20-Nov-2012","EQ","112.85","112.85","110.05","111.50","110.40","110.90","111.00","167.30","102.10","10,69,147","11,86,74,047.40","8,894"
"19-Nov-2012","EQ","110.50","112.20","108.75","110.20","111.45","111.50","110.92","167.30","102.10","11,53,963","12,80,01,419.70","10,362"
"16-Nov-2012","EQ","111.00","114.50","109.50","110.65","110.10","110.20","112.44","167.30","102.10","18,73,948","21,07,10,953.40","13,642"
"15-Nov-2012","EQ","111.90","111.90","109.70","112.00","110.55","110.65","110.77","167.30","102.10","13,57,402","15,03,55,479.35","13,918"
"13-Nov-2012","EQ","112.40","112.50","111.50","111.45","112.25","112.00","112.11","167.30","102.10","2,06,324","2,31,30,079.90","2,048"
"12-Nov-2012","EQ","113.40","114.25","111.05","113.25","111.40","111.45","111.92","167.30","102.10","12,52,459","14,01,72,950.90","9,285"
"09-Nov-2012","EQ","114.00","114.35","111.40","113.05","112.80","113.25","112.94","167.30","102.10","16,53,491","18,67,48,411.30","12,559"
"08-Nov-2012","EQ","112.50","113.75","111.05","113.50","112.95","113.05","112.86","167.30","102.10","14,27,879","16,11,48,600.45","14,435"
"07-Nov-2012","EQ","111.10","114.75","110.75","111.05","113.30","113.50","113.21","167.30","102.10","37,43,750","42,38,14,579.15","23,349"
"06-Nov-2012","EQ","112.50","113.50","108.65","112.55","111.05","111.05","110.76","167.30","102.10","72,42,295","80,21,66,304.60","59,575"
"05-Nov-2012","EQ","117.70","118.80","109.25","122.80","112.60","112.55","112.52","167.30","102.10","1,70,97,191","1,92,38,45,529.45","91,455"
"02-Nov-2012","EQ","124.95","125.95","121.80","124.15","122.55","122.80","123.55","167.30","102.10","39,04,752","48,24,42,291.35","35,351"
