"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2018","EQ","7,669.00","7,777.00","7,610.95","7,669.15","7,650.00","7,645.25","7,654.37","7,948.00","5,725.00","31,297","23,95,58,695.50","8,468"
"28-Dec-2018","EQ","7,605.05","7,710.00","7,605.05","7,605.05","7,675.00","7,669.15","7,673.88","7,948.00","5,725.00","14,170","10,87,38,890.65","3,566"
"27-Dec-2018","EQ","7,515.05","7,645.00","7,515.05","7,492.25","7,630.00","7,605.05","7,566.64","7,948.00","5,725.00","19,690","14,89,87,075.85","7,956"
"26-Dec-2018","EQ","7,500.00","7,529.95","7,370.00","7,523.40","7,485.00","7,492.25","7,428.09","7,948.00","5,725.00","44,312","32,91,53,720.60","7,857"
"24-Dec-2018","EQ","7,655.05","7,674.40","7,505.00","7,640.40","7,505.00","7,523.40","7,578.72","7,948.00","5,725.00","15,127","11,46,43,267.95","3,629"
"21-Dec-2018","EQ","7,805.00","7,835.00","7,612.60","7,792.05","7,626.00","7,640.40","7,697.01","7,948.00","5,725.00","10,061","7,74,39,616.65","3,997"
"20-Dec-2018","EQ","7,800.00","7,898.00","7,745.00","7,802.25","7,800.00","7,792.05","7,802.47","7,948.00","5,725.00","19,879","15,51,05,341.55","5,534"
"19-Dec-2018","EQ","7,849.95","7,925.00","7,770.05","7,807.50","7,790.00","7,802.25","7,841.09","7,948.00","5,725.00","25,249","19,79,79,744.50","7,839"
"18-Dec-2018","EQ","7,792.50","7,948.00","7,740.00","7,792.50","7,805.00","7,807.50","7,846.84","7,948.00","5,725.00","38,894","30,51,95,051.25","7,421"
"17-Dec-2018","EQ","7,771.00","7,840.00","7,750.00","7,766.10","7,760.05","7,792.50","7,790.50","7,850.00","5,725.00","28,750","22,39,77,007.30","6,949"
"14-Dec-2018","EQ","7,758.80","7,792.40","7,668.00","7,751.05","7,745.40","7,766.10","7,729.77","7,850.00","5,725.00","42,460","32,82,05,902.70","8,524"
"13-Dec-2018","EQ","7,636.10","7,796.85","7,636.10","7,682.20","7,732.70","7,751.05","7,734.83","7,850.00","5,725.00","90,245","69,80,30,170.30","12,454"
"12-Dec-2018","EQ","7,600.00","7,712.40","7,546.65","7,529.40","7,695.70","7,682.20","7,638.70","7,850.00","5,725.00","63,181","48,26,20,919.45","7,170"
"11-Dec-2018","EQ","7,440.00","7,600.00","7,429.95","7,497.85","7,580.00","7,529.40","7,515.95","7,850.00","5,725.00","1,52,139","1,14,34,68,761.10","12,848"
"10-Dec-2018","EQ","7,425.05","7,550.80","7,410.00","7,515.70","7,492.00","7,497.85","7,501.54","7,850.00","5,725.00","59,831","44,88,24,884.40","5,830"
"07-Dec-2018","EQ","7,475.05","7,564.65","7,440.00","7,473.75","7,503.25","7,515.70","7,500.36","7,850.00","5,725.00","71,996","53,99,96,110.35","17,018"
"06-Dec-2018","EQ","7,600.00","7,646.05","7,460.00","7,644.60","7,470.00","7,473.75","7,555.57","7,850.00","5,725.00","70,055","52,93,05,378.70","16,560"
"05-Dec-2018","EQ","7,500.00","7,670.00","7,426.05","7,498.90","7,649.90","7,644.60","7,566.04","7,850.00","5,725.00","1,14,934","86,95,95,433.05","25,800"
"04-Dec-2018","EQ","7,582.00","7,680.00","7,476.95","7,547.40","7,500.00","7,498.90","7,541.82","7,850.00","5,725.00","1,73,668","1,30,97,73,454.95","32,128"
"03-Dec-2018","EQ","7,280.00","7,710.00","7,077.00","7,268.20","7,565.00","7,547.40","7,458.24","7,850.00","5,725.00","3,43,293","2,56,03,61,567.35","34,088"
"30-Nov-2018","EQ","7,220.00","7,297.95","7,220.00","7,209.05","7,264.60","7,268.20","7,261.37","7,850.00","5,725.00","10,881","7,90,10,996.70","3,600"
"29-Nov-2018","EQ","7,350.00","7,450.00","7,163.55","7,192.40","7,240.00","7,209.05","7,367.60","7,850.00","5,725.00","46,159","34,00,80,932.35","8,239"
"28-Nov-2018","EQ","7,155.85","7,430.10","7,120.00","7,099.05","7,215.00","7,192.40","7,254.30","7,850.00","5,725.00","51,573","37,41,25,874.60","10,416"
"27-Nov-2018","EQ","7,190.00","7,255.00","7,061.00","7,173.70","7,065.15","7,099.05","7,168.25","7,850.00","5,725.00","55,807","40,00,38,606.40","6,152"
"26-Nov-2018","EQ","7,071.60","7,200.00","7,071.60","7,069.70","7,170.25","7,173.70","7,171.08","7,850.00","5,725.00","15,682","11,24,56,865.50","4,677"
"22-Nov-2018","EQ","7,151.00","7,188.40","7,050.00","7,151.40","7,074.50","7,069.70","7,120.97","7,850.00","5,725.00","3,314","2,35,98,890.40","1,613"
"21-Nov-2018","EQ","7,145.00","7,200.00","7,118.55","7,147.35","7,200.00","7,151.40","7,149.45","7,850.00","5,725.00","66,348","47,43,51,665.30","3,494"
