Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-2015,EQ,"1,233.90","1,274.70","1,233.90","1,233.70","1,263.50","1,263.75","1,257.40","1,402.30","1,093.20","32,15,917","4,04,37,06,240.25","60,925"
30-Dec-2015,EQ,"1,240.00","1,244.90","1,230.65","1,234.30","1,231.55","1,233.70","1,237.36","1,402.30","1,093.20","14,43,470","1,78,60,90,687.70","46,892"
29-Dec-2015,EQ,"1,226.55","1,239.90","1,225.60","1,227.65","1,235.70","1,234.30","1,232.39","1,402.30","1,093.20","17,16,336","2,11,51,89,860.80","36,760"
28-Dec-2015,EQ,"1,229.55","1,239.00","1,220.20","1,229.55","1,228.80","1,227.65","1,227.19","1,402.30","1,093.20","16,58,317","2,03,50,69,780.80","49,212"
24-Dec-2015,EQ,"1,243.00","1,245.00","1,225.40","1,239.20","1,229.50","1,229.55","1,231.25","1,402.30","1,092.20","3,91,634","48,21,98,030.25","11,654"
23-Dec-2015,EQ,"1,233.00","1,242.00","1,231.50","1,228.25","1,236.05","1,239.20","1,238.91","1,402.30","1,092.20","13,27,248","1,64,43,45,068.00","70,215"
22-Dec-2015,EQ,"1,233.70","1,237.00","1,221.50","1,232.35","1,228.00","1,228.25","1,230.09","1,402.30","1,092.20","15,49,227","1,90,56,93,092.95","1,03,886"
21-Dec-2015,EQ,"1,218.20","1,240.00","1,218.20","1,224.85","1,232.00","1,232.35","1,230.56","1,402.30","1,092.20","21,78,186","2,68,03,81,118.30","74,897"
18-Dec-2015,EQ,"1,247.90","1,247.90","1,220.55","1,240.95","1,224.40","1,224.85","1,228.41","1,402.30","1,060.10","27,55,208","3,38,45,20,573.90","89,014"
17-Dec-2015,EQ,"1,220.00","1,243.85","1,209.50","1,219.30","1,238.05","1,240.95","1,227.43","1,402.30","1,060.10","19,21,688","2,35,87,44,508.55","59,477"
16-Dec-2015,EQ,"1,211.00","1,222.80","1,209.20","1,206.55","1,217.00","1,219.30","1,218.02","1,402.30","1,060.10","19,10,248","2,32,67,25,273.20","68,739"
15-Dec-2015,EQ,"1,184.35","1,209.50","1,180.80","1,188.05","1,200.00","1,206.55","1,193.49","1,402.30","1,060.10","26,28,140","3,13,66,45,859.30","86,901"
14-Dec-2015,EQ,"1,156.05","1,195.00","1,156.05","1,174.75","1,195.00","1,188.05","1,179.39","1,402.30","1,060.10","20,52,379","2,42,05,53,203.35","61,860"
11-Dec-2015,EQ,"1,185.00","1,188.00","1,162.20","1,182.30","1,175.00","1,174.75","1,174.94","1,402.30","1,060.10","22,19,575","2,60,78,71,084.95","62,052"
10-Dec-2015,EQ,"1,155.00","1,185.00","1,154.00","1,153.25","1,182.80","1,182.30","1,174.33","1,402.30","1,060.10","24,89,849","2,92,39,01,613.35","1,01,706"
09-Dec-2015,EQ,"1,166.25","1,170.40","1,150.00","1,171.55","1,156.00","1,153.25","1,159.01","1,402.30","1,060.10","17,05,547","1,97,67,42,255.30","47,590"
08-Dec-2015,EQ,"1,178.90","1,178.90","1,169.50","1,184.60","1,172.45","1,171.55","1,171.40","1,402.30","1,060.10","29,88,127","3,50,02,79,403.40","59,964"
07-Dec-2015,EQ,"1,176.30","1,187.90","1,175.05","1,171.60","1,185.00","1,184.60","1,182.96","1,402.30","1,060.10","24,94,804","2,95,12,42,800.25","66,508"
04-Dec-2015,EQ,"1,190.00","1,192.65","1,169.50","1,200.20","1,173.85","1,171.60","1,177.06","1,402.30","1,060.10","28,98,773","3,41,20,32,217.90","77,139"
03-Dec-2015,EQ,"1,207.35","1,208.90","1,198.05","1,211.75","1,200.00","1,200.20","1,201.70","1,402.30","1,060.10","15,77,703","1,89,59,30,612.10","42,931"
02-Dec-2015,EQ,"1,221.30","1,233.30","1,206.10","1,224.70","1,211.00","1,211.75","1,217.35","1,402.30","1,060.10","15,13,305","1,84,22,27,477.95","65,877"
