"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2020","EQ","2,518.70","2,575.00","2,504.40","2,518.05","2,549.95","2,558.65","2,556.76","2,575.00","1,473.45","49,56,399","12,67,23,22,865.05","1,47,144"
"30-Dec-2020","EQ","2,518.95","2,525.00","2,483.00","2,518.95","2,521.70","2,518.05","2,502.78","2,530.00","1,473.45","29,02,423","7,26,41,28,976.85","1,05,288"
"29-Dec-2020","EQ","2,480.00","2,530.00","2,480.00","2,476.45","2,511.00","2,518.95","2,513.80","2,530.00","1,473.45","44,90,464","11,28,81,29,536.75","1,62,376"
"28-Dec-2020","EQ","2,467.00","2,485.00","2,436.60","2,455.15","2,485.00","2,476.45","2,460.41","2,509.00","1,473.45","20,85,391","5,13,09,18,234.45","67,694"
"24-Dec-2020","EQ","2,417.00","2,464.65","2,411.05","2,403.05","2,451.85","2,455.15","2,441.15","2,509.00","1,473.45","27,23,426","6,64,82,98,919.40","90,401"
"23-Dec-2020","EQ","2,398.00","2,419.65","2,376.75","2,403.65","2,405.90","2,403.05","2,393.10","2,509.00","1,473.45","26,05,828","6,23,60,06,741.60","1,02,506"
"22-Dec-2020","EQ","2,415.00","2,439.90","2,360.50","2,414.80","2,398.50","2,403.65","2,397.12","2,509.00","1,473.45","48,32,004","11,58,29,15,570.20","1,62,100"
"21-Dec-2020","EQ","2,468.00","2,478.95","2,370.45","2,479.40","2,404.45","2,414.80","2,442.50","2,509.00","1,473.45","35,73,982","8,72,94,53,775.40","1,36,935"
"18-Dec-2020","EQ","2,482.00","2,489.00","2,431.00","2,494.60","2,472.80","2,479.40","2,459.71","2,509.00","1,473.45","41,89,517","10,30,50,09,812.60","1,54,155"
"17-Dec-2020","EQ","2,434.90","2,509.00","2,420.15","2,424.65","2,490.10","2,494.60","2,475.38","2,509.00","1,473.45","73,79,515","18,26,70,67,625.05","2,16,960"
"16-Dec-2020","EQ","2,377.95","2,443.40","2,365.50","2,350.35","2,415.00","2,424.65","2,405.35","2,499.90","1,473.45","65,32,346","15,71,25,87,606.40","2,15,995"
"15-Dec-2020","EQ","2,290.50","2,357.40","2,282.70","2,302.65","2,350.35","2,350.35","2,331.88","2,499.90","1,473.45","50,56,502","11,79,11,67,409.15","1,81,471"
"14-Dec-2020","EQ","2,306.70","2,315.65","2,270.55","2,295.90","2,300.55","2,302.65","2,292.85","2,499.90","1,473.45","31,60,235","7,24,59,30,582.55","1,30,954"
"11-Dec-2020","EQ","2,307.00","2,317.70","2,272.00","2,289.10","2,297.00","2,295.90","2,295.63","2,499.90","1,473.45","45,77,813","10,50,89,44,240.65","1,43,063"
"10-Dec-2020","EQ","2,300.00","2,303.00","2,267.00","2,306.70","2,289.80","2,289.10","2,282.42","2,499.90","1,473.45","25,45,081","5,80,89,40,360.60","1,00,245"
"09-Dec-2020","EQ","2,318.00","2,334.65","2,280.60","2,309.75","2,306.00","2,306.70","2,308.51","2,499.90","1,473.45","33,02,661","7,62,42,32,029.50","1,14,133"
"08-Dec-2020","EQ","2,315.00","2,340.00","2,292.05","2,303.80","2,309.00","2,309.75","2,315.55","2,499.90","1,473.45","52,62,959","12,18,66,68,785.10","1,62,017"
"07-Dec-2020","EQ","2,240.00","2,309.70","2,221.20","2,245.90","2,303.00","2,303.80","2,281.80","2,499.90","1,473.45","49,10,736","11,20,53,15,397.90","1,91,036"
"04-Dec-2020","EQ","2,253.95","2,284.90","2,231.60","2,253.95","2,247.20","2,245.90","2,253.16","2,499.90","1,473.45","32,45,440","7,31,24,86,078.40","1,27,080"
"03-Dec-2020","EQ","2,287.00","2,289.45","2,235.00","2,276.35","2,252.75","2,253.95","2,257.07","2,499.90","1,473.45","45,28,707","10,22,16,11,674.00","1,57,122"
"02-Dec-2020","EQ","2,300.00","2,304.00","2,252.50","2,306.95","2,274.00","2,276.35","2,276.62","2,499.90","1,473.45","31,91,550","7,26,59,61,073.45","1,48,812"
"01-Dec-2020","EQ","2,237.00","2,324.00","2,217.65","2,256.25","2,296.20","2,306.95","2,283.03","2,499.90","1,473.45","70,31,670","16,05,34,79,118.90","2,36,556"
"27-Nov-2020","EQ","2,240.00","2,272.45","2,202.20","2,238.40","2,238.00","2,256.25","2,239.94","2,499.90","1,473.45","1,01,79,511","22,80,15,06,316.45","2,13,049"
"26-Nov-2020","EQ","2,197.15","2,245.00","2,187.65","2,191.35","2,242.70","2,238.40","2,215.19","2,499.90","1,473.45","50,26,304","11,13,42,05,385.90","2,08,269"
"25-Nov-2020","EQ","2,228.00","2,252.15","2,179.30","2,217.70","2,186.80","2,191.35","2,210.08","2,499.90","1,473.45","61,50,483","13,59,30,69,076.65","2,17,608"
"24-Nov-2020","EQ","2,272.25","2,272.25","2,209.55","2,250.80","2,220.00","2,217.70","2,232.36","2,499.90","1,473.45","49,45,274","11,03,96,17,437.40","2,05,979"
"23-Nov-2020","EQ","2,344.20","2,347.85","2,230.10","2,334.80","2,253.05","2,250.80","2,266.43","2,499.90","1,473.45","69,95,598","15,85,50,18,351.10","2,18,301"
"20-Nov-2020","EQ","2,330.00","2,386.55","2,326.55","2,324.60","2,329.00","2,334.80","2,349.94","2,499.90","1,473.45","53,21,688","12,50,56,73,533.35","1,59,247"
"19-Nov-2020","EQ","2,336.00","2,351.90","2,311.00","2,364.90","2,327.50","2,324.60","2,327.23","2,499.90","1,473.45","69,36,896","16,14,37,40,175.35","1,60,110"
"18-Nov-2020","EQ","2,336.70","2,369.40","2,320.30","2,349.00","2,360.00","2,364.90","2,348.24","2,499.90","1,473.45","43,44,487","10,20,18,97,712.00","1,51,565"
"17-Nov-2020","EQ","2,339.90","2,364.75","2,307.40","2,311.25","2,344.85","2,349.00","2,332.31","2,499.90","1,473.45","73,93,052","17,24,29,15,956.40","1,73,799"
"14-Nov-2020","EQ","2,320.00","2,329.35","2,304.00","2,306.75","2,312.60","2,311.25","2,314.53","2,499.90","1,473.45","3,74,286","86,62,94,320.20","19,227"
"13-Nov-2020","EQ","2,320.00","2,323.30","2,284.00","2,332.10","2,306.70","2,306.75","2,304.09","2,499.90","1,473.45","39,99,928","9,21,61,75,813.10","1,30,409"
"12-Nov-2020","EQ","2,297.25","2,343.80","2,267.45","2,324.30","2,326.05","2,332.10","2,300.57","2,499.90","1,473.45","63,98,213","14,71,95,12,309.40","2,25,111"
"11-Nov-2020","EQ","2,279.00","2,337.00","2,273.00","2,272.10","2,318.00","2,324.30","2,307.35","2,499.90","1,473.45","72,35,313","16,69,44,03,655.00","2,05,390"
"10-Nov-2020","EQ","2,185.00","2,288.80","2,175.55","2,152.10","2,268.95","2,272.10","2,246.62","2,499.90","1,473.45","85,12,622","19,12,46,68,022.30","3,16,631"
"09-Nov-2020","EQ","2,150.00","2,169.95","2,138.20","2,138.45","2,156.00","2,152.10","2,154.09","2,499.90","1,473.45","35,29,739","7,60,33,77,837.85","1,07,244"
