"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2014","EQ","858.70","873.80","854.10","859.95","867.55","868.70","862.48","887.50","493.00","3,27,371","28,23,49,766.00","5,386"
"30-Dec-2014","EQ","860.00","862.90","848.90","860.35","858.00","859.95","857.82","887.50","493.00","2,65,312","22,75,89,920.70","5,674"
"29-Dec-2014","EQ","862.95","864.40","856.00","857.90","859.95","860.35","860.48","887.50","493.00","3,98,623","34,30,07,944.45","8,204"
"26-Dec-2014","EQ","852.00","863.00","846.00","849.05","862.90","857.90","852.34","887.50","493.00","2,41,337","20,57,00,436.00","10,042"
"24-Dec-2014","EQ","855.60","858.00","845.00","855.70","849.15","849.05","850.49","887.50","493.00","5,05,945","43,03,02,940.00","14,020"
"23-Dec-2014","EQ","856.90","860.95","849.95","850.90","855.00","855.70","856.80","887.50","493.00","7,81,646","66,97,18,116.00","16,246"
"22-Dec-2014","EQ","838.25","855.40","838.25","838.10","851.00","850.90","851.22","887.50","493.00","5,49,797","46,79,99,425.95","11,824"
"19-Dec-2014","EQ","855.00","858.70","835.20","849.30","837.95","838.10","845.37","887.50","493.00","3,09,604","26,17,30,376.10","18,212"
"18-Dec-2014","EQ","854.00","860.05","842.00","848.45","847.30","849.30","848.96","887.50","493.00","3,79,706","32,23,54,180.15","15,110"
"17-Dec-2014","EQ","865.20","868.95","838.55","868.95","851.00","848.45","850.12","887.50","493.00","2,63,774","22,42,40,407.75","7,208"
"16-Dec-2014","EQ","875.00","876.40","857.55","881.85","871.25","868.95","866.03","887.50","493.00","4,57,833","39,64,97,815.15","16,316"
"15-Dec-2014","EQ","841.20","887.50","841.20","847.40","882.25","881.85","875.36","887.50","493.00","8,91,268","78,01,79,491.00","17,011"
"12-Dec-2014","EQ","854.65","856.10","845.00","849.55","846.00","847.40","852.16","873.00","493.00","3,57,031","30,42,46,825.50","11,567"
"11-Dec-2014","EQ","853.00","860.00","845.20","853.35","850.00","849.55","851.35","873.00","493.00","9,06,677","77,19,02,982.50","20,939"
"10-Dec-2014","EQ","844.50","858.00","842.70","847.65","853.40","853.35","852.60","873.00","493.00","4,59,169","39,14,85,335.60","11,056"
"09-Dec-2014","EQ","856.00","858.90","842.20","859.50","848.00","847.65","852.41","873.00","493.00","3,56,863","30,41,94,576.55","28,283"
"08-Dec-2014","EQ","859.00","868.00","848.40","856.95","859.60","859.50","860.75","873.00","493.00","4,78,451","41,18,27,919.25","16,977"
"05-Dec-2014","EQ","858.80","867.00","852.30","856.75","858.70","856.95","861.76","873.00","493.00","4,98,085","42,92,30,596.55","8,511"
"04-Dec-2014","EQ","862.00","862.00","845.85","859.05","857.25","856.75","855.60","873.00","493.00","4,37,579","37,43,90,640.10","13,314"
"03-Dec-2014","EQ","836.05","873.00","835.10","838.60","859.00","859.05","855.57","873.00","493.00","8,17,334","69,92,88,857.85","18,481"
"02-Dec-2014","EQ","820.65","840.00","819.20","827.65","838.55","838.60","830.44","865.00","493.00","4,49,894","37,36,11,558.85","6,822"
"01-Dec-2014","EQ","814.25","843.75","813.00","818.50","827.00","827.65","833.92","865.00","493.00","6,28,831","52,43,92,211.85","21,300"
"28-Nov-2014","EQ","791.50","825.00","791.45","789.10","816.20","818.50","813.99","865.00","493.00","8,23,019","66,99,25,201.30","21,529"
"27-Nov-2014","EQ","790.00","793.95","780.25","789.60","789.00","789.10","786.80","865.00","493.00","5,59,304","44,00,60,613.65","8,130"
"26-Nov-2014","EQ","786.00","802.25","782.05","786.45","786.90","789.60","788.97","865.00","493.00","9,67,802","76,35,68,199.30","14,074"
"25-Nov-2014","EQ","813.00","813.00","780.05","812.10","780.05","786.45","796.59","865.00","493.00","8,59,445","68,46,24,205.20","26,701"
"24-Nov-2014","EQ","817.65","823.00","789.30","816.90","816.90","812.10","803.18","865.00","493.00","16,37,127","1,31,49,08,815.45","35,537"
"21-Nov-2014","EQ","825.00","849.00","811.50","816.95","813.05","816.90","832.67","865.00","493.00","38,89,080","3,23,83,26,182.40","79,370"
"20-Nov-2014","EQ","784.00","865.00","768.00","757.55","805.00","816.95","823.21","865.00","493.00","54,82,688","4,51,33,86,100.05","1,11,820"
"19-Nov-2014","EQ","733.00","764.00","720.20","729.45","754.50","757.55","749.37","777.90","493.00","5,35,381","40,11,99,889.70","14,737"
"18-Nov-2014","EQ","743.00","752.00","722.00","747.05","730.00","729.45","738.78","777.90","493.00","1,56,507","11,56,24,725.45","3,737"
"17-Nov-2014","EQ","770.00","777.90","733.60","769.85","738.00","747.05","762.37","777.90","493.00","2,49,057","18,98,74,578.55","7,391"
"14-Nov-2014","EQ","759.00","773.75","754.00","753.15","773.75","769.85","765.96","773.75","493.00","3,07,905","23,58,42,974.90","11,228"
"13-Nov-2014","EQ","730.00","760.00","729.95","728.20","754.00","753.15","746.54","760.00","493.00","6,01,412","44,89,78,985.95","17,977"
"12-Nov-2014","EQ","707.00","732.90","707.00","704.10","727.00","728.20","722.64","745.75","493.00","4,32,598","31,26,10,684.75","11,205"
"11-Nov-2014","EQ","739.00","739.00","685.00","724.00","703.00","704.10","710.65","745.75","493.00","4,61,808","32,81,82,764.55","9,243"
"10-Nov-2014","EQ","690.00","745.75","679.65","678.80","725.05","724.00","715.88","745.75","493.00","6,91,316","49,48,99,091.30","16,821"
"07-Nov-2014","EQ","647.00","690.00","646.40","646.85","678.00","678.80","668.18","690.00","493.00","7,36,477","49,20,99,367.90","11,189"
"05-Nov-2014","EQ","656.00","661.80","642.00","652.75","647.00","646.85","657.13","676.95","493.00","9,71,397","63,83,29,334.45","13,057"
"03-Nov-2014","EQ","656.45","660.00","648.10","644.85","649.50","652.75","656.18","676.95","493.00","2,49,660","16,38,22,315.05","11,718"
"31-Oct-2014","EQ","644.00","651.00","637.00","633.40","643.90","644.85","645.23","676.95","493.00","7,57,848","48,89,84,700.70","14,403"
"30-Oct-2014","EQ","623.65","636.95","618.20","623.55","633.00","633.40","627.63","676.95","493.00","1,79,512","11,26,66,378.95","5,644"
"29-Oct-2014","EQ","670.00","675.00","620.15","644.25","625.50","623.55","642.66","676.95","493.00","3,84,019","24,67,93,551.70","11,668"
"28-Oct-2014","EQ","640.00","649.60","631.70","639.35","643.10","644.25","640.93","676.95","493.00","96,378","6,17,71,167.05","8,345"
"27-Oct-2014","EQ","649.00","649.95","633.00","648.10","642.00","639.35","637.84","676.95","493.00","78,892","5,03,20,600.10","4,311"
"23-Oct-2014","EQ","638.50","651.00","638.50","646.65","645.10","648.10","647.57","676.95","493.00","13,887","89,92,736.20","506"
"22-Oct-2014","EQ","640.05","650.00","625.25","637.90","648.50","646.65","638.21","676.95","493.00","72,237","4,61,02,353.55","4,172"
"21-Oct-2014","EQ","631.35","648.00","631.35","631.35","638.00","637.90","639.73","676.95","493.00","78,391","5,01,49,006.55","2,728"
"20-Oct-2014","EQ","644.00","648.70","619.00","632.35","639.00","631.35","628.20","676.95","493.00","46,018","2,89,08,280.40","4,747"
"17-Oct-2014","EQ","614.70","676.95","611.05","614.60","656.00","632.35","625.64","676.95","493.00","40,801","2,55,26,596.60","1,111"
"16-Oct-2014","EQ","624.95","624.95","610.10","617.65","614.70","614.60","614.17","673.00","493.00","60,058","3,68,85,626.10","2,739"
"14-Oct-2014","EQ","619.00","621.75","608.05","614.35","620.00","617.65","616.31","673.00","493.00","17,636","1,08,69,252.90","1,203"
"13-Oct-2014","EQ","615.55","618.90","608.20","615.55","613.00","614.35","613.29","673.00","493.00","28,678","1,75,87,904.30","826"
"10-Oct-2014","EQ","612.50","619.75","607.00","610.60","619.00","615.55","613.49","673.00","493.00","16,922","1,03,81,550.70","997"
"09-Oct-2014","EQ","602.00","619.40","601.00","602.10","615.00","610.60","609.68","673.00","493.00","70,188","4,27,92,239.15","4,038"
"08-Oct-2014","EQ","593.00","608.70","587.00","590.75","602.00","602.10","600.14","673.00","493.00","1,02,826","6,17,10,476.20","1,972"
"07-Oct-2014","EQ","586.00","606.90","586.00","594.75","595.90","590.75","591.76","673.00","493.00","33,356","1,97,38,776.30","730"
"01-Oct-2014","EQ","595.95","597.00","586.70","594.25","594.00","594.75","592.32","673.00","493.00","23,625","1,39,93,507.85","1,170"
"30-Sep-2014","EQ","596.90","596.90","587.00","595.20","595.00","594.25","594.70","673.00","493.00","92,731","5,51,46,724.90","725"
"29-Sep-2014","EQ","596.00","601.95","588.65","593.30","592.95","595.20","594.16","673.00","493.00","64,033","3,80,45,630.75","2,000"
"26-Sep-2014","EQ","584.95","599.80","582.15","586.35","588.10","593.30","594.22","673.00","485.00","1,25,516","7,45,83,743.35","4,211"
"25-Sep-2014","EQ","611.00","611.00","571.50","608.65","586.00","586.35","595.38","673.00","485.00","47,793","2,84,55,013.30","1,938"
"24-Sep-2014","EQ","610.00","624.75","601.10","611.90","615.15","608.65","610.60","673.00","485.00","48,839","2,98,21,206.95","1,661"
"23-Sep-2014","EQ","624.05","631.75","608.00","625.05","615.80","611.90","622.31","673.00","485.00","80,459","5,00,70,514.45","2,641"
"22-Sep-2014","EQ","623.05","630.00","614.00","617.15","627.00","625.05","624.86","673.00","485.00","71,038","4,43,89,031.95","1,169"
"19-Sep-2014","EQ","636.85","636.85","612.00","629.25","623.00","617.15","623.30","673.00","485.00","2,98,537","18,60,77,314.45","1,880"
"18-Sep-2014","EQ","625.05","634.00","625.00","624.95","629.00","629.25","629.60","673.00","485.00","64,660","4,07,10,240.25","1,932"
"17-Sep-2014","EQ","632.90","632.90","595.60","624.55","623.40","624.95","620.56","673.00","485.00","66,074","4,10,03,169.10","1,601"
"16-Sep-2014","EQ","637.95","640.00","609.20","639.10","626.00","624.55","630.98","673.00","485.00","1,59,336","10,05,37,456.10","1,560"
"15-Sep-2014","EQ","639.00","643.50","629.95","638.55","638.00","639.10","636.81","673.00","485.00","1,75,815","11,19,61,078.15","2,249"
"12-Sep-2014","EQ","639.90","640.00","631.10","637.05","637.50","638.55","635.16","673.00","485.00","1,27,559","8,10,20,032.15","3,148"
"11-Sep-2014","EQ","634.95","646.00","631.10","633.05","635.10","637.05","637.57","673.00","485.00","1,56,794","9,99,66,416.85","5,137"
"10-Sep-2014","EQ","638.50","638.50","627.00","633.60","631.50","633.05","632.87","673.00","485.00","5,41,874","34,29,34,706.10","2,374"
"09-Sep-2014","EQ","630.00","636.95","626.00","628.65","635.00","633.60","633.54","673.00","485.00","35,860","2,27,18,668.15","1,334"
"08-Sep-2014","EQ","625.95","633.50","625.00","625.95","628.00","628.65","628.54","673.00","485.00","2,33,448","14,67,31,088.70","2,424"
"05-Sep-2014","EQ","625.30","633.95","623.00","629.25","625.95","625.95","627.92","673.00","407.00","2,54,641","15,98,94,581.25","2,101"
"04-Sep-2014","EQ","633.00","635.00","624.70","638.40","627.00","629.25","629.80","673.00","407.00","43,201","2,72,07,953.70","3,157"
"03-Sep-2014","EQ","634.00","641.00","627.00","633.55","636.00","638.40","637.38","673.00","407.00","1,05,503","6,72,45,998.60","6,053"
"02-Sep-2014","EQ","639.40","642.70","625.00","632.40","630.00","633.55","638.23","673.00","407.00","1,22,272","7,80,37,289.75","4,650"
"01-Sep-2014","EQ","630.00","635.00","618.00","627.35","635.00","632.40","630.93","673.00","407.00","1,19,318","7,52,81,023.15","1,038"
"28-Aug-2014","EQ","626.00","635.00","623.10","630.95","625.05","627.35","629.62","673.00","405.55","74,965","4,71,99,646.30","2,659"
"27-Aug-2014","EQ","639.00","648.40","622.00","638.85","635.00","630.95","633.65","673.00","405.55","25,291","1,60,25,613.25","1,372"
"26-Aug-2014","EQ","638.00","643.90","620.50","642.75","637.35","638.85","637.53","673.00","405.55","98,715","6,29,33,739.15","2,372"
"25-Aug-2014","EQ","647.00","659.00","635.20","644.75","635.30","642.75","652.56","673.00","405.55","1,06,568","6,95,41,772.75","3,964"
"22-Aug-2014","EQ","630.00","647.80","630.00","630.45","640.50","644.75","644.10","673.00","405.55","2,88,155","18,56,00,830.25","3,161"
"21-Aug-2014","EQ","637.65","637.65","625.00","627.65","635.00","630.45","630.09","673.00","405.55","74,864","4,71,70,689.40","3,025"
"20-Aug-2014","EQ","623.80","636.65","612.00","612.40","627.90","627.65","628.43","673.00","405.55","1,20,932","7,59,97,599.40","2,174"
"19-Aug-2014","EQ","606.50","621.05","606.50","612.90","615.00","612.40","615.28","673.00","405.55","32,852","2,02,13,060.35","1,047"
