"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2022","EQ","3,400.00","3,454.00","3,380.30","3,429.00","3,442.70","3,433.85","3,418.98","4,886.55","2,649.20","10,04,872","3,43,56,39,830.25","46,138"
"21-Nov-2022","EQ","3,506.25","3,509.00","3,413.05","3,506.15","3,425.00","3,429.00","3,446.53","4,886.55","2,649.20","9,88,507","3,40,69,18,831.90","48,253"
"18-Nov-2022","EQ","3,540.20","3,580.00","3,461.00","3,540.60","3,511.25","3,506.15","3,504.90","5,060.00","2,649.20","7,45,188","2,61,18,05,964.45","45,374"
"17-Nov-2022","EQ","3,620.00","3,620.00","3,482.20","3,633.25","3,536.00","3,540.60","3,531.02","5,060.00","2,649.20","8,90,088","3,14,29,19,010.35","47,342"
"16-Nov-2022","EQ","3,712.00","3,758.00","3,612.05","3,711.35","3,629.00","3,633.25","3,682.49","5,060.00","2,649.20","7,26,508","2,67,53,55,055.90","52,545"
"15-Nov-2022","EQ","3,785.60","3,900.00","3,683.00","3,766.75","3,705.00","3,711.35","3,768.68","5,060.00","2,649.20","16,39,217","6,17,76,76,806.10","1,02,229"
"14-Nov-2022","EQ","3,676.00","3,790.45","3,671.75","3,664.40","3,760.00","3,766.75","3,754.38","5,060.00","2,649.20","11,36,773","4,26,78,76,938.95","76,413"
"11-Nov-2022","EQ","3,550.00","3,678.00","3,535.25","3,479.80","3,662.00","3,664.40","3,640.69","5,060.00","2,649.20","12,79,876","4,65,96,35,101.30","72,595"
"10-Nov-2022","EQ","3,460.00","3,518.35","3,443.40","3,484.00","3,482.00","3,479.80","3,489.12","5,060.00","2,649.20","2,20,375","76,89,13,939.70","18,003"
"09-Nov-2022","EQ","3,510.00","3,541.00","3,465.00","3,505.40","3,490.00","3,484.00","3,506.83","5,060.00","2,649.20","2,83,254","99,33,24,991.55","25,610"
"07-Nov-2022","EQ","3,484.00","3,515.00","3,466.10","3,468.60","3,501.70","3,505.40","3,493.13","5,060.00","2,649.20","2,26,992","79,29,11,917.70","21,970"
"04-Nov-2022","EQ","3,482.00","3,485.00","3,428.30","3,497.95","3,481.45","3,468.60","3,459.74","5,060.00","2,649.20","2,56,183","88,63,27,362.40","19,435"
"03-Nov-2022","EQ","3,450.00","3,506.90","3,435.30","3,501.25","3,499.00","3,497.95","3,480.24","5,060.00","2,649.20","2,84,542","99,02,74,038.65","18,755"
"02-Nov-2022","EQ","3,512.00","3,536.00","3,458.00","3,508.70","3,493.55","3,501.25","3,501.72","5,060.00","2,649.20","4,99,218","1,74,81,22,236.45","30,216"
"01-Nov-2022","EQ","3,396.00","3,519.80","3,396.00","3,403.75","3,512.00","3,508.70","3,465.91","5,060.00","2,649.20","5,08,109","1,76,10,61,836.20","30,469"
"31-Oct-2022","EQ","3,320.00","3,412.55","3,319.95","3,283.35","3,401.55","3,403.75","3,385.00","5,060.00","2,649.20","5,50,939","1,86,49,26,459.00","39,072"
"28-Oct-2022","EQ","3,358.70","3,368.50","3,274.00","3,358.70","3,279.00","3,283.35","3,302.99","5,060.00","2,649.20","4,99,305","1,64,91,99,217.35","45,748"
"27-Oct-2022","EQ","3,455.25","3,470.00","3,345.90","3,465.35","3,356.15","3,358.70","3,383.19","5,060.00","2,649.20","6,47,362","2,19,01,48,827.45","37,467"
"25-Oct-2022","EQ","3,422.00","3,485.00","3,397.00","3,422.80","3,460.00","3,465.35","3,458.28","5,060.00","2,649.20","5,20,462","1,79,99,04,932.05","32,488"
"24-Oct-2022","EQ","3,465.00","3,470.00","3,413.80","3,436.45","3,422.00","3,422.80","3,435.31","5,060.00","2,649.20","73,559","25,26,97,986.70","5,890"
"21-Oct-2022","EQ","3,441.65","3,469.95","3,420.50","3,456.70","3,420.50","3,436.45","3,442.47","5,060.00","2,649.20","3,49,439","1,20,29,33,014.50","25,903"
"20-Oct-2022","EQ","3,390.00","3,463.00","3,370.10","3,404.45","3,441.65","3,456.70","3,425.42","5,060.00","2,649.20","3,79,004","1,29,82,47,698.10","25,647"
"19-Oct-2022","EQ","3,421.10","3,434.30","3,387.05","3,420.10","3,402.00","3,404.45","3,407.13","5,060.00","2,649.20","3,34,522","1,13,97,58,622.55","22,838"
"18-Oct-2022","EQ","3,363.50","3,455.00","3,352.00","3,331.25","3,413.05","3,420.10","3,412.80","5,060.00","2,649.20","7,47,408","2,55,07,54,216.70","42,752"
"17-Oct-2022","EQ","3,380.00","3,384.80","3,302.00","3,379.75","3,332.00","3,331.25","3,326.69","5,060.00","2,649.20","5,82,283","1,93,70,73,005.30","27,484"
"14-Oct-2022","EQ","3,450.00","3,472.05","3,343.00","3,323.65","3,389.00","3,379.75","3,413.99","5,060.00","2,649.20","23,44,646","8,00,45,94,181.50","1,11,371"
"13-Oct-2022","EQ","3,345.90","3,348.00","3,273.50","3,346.10","3,318.00","3,323.65","3,309.54","5,060.00","2,649.20","4,13,243","1,36,76,44,110.30","27,405"
"12-Oct-2022","EQ","3,322.00","3,355.00","3,277.00","3,310.40","3,348.00","3,346.10","3,321.37","5,060.00","2,649.20","4,76,244","1,58,17,81,710.20","27,391"
"11-Oct-2022","EQ","3,378.00","3,409.00","3,296.50","3,348.00","3,300.00","3,310.40","3,370.14","5,060.00","2,649.20","11,78,975","3,97,33,14,627.30","62,706"
"10-Oct-2022","EQ","3,230.00","3,356.70","3,195.50","3,277.00","3,355.60","3,348.00","3,287.15","5,060.00","2,649.20","6,75,466","2,22,03,58,720.25","45,931"
"07-Oct-2022","EQ","3,296.40","3,316.80","3,250.00","3,302.45","3,277.00","3,277.00","3,281.44","5,060.00","2,649.20","4,17,784","1,37,09,33,938.25","30,299"
"06-Oct-2022","EQ","3,269.00","3,309.95","3,249.00","3,246.50","3,303.00","3,302.45","3,284.21","5,060.00","2,649.20","5,52,995","1,81,61,50,139.85","43,439"
"04-Oct-2022","EQ","3,170.00","3,255.00","3,158.00","3,119.65","3,246.00","3,246.50","3,225.93","5,060.00","2,649.20","6,68,584","2,15,68,05,121.00","37,944"
"03-Oct-2022","EQ","3,140.00","3,179.30","3,088.00","3,159.15","3,118.55","3,119.65","3,129.00","5,060.00","2,649.20","4,84,170","1,51,49,65,979.95","32,826"
"30-Sep-2022","EQ","3,070.00","3,176.00","2,991.45","3,089.20","3,160.00","3,159.15","3,071.59","5,060.00","2,649.20","9,74,731","2,99,39,77,724.65","59,804"
"29-Sep-2022","EQ","3,225.00","3,248.65","3,055.00","3,191.50","3,085.00","3,089.20","3,108.77","5,060.00","2,649.20","17,81,719","5,53,89,51,748.45","68,091"
"28-Sep-2022","EQ","3,230.00","3,268.00","3,170.35","3,248.00","3,170.35","3,191.50","3,228.58","5,060.00","2,649.20","6,66,264","2,15,10,86,020.05","38,682"
"27-Sep-2022","EQ","3,171.80","3,264.35","3,117.80","3,136.00","3,257.00","3,248.00","3,204.80","5,060.00","2,649.20","8,45,309","2,70,90,45,705.60","49,083"
"26-Sep-2022","EQ","3,119.90","3,199.00","3,050.00","3,148.20","3,133.05","3,136.00","3,134.48","5,060.00","2,649.20","5,71,256","1,79,05,90,362.90","42,695"
"23-Sep-2022","EQ","3,160.00","3,237.55","3,130.00","3,168.15","3,139.00","3,148.20","3,195.66","5,060.00","2,649.20","6,58,513","2,10,43,86,477.50","43,141"
"22-Sep-2022","EQ","3,120.00","3,190.00","3,110.40","3,152.35","3,179.80","3,168.15","3,158.62","5,060.00","2,649.20","3,39,234","1,07,15,10,878.65","26,835"
"21-Sep-2022","EQ","3,125.00","3,189.85","3,116.00","3,132.55","3,150.00","3,152.35","3,162.26","5,060.00","2,649.20","4,01,513","1,26,96,89,801.60","28,422"
"20-Sep-2022","EQ","3,155.00","3,206.90","3,121.25","3,112.15","3,132.00","3,132.55","3,166.21","5,060.00","2,649.20","5,25,609","1,66,41,86,894.30","30,525"
"19-Sep-2022","EQ","3,110.00","3,129.60","3,036.05","3,111.05","3,113.00","3,112.15","3,098.39","5,060.00","2,649.20","5,88,676","1,82,39,46,695.55","39,003"
"16-Sep-2022","EQ","3,246.00","3,250.00","3,096.90","3,266.15","3,109.00","3,111.05","3,160.31","5,060.00","2,649.20","6,59,935","2,08,55,98,219.85","54,035"
"15-Sep-2022","EQ","3,292.90","3,309.00","3,215.60","3,276.50","3,262.00","3,266.15","3,253.59","5,060.00","2,649.20","3,68,062","1,19,75,21,105.40","25,018"
"14-Sep-2022","EQ","3,244.40","3,288.00","3,204.05","3,371.75","3,276.90","3,276.50","3,266.42","5,060.00","2,649.20","7,15,473","2,33,70,32,926.20","46,711"
"13-Sep-2022","EQ","3,416.00","3,424.55","3,348.00","3,392.45","3,372.00","3,371.75","3,376.00","5,060.00","2,649.20","4,36,676","1,47,42,19,763.60","26,333"
"12-Sep-2022","EQ","3,345.00","3,408.75","3,329.00","3,309.45","3,388.00","3,392.45","3,383.55","5,060.00","2,649.20","6,96,388","2,35,62,62,328.80","45,428"
"09-Sep-2022","EQ","3,232.00","3,319.00","3,206.00","3,211.65","3,309.00","3,309.45","3,274.49","5,060.00","2,649.20","6,11,534","2,00,24,61,965.35","35,684"
"08-Sep-2022","EQ","3,267.90","3,270.00","3,199.35","3,211.00","3,205.00","3,211.65","3,234.32","5,060.00","2,649.20","4,14,410","1,34,03,36,553.15","25,527"
"07-Sep-2022","EQ","3,158.00","3,225.00","3,151.00","3,187.15","3,225.00","3,211.00","3,188.32","5,060.00","2,649.20","3,80,110","1,21,19,13,413.60","28,913"
"06-Sep-2022","EQ","3,224.00","3,234.00","3,165.05","3,203.65","3,186.00","3,187.15","3,192.85","5,060.00","2,649.20","3,64,272","1,16,30,67,277.10","31,929"
"05-Sep-2022","EQ","3,217.00","3,249.40","3,186.00","3,210.30","3,208.00","3,203.65","3,211.71","5,060.00","2,649.20","3,08,821","99,18,42,549.30","25,403"
"02-Sep-2022","EQ","3,267.00","3,269.90","3,203.00","3,227.05","3,205.00","3,210.30","3,235.43","5,060.00","2,649.20","3,62,440","1,17,26,47,945.60","26,608"
"01-Sep-2022","EQ","3,240.40","3,273.90","3,202.00","3,306.50","3,240.00","3,227.05","3,236.01","5,060.00","2,649.20","4,51,072","1,45,96,71,271.85","34,187"
"30-Aug-2022","EQ","3,216.80","3,329.90","3,201.00","3,176.60","3,320.15","3,306.50","3,279.69","5,060.00","2,649.20","9,97,448","3,27,13,21,996.70","55,419"
"29-Aug-2022","EQ","3,155.00","3,250.00","3,125.60","3,319.30","3,179.00","3,176.60","3,176.64","5,060.00","2,649.20","6,65,429","2,11,38,28,493.60","57,446"
"26-Aug-2022","EQ","3,344.05","3,383.95","3,310.10","3,301.75","3,322.50","3,319.30","3,349.76","5,060.00","2,649.20","3,95,154","1,32,36,69,730.20","27,435"
"25-Aug-2022","EQ","3,360.00","3,379.80","3,291.25","3,331.45","3,296.00","3,301.75","3,335.56","5,060.00","2,649.20","4,28,817","1,43,03,46,335.70","28,902"
"24-Aug-2022","EQ","3,350.00","3,366.65","3,307.05","3,331.75","3,324.00","3,331.45","3,331.69","5,060.00","2,649.20","3,28,959","1,09,59,90,962.35","27,166"
"23-Aug-2022","EQ","3,317.00","3,370.00","3,276.00","3,381.60","3,340.10","3,331.75","3,320.76","5,060.00","2,649.20","6,53,820","2,17,11,77,698.65","47,369"
"22-Aug-2022","EQ","3,495.00","3,495.00","3,370.65","3,520.70","3,380.00","3,381.60","3,418.73","5,060.00","2,649.20","5,13,326","1,75,49,23,943.05","43,811"
"19-Aug-2022","EQ","3,530.00","3,619.50","3,502.00","3,533.35","3,502.80","3,520.70","3,575.60","5,060.00","2,649.20","9,23,320","3,30,14,23,215.65","61,016"
"18-Aug-2022","EQ","3,548.65","3,548.65","3,476.85","3,558.65","3,533.00","3,533.35","3,514.49","5,060.00","2,649.20","4,47,708","1,57,34,63,058.90","37,233"
"17-Aug-2022","EQ","3,545.00","3,597.25","3,522.35","3,528.40","3,555.00","3,558.65","3,565.67","5,060.00","2,649.20","4,60,578","1,64,22,70,080.20","35,114"
"16-Aug-2022","EQ","3,578.40","3,579.30","3,516.05","3,534.80","3,526.00","3,528.40","3,536.99","5,060.00","2,649.20","3,99,083","1,41,15,54,320.25","35,976"
"12-Aug-2022","EQ","3,620.05","3,620.65","3,527.05","3,623.10","3,535.50","3,534.80","3,562.87","5,060.00","2,649.20","5,11,560","1,82,26,22,691.90","39,306"
"11-Aug-2022","EQ","3,589.90","3,630.00","3,550.30","3,500.10","3,615.20","3,623.10","3,610.06","5,060.00","2,649.20","7,58,425","2,73,79,58,429.55","51,109"
"10-Aug-2022","EQ","3,557.00","3,557.00","3,451.05","3,530.25","3,494.75","3,500.10","3,487.84","5,060.00","2,649.20","4,20,155","1,46,54,33,279.80","38,561"
