"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2009","EQ","218.90","222.80","215.00","215.15","217.00","215.70","219.41","222.80","83.00","2,33,447","5,12,21,451.05","-"
"30-Dec-2009","EQ","203.10","216.80","203.10","205.30","216.00","215.15","213.49","218.70","83.00","4,31,950","9,22,16,277.65","-"
"29-Dec-2009","EQ","205.30","209.00","190.10","202.30","205.00","205.30","205.48","218.70","83.00","1,36,833","2,81,15,918.10","-"
"24-Dec-2009","EQ","196.00","205.65","195.20","195.75","201.95","202.30","201.96","218.70","83.00","1,74,417","3,52,25,486.65","-"
"23-Dec-2009","EQ","197.20","198.40","195.00","195.80","196.60","195.75","196.23","218.70","83.00","20,587","40,39,689.90","-"
"22-Dec-2009","EQ","194.85","199.00","192.20","192.45","195.95","195.80","196.05","218.70","83.00","59,609","1,16,86,639.25","-"
"21-Dec-2009","EQ","193.00","201.00","191.05","194.90","192.15","192.45","195.77","218.70","83.00","35,174","68,85,885.80","-"
"18-Dec-2009","EQ","199.00","201.50","193.50","198.00","194.90","194.90","197.19","218.70","83.00","27,054","53,34,866.20","-"
"17-Dec-2009","EQ","195.00","202.40","195.00","194.25","198.00","198.00","199.34","218.70","83.00","71,200","1,41,93,147.90","-"
"16-Dec-2009","EQ","192.00","202.80","190.05","192.55","194.50","194.25","198.36","218.70","83.00","1,00,202","1,98,76,449.30","-"
"15-Dec-2009","EQ","198.90","200.00","191.60","197.65","192.05","192.55","196.21","218.70","83.00","24,042","47,17,311.25","-"
"14-Dec-2009","EQ","203.30","205.50","196.35","203.55","197.30","197.65","200.51","218.70","83.00","44,758","89,74,597.00","-"
"11-Dec-2009","EQ","202.00","207.90","202.00","202.00","203.45","203.55","205.10","218.70","83.00","1,04,738","2,14,82,071.85","-"
"10-Dec-2009","EQ","195.20","208.00","195.20","196.70","201.50","202.00","204.09","218.70","83.00","2,96,730","6,05,58,635.35","-"
"09-Dec-2009","EQ","190.00","204.45","190.00","190.80","196.80","196.70","199.82","218.70","83.00","3,05,462","6,10,38,926.45","-"
"08-Dec-2009","EQ","189.00","194.00","188.90","190.80","190.95","190.80","191.64","218.70","83.00","25,279","48,44,556.85","-"
"07-Dec-2009","EQ","194.95","195.50","189.20","194.25","190.20","190.80","192.06","218.70","83.00","59,416","1,14,11,708.20","-"
"04-Dec-2009","EQ","183.50","200.90","183.50","185.65","193.00","194.25","194.69","218.70","83.00","2,41,463","4,70,11,430.85","-"
"03-Dec-2009","EQ","187.00","190.90","185.00","186.15","185.30","185.65","187.51","218.70","83.00","20,522","38,48,139.70","-"
"02-Dec-2009","EQ","185.95","191.00","185.00","184.90","185.60","186.15","187.69","218.70","83.00","36,890","69,24,062.75","-"
"01-Dec-2009","EQ","183.70","188.40","181.50","181.50","185.70","184.90","185.84","218.70","83.00","36,236","67,34,270.75","-"
"30-Nov-2009","EQ","184.00","184.00","178.50","177.85","181.85","181.50","182.32","218.70","83.00","22,938","41,81,948.95","-"
"27-Nov-2009","EQ","181.60","181.90","174.55","184.00","178.90","177.85","177.33","218.70","83.00","28,846","51,15,133.90","-"
"26-Nov-2009","EQ","188.45","188.50","182.00","187.45","184.75","184.00","183.90","218.70","83.00","21,265","39,10,646.60","-"
"25-Nov-2009","EQ","190.00","191.95","185.70","188.25","186.70","187.45","188.86","218.70","83.00","39,603","74,79,226.35","-"
"24-Nov-2009","EQ","184.50","191.50","183.50","184.90","188.00","188.25","188.28","218.70","83.00","90,040","1,69,52,461.05","-"
"23-Nov-2009","EQ","182.00","186.00","182.00","182.80","185.00","184.90","184.64","218.70","83.00","26,512","48,95,176.20","-"
"20-Nov-2009","EQ","181.20","187.45","181.20","182.45","182.95","182.80","184.30","218.70","82.05","37,353","68,84,053.20","-"
"19-Nov-2009","EQ","207.20","207.20","181.20","181.50","183.00","182.45","185.44","218.70","82.05","41,943","77,77,983.10","-"
"18-Nov-2009","EQ","183.50","184.95","181.00","182.50","181.20","181.50","182.86","218.70","82.05","25,717","47,02,495.75","-"
"17-Nov-2009","EQ","184.00","184.00","181.00","182.35","182.00","182.50","182.42","218.70","82.05","20,021","36,52,224.45","-"
"16-Nov-2009","EQ","183.50","184.90","181.05","180.60","182.60","182.35","182.98","218.70","82.05","31,585","57,79,369.05","-"
"13-Nov-2009","EQ","178.05","184.00","178.05","180.35","180.70","180.60","181.85","218.70","81.00","23,846","43,36,277.60","-"
"12-Nov-2009","EQ","183.20","186.65","179.10","182.55","180.20","180.35","182.55","218.70","81.00","32,089","58,57,957.65","-"
"11-Nov-2009","EQ","180.00","187.40","178.00","179.65","182.20","182.55","183.67","218.70","81.00","95,513","1,75,43,349.55","-"
"10-Nov-2009","EQ","183.00","184.75","179.05","182.25","180.00","179.65","181.71","218.70","81.00","34,358","62,43,256.45","-"
"09-Nov-2009","EQ","183.90","187.90","180.00","184.60","183.00","182.25","183.14","218.70","81.00","58,674","1,07,45,437.95","-"
"06-Nov-2009","EQ","176.60","189.00","175.05","173.00","184.05","184.60","182.91","218.70","81.00","1,71,064","3,12,89,288.75","-"
"05-Nov-2009","EQ","175.00","175.70","170.30","174.15","173.00","173.00","173.07","218.70","81.00","36,861","63,79,528.55","-"
"04-Nov-2009","EQ","174.00","178.40","172.05","173.20","174.00","174.15","174.97","218.70","81.00","44,623","78,07,573.45","-"
"03-Nov-2009","EQ","180.00","186.00","171.00","177.50","174.50","173.20","180.66","218.70","81.00","1,82,503","3,29,70,740.90","-"
"30-Oct-2009","EQ","175.00","195.80","172.05","169.05","175.60","177.50","186.36","218.70","81.00","7,97,117","14,85,53,004.95","-"
"29-Oct-2009","EQ","171.65","174.00","168.00","174.95","168.75","169.05","171.07","218.70","81.00","23,966","40,99,892.95","-"
"28-Oct-2009","EQ","175.50","181.85","172.15","178.05","175.00","174.95","176.85","218.70","81.00","36,909","65,27,198.60","-"
"27-Oct-2009","EQ","186.75","189.50","176.75","187.40","179.40","178.05","182.74","218.70","81.00","44,560","81,42,968.45","-"
"26-Oct-2009","EQ","188.10","193.50","184.50","191.15","187.10","187.40","189.38","218.70","81.00","38,294","72,52,095.20","-"
"23-Oct-2009","EQ","194.85","196.75","190.25","192.45","191.70","191.15","193.94","218.70","81.00","39,832","77,24,964.80","-"
"22-Oct-2009","EQ","194.00","201.95","191.10","194.40","193.00","192.45","197.09","218.70","81.00","99,310","1,95,73,207.70","-"
"21-Oct-2009","EQ","201.70","201.95","193.00","199.70","194.50","194.40","198.50","218.70","81.00","1,28,490","2,55,04,789.50","-"
"20-Oct-2009","EQ","189.60","205.45","184.40","187.90","199.00","199.70","200.64","218.70","81.00","6,79,780","13,63,91,201.50","-"
"17-Oct-2009","EQ","190.00","190.25","186.25","187.50","188.00","187.90","188.38","218.70","81.00","11,318","21,32,085.50","-"
"16-Oct-2009","EQ","189.10","191.65","186.60","187.35","188.00","187.50","188.83","218.70","81.00","35,981","67,94,324.45","-"
"15-Oct-2009","EQ","189.90","198.00","186.10","186.85","188.00","187.35","197.44","218.70","81.00","5,96,302","11,77,31,133.00","-"
"14-Oct-2009","EQ","190.00","190.95","186.00","187.30","186.50","186.85","188.02","218.70","81.00","32,269","60,67,095.15","-"
"12-Oct-2009","EQ","188.00","192.00","185.35","186.90","188.50","187.30","189.19","218.70","81.00","48,085","90,97,410.85","-"
"09-Oct-2009","EQ","195.00","218.70","185.25","185.60","187.10","186.90","191.42","218.70","81.00","1,52,022","2,90,99,658.65","-"
"08-Oct-2009","EQ","187.70","190.70","183.10","183.75","187.00","185.60","187.32","203.50","81.00","78,281","1,46,63,535.15","-"
"07-Oct-2009","EQ","172.25","191.50","172.25","181.80","183.90","183.75","186.07","203.50","81.00","78,062","1,45,24,983.00","-"
"06-Oct-2009","EQ","184.90","188.00","178.85","184.10","181.50","181.80","182.82","203.50","81.00","52,474","95,93,103.95","-"
"05-Oct-2009","EQ","184.20","191.45","183.10","188.05","184.00","184.10","187.02","203.50","81.00","44,372","82,98,475.15","-"
"01-Oct-2009","EQ","190.85","197.30","187.00","189.45","188.00","188.05","192.55","203.50","81.00","1,33,825","2,57,68,433.55","-"
"30-Sep-2009","EQ","195.90","197.80","188.00","195.25","189.20","189.45","191.82","203.50","81.00","1,43,209","2,74,70,591.55","-"
"29-Sep-2009","EQ","175.05","203.50","175.05","183.85","196.00","195.25","198.34","203.50","81.00","9,84,255","19,52,18,179.80","-"
"25-Sep-2009","EQ","180.00","187.70","180.00","181.85","182.25","183.85","184.34","203.50","81.00","95,634","1,76,28,739.05","-"
"24-Sep-2009","EQ","180.50","187.85","177.00","180.95","182.00","181.85","183.37","203.50","81.00","1,57,219","2,88,29,258.15","-"
