"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2010","EQ","476.00","488.80","471.00","473.05","475.00","476.50","480.35","624.80","411.00","9,31,548","44,74,65,919.80","-"
"30-Dec-2010","EQ","477.80","477.80","465.40","472.30","474.00","473.05","471.11","624.80","411.00","3,55,236","16,73,56,528.85","-"
"29-Dec-2010","EQ","473.50","478.95","470.00","471.85","471.80","472.30","474.90","624.80","411.00","2,85,366","13,55,21,226.35","-"
"28-Dec-2010","EQ","489.70","495.00","454.45","486.65","472.00","471.85","472.74","624.80","411.00","12,12,400","57,31,55,297.75","-"
"27-Dec-2010","EQ","495.00","497.75","484.00","490.00","486.20","486.65","490.97","624.80","411.00","4,43,765","21,78,76,267.15","-"
"24-Dec-2010","EQ","483.00","494.80","481.50","480.45","492.50","490.00","487.55","624.80","411.00","7,61,522","37,12,81,307.55","-"
"23-Dec-2010","EQ","482.00","487.70","474.35","479.80","478.20","480.45","480.91","624.80","411.00","3,12,970","15,05,08,859.90","-"
"22-Dec-2010","EQ","500.10","503.00","475.15","491.05","479.00","479.80","487.84","624.80","411.00","8,90,604","43,44,72,313.65","-"
"21-Dec-2010","EQ","475.00","493.95","474.15","469.40","492.05","491.05","486.36","624.80","411.00","7,66,024","37,25,65,703.95","-"
"20-Dec-2010","EQ","484.10","488.95","465.00","482.30","468.10","469.40","472.93","624.80","411.00","3,96,706","18,76,15,311.55","-"
"16-Dec-2010","EQ","484.00","497.15","437.60","483.05","481.90","482.30","484.89","624.80","411.00","8,88,001","43,05,82,778.15","-"
"15-Dec-2010","EQ","472.00","487.00","467.15","461.05","483.55","483.05","479.88","624.80","411.00","6,34,187","30,43,34,929.00","-"
"14-Dec-2010","EQ","456.25","468.65","454.10","453.85","460.30","461.05","461.73","624.80","411.00","1,49,060","6,88,25,748.20","-"
"13-Dec-2010","EQ","459.30","462.00","444.00","452.45","455.70","453.85","452.88","624.80","411.00","1,33,859","6,06,21,530.85","-"
"10-Dec-2010","EQ","447.25","461.00","445.00","449.15","453.50","452.45","453.01","624.80","411.00","1,72,925","7,83,36,934.55","-"
"09-Dec-2010","EQ","460.00","465.00","426.00","463.80","453.00","449.15","443.52","624.80","411.00","4,86,214","21,56,46,171.90","-"
"08-Dec-2010","EQ","455.00","469.70","454.95","464.10","461.30","463.80","463.93","624.80","411.00","2,30,257","10,68,24,058.60","-"
"07-Dec-2010","EQ","470.05","470.05","462.05","464.85","462.65","464.10","464.15","624.80","411.00","2,18,580","10,14,54,458.35","-"
"06-Dec-2010","EQ","464.00","473.00","462.00","466.40","465.05","464.85","465.92","624.80","411.00","1,56,452","7,28,94,744.05","-"
"03-Dec-2010","EQ","481.70","484.85","457.60","477.75","466.25","466.40","474.02","624.80","411.00","3,06,864","14,54,60,776.80","-"
"02-Dec-2010","EQ","469.95","484.00","468.50","467.60","478.80","477.75","478.07","624.80","411.00","6,75,266","32,28,25,243.80","-"
"01-Dec-2010","EQ","465.00","470.70","464.00","465.40","467.00","467.60","467.75","624.80","411.00","1,38,918","6,49,78,210.95","-"
"30-Nov-2010","EQ","470.10","472.70","462.15","464.15","464.30","465.40","464.79","624.80","411.00","10,19,750","47,39,65,225.90","-"
"29-Nov-2010","EQ","470.00","474.90","459.05","465.10","462.00","464.15","465.36","624.80","411.00","2,28,835","10,64,89,648.10","-"
"26-Nov-2010","EQ","460.00","472.00","442.00","451.65","464.05","465.10","459.74","624.80","411.00","12,38,844","56,95,49,961.75","-"
"25-Nov-2010","EQ","471.90","475.00","445.15","461.60","453.00","451.65","460.73","624.80","411.00","4,16,096","19,17,08,957.10","-"
