"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2009","EQ","520.10","524.85","510.00","518.90","517.10","517.95","520.42","538.45","133.10","9,21,726","47,96,80,136.70","-"
"30-Dec-2009","EQ","519.00","523.70","515.10","519.75","518.80","518.90","519.52","538.45","133.10","9,98,206","51,85,87,226.65","-"
"29-Dec-2009","EQ","515.00","524.35","498.75","520.00","520.05","519.75","515.80","538.45","133.10","26,16,043","1,34,93,51,625.95","-"
"24-Dec-2009","EQ","532.00","533.70","516.50","528.85","518.70","520.00","524.18","538.45","133.10","12,12,680","63,56,64,517.45","-"
"23-Dec-2009","EQ","526.00","530.85","521.25","522.95","528.20","528.85","527.12","538.45","133.10","9,12,024","48,07,43,621.95","-"
"22-Dec-2009","EQ","527.50","531.10","520.40","526.20","523.00","522.95","524.64","538.45","133.10","13,08,465","68,64,71,723.75","-"
"21-Dec-2009","EQ","531.50","538.45","521.50","530.35","523.20","526.20","531.63","538.45","133.10","14,63,259","77,79,15,729.65","-"
"18-Dec-2009","EQ","529.65","533.95","520.40","524.95","531.00","530.35","530.13","533.95","133.10","12,42,432","65,86,44,567.70","-"
"17-Dec-2009","EQ","528.00","531.90","521.50","526.75","523.95","524.95","525.68","531.90","133.10","12,51,822","65,80,59,849.45","-"
"16-Dec-2009","EQ","517.00","530.00","513.60","515.90","526.25","526.75","523.01","530.00","133.10","20,02,972","1,04,75,74,316.30","-"
"15-Dec-2009","EQ","525.00","525.00","511.50","516.80","517.00","515.90","519.22","525.00","133.10","19,15,358","99,44,93,137.70","-"
"14-Dec-2009","EQ","497.00","519.70","495.00","497.75","519.50","516.80","509.76","519.70","133.10","21,42,787","1,09,23,16,085.10","-"
"11-Dec-2009","EQ","505.00","508.50","495.10","502.20","496.40","497.75","501.60","519.30","133.10","10,93,762","54,86,34,381.60","-"
"10-Dec-2009","EQ","507.70","509.90","500.05","507.35","502.00","502.20","504.16","519.30","133.10","15,56,963","78,49,55,445.00","-"
"09-Dec-2009","EQ","502.95","519.30","502.95","505.55","507.00","507.35","510.34","519.30","133.10","28,03,498","1,43,07,41,617.50","-"
"08-Dec-2009","EQ","512.95","513.00","502.50","507.25","505.70","505.55","507.00","515.80","133.10","15,18,557","76,99,12,420.50","-"
"07-Dec-2009","EQ","500.00","515.65","500.00","506.20","506.50","507.25","509.61","515.80","133.10","18,84,362","96,02,91,293.55","-"
"04-Dec-2009","EQ","510.00","515.80","502.20","511.55","505.50","506.20","508.99","515.80","133.10","27,57,167","1,40,33,83,658.35","-"
"03-Dec-2009","EQ","497.65","515.60","481.80","484.65","509.15","511.55","497.22","515.60","133.10","41,46,979","2,06,19,52,719.60","-"
"02-Dec-2009","EQ","474.00","488.00","470.00","469.40","487.50","484.65","478.81","488.00","133.10","24,81,164","1,18,80,15,814.70","-"
"01-Dec-2009","EQ","460.00","471.90","455.10","455.85","471.00","469.40","467.10","471.90","133.10","19,80,438","92,50,58,332.80","-"
"30-Nov-2009","EQ","454.15","461.80","444.00","444.35","455.55","455.85","455.94","461.80","133.10","21,01,470","95,81,42,626.10","-"
"27-Nov-2009","EQ","429.90","448.50","428.00","429.75","442.10","444.35","441.58","448.50","133.10","35,68,849","1,57,59,48,297.80","-"
"26-Nov-2009","EQ","422.50","433.70","414.00","422.90","430.95","429.75","424.66","433.70","133.10","25,66,298","1,08,98,05,849.35","-"
"25-Nov-2009","EQ","420.90","429.40","420.00","421.05","423.00","422.90","425.85","431.80","133.10","9,04,600","38,52,27,856.70","-"
"24-Nov-2009","EQ","425.00","426.00","417.00","421.85","420.80","421.05","422.20","431.80","133.10","7,59,774","32,07,77,080.80","-"
"23-Nov-2009","EQ","425.75","426.80","418.40","422.65","422.95","421.85","422.87","431.80","133.10","6,99,572","29,58,26,952.80","-"
"20-Nov-2009","EQ","416.00","424.75","411.00","417.30","424.75","422.65","418.11","431.80","133.10","11,72,864","49,03,80,419.30","-"
"19-Nov-2009","EQ","424.90","431.80","414.05","422.35","417.30","417.30","424.71","431.80","133.10","18,34,606","77,91,77,434.65","-"
"18-Nov-2009","EQ","419.00","428.00","415.00","415.05","423.85","422.35","422.99","428.00","133.10","17,74,365","75,05,38,838.10","-"
"17-Nov-2009","EQ","414.00","416.90","410.45","412.60","415.65","415.05","414.43","426.90","133.10","7,06,860","29,29,42,157.40","-"
"16-Nov-2009","EQ","412.75","419.00","411.20","412.30","411.90","412.60","414.82","426.90","133.10","8,92,155","37,00,81,742.45","-"
"13-Nov-2009","EQ","415.60","418.75","408.00","412.10","411.50","412.30","413.16","426.90","133.10","7,00,432","28,93,90,837.00","-"
"12-Nov-2009","EQ","425.90","425.90","405.00","416.80","412.00","412.10","412.89","426.90","133.10","9,06,644","37,43,46,943.75","-"
