"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Nov-2010","EQ","42.35","42.70","41.60","42.35","42.40","42.25","42.05","76.50","36.85","1,14,61,133","48,18,91,282.35","-"
"08-Nov-2010","EQ","42.10","43.00","41.50","40.80","42.30","42.35","42.31","76.50","36.85","1,17,57,283","49,74,76,991.20","-"
"05-Nov-2010","EQ","41.25","41.30","40.55","40.95","40.65","40.80","40.88","76.50","36.85","9,46,311","3,86,85,144.10","-"
"04-Nov-2010","EQ","39.25","41.35","39.10","39.70","40.95","40.95","40.86","76.50","36.85","59,03,802","24,12,56,740.60","-"
"03-Nov-2010","EQ","39.00","40.45","39.00","39.15","39.70","39.70","39.92","76.50","36.85","50,85,437","20,30,20,123.40","-"
"02-Nov-2010","EQ","39.40","39.60","38.90","39.35","39.10","39.15","39.14","76.50","36.85","38,46,666","15,05,60,792.00","-"
"01-Nov-2010","EQ","39.00","39.50","38.75","38.55","39.35","39.35","39.22","76.50","36.85","39,87,642","15,64,07,560.35","-"
"29-Oct-2010","EQ","39.00","39.00","38.05","37.80","38.40","38.55","38.52","85.45","36.85","27,93,241","10,76,01,170.90","-"
"28-Oct-2010","EQ","39.00","39.30","37.50","38.95","37.80","37.80","38.45","85.45","36.85","49,92,432","19,19,73,601.10","-"
"27-Oct-2010","EQ","39.00","39.60","38.80","39.50","38.95","38.95","39.14","85.45","36.85","27,98,011","10,95,25,597.70","-"
"26-Oct-2010","EQ","39.80","40.00","39.35","39.60","39.40","39.50","39.67","85.45","36.85","29,52,280","11,71,04,527.90","-"
"25-Oct-2010","EQ","39.45","40.05","39.35","39.40","39.55","39.60","39.70","85.45","36.85","30,67,304","12,17,61,792.35","-"
"22-Oct-2010","EQ","39.45","39.75","39.30","39.45","39.35","39.40","39.45","91.20","36.85","23,84,947","9,40,75,520.00","-"
