"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2008","EQ","89.45","89.45","86.50","88.35","87.25","87.20","88.01","259.80","68.20","1,16,95,651","1,02,93,32,180.40","-"
"30-Dec-2008","EQ","89.00","89.90","86.40","88.35","87.90","88.35","88.17","259.80","68.20","1,67,37,978","1,47,57,83,007.80","-"
"29-Dec-2008","EQ","86.00","89.20","85.15","84.75","88.65","88.35","87.28","259.80","68.20","2,06,82,488","1,80,52,02,185.05","-"
"26-Dec-2008","EQ","81.50","89.90","81.50","79.40","85.20","84.75","87.17","259.80","68.20","3,44,19,422","3,00,05,01,184.85","-"
"24-Dec-2008","EQ","84.00","84.00","78.80","84.40","79.10","79.40","80.54","259.80","68.20","1,60,13,580","1,28,97,83,414.35","-"
"23-Dec-2008","EQ","88.00","88.55","83.75","88.75","84.25","84.40","86.19","259.80","68.20","1,13,34,938","97,69,27,900.60","-"
"22-Dec-2008","EQ","89.25","94.20","87.75","89.00","88.80","88.75","91.26","259.80","68.20","2,10,61,405","1,92,19,95,600.05","-"
"19-Dec-2008","EQ","87.50","91.00","87.25","88.85","88.65","89.00","89.18","259.80","68.20","1,25,57,533","1,11,98,62,702.70","-"
"18-Dec-2008","EQ","82.50","89.45","81.05","82.95","89.00","88.85","86.07","259.80","68.20","1,51,03,526","1,29,99,73,616.40","-"
"17-Dec-2008","EQ","91.40","92.00","82.10","90.45","82.70","82.95","87.33","259.80","68.20","1,42,21,929","1,24,19,65,836.90","-"
"16-Dec-2008","EQ","90.10","91.80","88.35","90.10","90.10","90.45","90.31","259.80","68.20","1,71,31,397","1,54,71,75,350.10","-"
"15-Dec-2008","EQ","85.00","91.90","85.00","84.15","89.50","90.10","88.85","259.80","68.20","2,90,03,569","2,57,70,22,434.25","-"
"12-Dec-2008","EQ","77.05","85.95","77.05","84.05","83.75","84.15","83.29","259.80","68.20","2,56,56,378","2,13,69,69,377.25","-"
"11-Dec-2008","EQ","77.00","85.25","76.25","77.20","85.20","84.05","80.94","259.80","68.20","2,53,00,006","2,04,78,82,017.45","-"
"10-Dec-2008","EQ","76.85","77.60","75.00","74.50","77.50","77.20","76.48","259.80","68.20","92,30,251","70,59,33,866.30","-"
"08-Dec-2008","EQ","74.80","78.00","73.50","72.50","74.90","74.50","75.37","259.80","68.20","1,26,88,905","95,63,14,937.00","-"
"05-Dec-2008","EQ","74.00","75.20","71.80","73.55","72.55","72.50","73.41","259.80","68.20","89,05,277","65,37,72,901.70","-"
"04-Dec-2008","EQ","71.00","74.05","70.70","71.15","73.30","73.55","72.44","259.80","68.20","83,52,451","60,50,33,129.35","-"
"03-Dec-2008","EQ","72.20","72.85","70.15","71.65","70.50","71.15","71.48","259.80","68.20","73,92,516","52,84,45,880.70","-"
"02-Dec-2008","EQ","70.10","72.25","69.10","71.80","71.65","71.65","70.61","259.80","68.20","74,87,742","52,87,35,483.35","-"
"01-Dec-2008","EQ","73.50","76.50","71.20","73.25","72.05","71.80","74.14","259.80","68.20","95,03,055","70,45,62,278.45","-"
"28-Nov-2008","EQ","74.85","75.00","72.35","74.85","72.75","73.25","73.50","259.80","68.20","90,26,571","66,34,31,032.05","-"
"26-Nov-2008","EQ","73.50","75.25","70.90","72.35","75.00","74.85","73.42","259.80","68.20","92,14,115","67,64,81,887.55","-"
"25-Nov-2008","EQ","76.00","77.90","72.00","74.85","72.10","72.35","74.73","259.80","68.20","75,73,525","56,59,44,823.60","-"
"24-Nov-2008","EQ","73.50","75.50","72.20","73.95","74.75","74.85","73.90","259.80","68.20","92,79,450","68,57,53,352.85","-"
"21-Nov-2008","EQ","70.50","74.95","68.20","69.95","74.60","73.95","71.48","259.80","68.20","1,31,55,836","94,04,43,982.75","-"
"20-Nov-2008","EQ","70.10","71.50","68.35","73.10","71.10","69.95","70.23","259.80","68.35","1,50,43,893","1,05,64,96,727.55","-"
"19-Nov-2008","EQ","76.30","78.70","72.65","75.75","72.90","73.10","76.28","259.80","69.65","1,12,54,154","85,84,93,683.55","-"
"18-Nov-2008","EQ","79.10","79.10","75.20","79.80","75.70","75.75","76.99","259.80","69.65","1,09,75,453","84,50,31,554.65","-"
"17-Nov-2008","EQ","82.00","82.00","76.20","80.25","80.00","79.80","78.27","259.80","69.65","95,50,332","74,74,64,358.90","-"
"14-Nov-2008","EQ","81.00","82.90","78.10","79.80","80.45","80.25","80.33","259.80","69.65","1,26,63,719","1,01,72,33,974.80","-"
"12-Nov-2008","EQ","81.00","83.50","78.10","82.20","80.45","79.80","80.86","259.80","69.65","1,44,45,054","1,16,79,63,537.20","-"
"11-Nov-2008","EQ","87.50","87.50","81.55","88.50","81.60","82.20","83.86","259.80","69.65","1,13,96,178","95,56,48,842.60","-"
"10-Nov-2008","EQ","87.70","89.00","84.55","85.20","88.80","88.50","87.13","259.80","69.65","1,18,49,219","1,03,23,84,782.05","-"
"07-Nov-2008","EQ","83.00","86.70","81.70","83.00","85.75","85.20","84.25","281.80","69.65","1,35,02,488","1,13,75,96,208.10","-"
"06-Nov-2008","EQ","80.15","88.00","79.00","84.95","83.15","83.00","82.96","281.80","69.65","1,84,32,508","1,52,92,31,684.00","-"
"05-Nov-2008","EQ","97.00","97.50","84.00","94.15","84.10","84.95","89.24","281.80","69.65","2,23,25,657","1,99,22,54,688.80","-"
"04-Nov-2008","EQ","92.35","95.25","88.50","91.30","94.15","94.15","92.08","281.80","69.65","1,81,87,358","1,67,46,28,559.50","-"
"03-Nov-2008","EQ","90.00","93.30","88.60","86.35","91.45","91.30","90.80","281.80","69.65","1,56,85,468","1,42,42,63,391.80","-"
"31-Oct-2008","EQ","82.10","87.85","82.10","80.60","87.30","86.35","85.53","294.95","69.65","2,12,66,041","1,81,88,01,178.40","-"
"29-Oct-2008","EQ","87.10","87.10","78.75","83.30","80.70","80.60","81.13","294.95","69.65","1,65,07,207","1,33,92,65,837.35","-"
"28-Oct-2008","EQ","84.00","85.50","82.10","78.50","83.55","83.30","83.18","294.95","69.65","38,66,419","32,16,04,483.50","-"
"27-Oct-2008","EQ","75.15","80.00","69.65","77.05","78.60","78.50","74.30","294.95","69.65","2,07,54,913","1,54,21,59,162.20","-"
"24-Oct-2008","EQ","86.05","90.00","75.55","89.50","77.40","77.05","82.70","294.95","75.55","2,31,47,948","1,91,43,94,801.65","-"
"23-Oct-2008","EQ","98.00","98.00","87.75","100.00","89.85","89.50","93.37","294.95","87.75","3,18,76,780","2,97,64,59,606.15","-"
"22-Oct-2008","EQ","104.00","105.05","99.25","106.55","99.85","100.00","101.72","294.95","97.00","1,36,26,942","1,38,61,17,632.05","-"
"21-Oct-2008","EQ","103.00","107.50","100.30","100.45","107.05","106.55","103.94","294.95","97.00","2,04,28,352","2,12,32,96,381.80","-"
"20-Oct-2008","EQ","103.00","105.95","97.00","102.80","100.90","100.45","100.68","294.95","97.00","2,03,26,517","2,04,65,10,229.25","-"
"17-Oct-2008","EQ","115.00","115.00","101.10","112.40","102.90","102.80","108.41","294.95","101.10","1,09,59,820","1,18,81,58,359.45","-"
"16-Oct-2008","EQ","110.15","114.60","105.25","116.35","111.10","112.40","109.77","294.95","105.25","1,64,67,067","1,80,76,18,726.50","-"
"15-Oct-2008","EQ","119.95","122.30","115.60","121.30","115.75","116.35","118.40","294.95","106.00","81,88,876","96,95,81,810.30","-"
"14-Oct-2008","EQ","128.00","128.00","120.30","121.60","120.80","121.30","124.47","294.95","106.00","83,53,293","1,03,97,66,710.50","-"
"13-Oct-2008","EQ","118.10","122.90","117.50","116.25","122.05","121.60","120.47","294.95","106.00","97,96,636","1,18,02,30,029.90","-"
"10-Oct-2008","EQ","117.00","119.85","106.00","122.40","116.80","116.25","115.93","294.95","106.00","1,38,64,801","1,60,73,39,836.60","-"
"08-Oct-2008","EQ","124.00","124.00","116.40","126.95","123.20","122.40","120.51","294.95","107.25","1,42,72,697","1,72,00,18,463.90","-"
"07-Oct-2008","EQ","125.00","130.20","120.60","124.25","127.70","126.95","125.71","294.95","107.25","1,58,76,513","1,99,58,15,015.65","-"
"06-Oct-2008","EQ","135.40","136.00","122.65","137.40","124.10","124.25","129.02","294.95","107.25","1,33,82,420","1,72,65,51,162.10","-"
"03-Oct-2008","EQ","140.25","140.90","136.40","140.25","138.00","137.40","137.78","294.95","107.25","95,10,548","1,31,03,30,068.75","-"
"01-Oct-2008","EQ","144.10","144.65","139.65","143.50","140.35","140.25","141.58","294.95","107.25","90,58,905","1,28,25,80,275.30","-"
"30-Sep-2008","EQ","135.15","146.35","135.15","143.15","143.20","143.50","142.66","294.95","107.25","1,12,93,997","1,61,12,05,235.85","-"
"29-Sep-2008","EQ","148.00","148.20","140.90","147.60","144.50","143.15","143.37","294.95","107.25","1,07,51,860","1,54,15,34,751.45","-"
"26-Sep-2008","EQ","151.15","152.00","147.00","151.15","147.20","147.60","148.82","294.95","107.25","61,19,919","91,07,86,286.05","-"
"25-Sep-2008","EQ","151.95","151.95","148.30","150.30","151.60","151.15","150.65","294.95","107.25","1,28,29,529","1,93,27,25,567.95","-"
