"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2010","EQ","187.75","188.85","185.80","188.70","186.50","186.65","187.23","928.90","149.00","29,47,458","55,18,51,386.25","-"
"30-Dec-2010","EQ","186.50","189.95","183.20","185.20","188.00","188.70","187.27","928.90","149.00","96,76,584","1,81,21,28,001.55","-"
"29-Dec-2010","EQ","180.00","185.90","179.80","179.15","185.25","185.20","183.23","928.90","149.00","51,00,457","93,45,39,144.05","-"
"28-Dec-2010","EQ","179.00","180.75","178.65","179.30","179.15","179.15","179.50","928.90","149.00","19,58,440","35,15,42,407.10","-"
"27-Dec-2010","EQ","185.70","186.40","178.55","184.95","178.75","179.30","181.57","928.90","149.00","24,73,559","44,91,24,817.45","-"
"24-Dec-2010","EQ","177.50","185.45","177.50","180.20","185.00","184.95","182.93","928.90","149.00","47,94,125","87,70,02,497.80","-"
"23-Dec-2010","EQ","179.50","181.40","179.00","178.60","180.25","180.20","180.13","928.90","149.00","31,87,524","57,41,61,756.00","-"
"22-Dec-2010","EQ","177.00","182.10","176.05","176.75","178.00","178.60","179.48","928.90","149.00","62,90,443","1,12,90,22,882.25","-"
"21-Dec-2010","EQ","169.20","177.35","169.20","168.40","177.05","176.75","174.41","928.90","149.00","55,46,185","96,73,15,767.30","-"
"20-Dec-2010","EQ","171.85","171.85","167.25","172.55","167.55","168.40","169.85","928.90","149.00","47,79,111","81,17,39,837.30","-"
"16-Dec-2010","EQ","171.65","174.20","166.05","171.30","173.50","172.55","170.48","928.90","149.00","44,04,713","75,09,26,709.60","-"
"15-Dec-2010","EQ","171.00","173.60","169.80","170.60","170.25","171.30","171.62","928.90","149.00","54,05,784","92,77,44,830.75","-"
"14-Dec-2010","EQ","167.10","171.95","166.90","165.00","170.10","170.60","169.62","928.90","149.00","82,97,770","1,40,74,96,076.75","-"
"13-Dec-2010","EQ","164.85","165.70","161.60","164.55","164.90","165.00","163.76","928.90","149.00","56,41,497","92,38,69,693.35","-"
"10-Dec-2010","EQ","162.45","166.30","160.40","162.50","163.65","164.55","164.06","928.90","149.00","52,99,537","86,94,38,393.45","-"
"09-Dec-2010","EQ","170.65","172.00","159.80","169.40","163.75","162.50","163.82","928.90","149.00","66,77,125","1,09,38,53,960.05","-"
"08-Dec-2010","EQ","171.00","171.00","167.60","172.40","169.60","169.40","169.02","928.90","149.00","39,44,026","66,66,11,806.10","-"
"07-Dec-2010","EQ","172.00","173.90","170.00","171.75","173.00","172.40","172.12","928.90","149.00","27,19,703","46,81,27,626.95","-"
"06-Dec-2010","EQ","167.90","173.90","167.55","165.85","171.00","171.75","171.23","928.90","149.00","68,69,751","1,17,63,05,300.70","-"
"03-Dec-2010","EQ","171.25","172.00","164.15","169.80","165.70","165.85","166.73","928.90","149.00","36,86,817","61,47,02,495.20","-"
"02-Dec-2010","EQ","167.85","170.70","165.95","164.20","170.00","169.80","168.13","928.90","149.00","75,23,797","1,26,49,84,260.85","-"
