"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","68.10","69.85","67.40","68.75","68.50","68.40","68.82","132.00","67.40","6,06,662","4,17,47,750.60","7,575"
"29-Dec-2011","EQ","70.25","71.45","67.90","71.40","68.30","68.75","69.83","132.00","67.90","8,83,399","6,16,83,344.55","7,043"
"28-Dec-2011","EQ","74.75","75.50","70.75","75.65","71.20","71.40","72.43","132.00","70.75","6,52,675","4,72,72,687.90","6,775"
"27-Dec-2011","EQ","75.00","76.25","74.55","74.85","75.95","75.65","75.50","132.00","73.60","7,36,638","5,56,19,528.75","5,725"
"26-Dec-2011","EQ","74.00","75.30","73.65","74.15","75.20","74.85","74.62","132.00","73.60","7,01,525","5,23,45,371.00","8,200"
"23-Dec-2011","EQ","79.80","80.50","73.60","79.25","73.85","74.15","76.27","132.80","73.60","10,04,978","7,66,49,084.65","9,545"
"22-Dec-2011","EQ","78.80","80.00","77.10","78.40","79.40","79.25","78.63","132.80","76.70","6,20,879","4,88,22,078.65","5,504"
"21-Dec-2011","EQ","81.80","81.90","76.70","78.30","78.40","78.40","78.45","132.80","76.70","6,46,790","5,07,40,909.75","8,993"
"20-Dec-2011","EQ","85.15","85.55","77.65","85.00","77.75","78.30","80.58","132.80","77.65","5,41,099","4,36,02,089.05","6,934"
"19-Dec-2011","EQ","89.40","90.55","83.60","89.40","84.45","85.00","85.27","132.80","83.60","3,73,308","3,18,30,639.75","5,291"
"16-Dec-2011","EQ","93.05","93.90","89.00","92.05","89.30","89.40","91.53","132.80","89.00","4,50,050","4,11,92,533.75","7,487"
"15-Dec-2011","EQ","93.10","93.90","91.65","93.95","91.90","92.05","92.52","132.80","90.60","2,80,888","2,59,86,863.55","5,061"
"14-Dec-2011","EQ","95.50","95.90","93.50","94.35","93.70","93.95","94.75","132.80","90.60","2,25,835","2,13,97,859.50","2,853"
"13-Dec-2011","EQ","95.10","96.60","94.00","95.70","94.60","94.35","94.82","132.80","90.60","4,09,895","3,88,68,003.30","3,794"
"12-Dec-2011","EQ","100.00","100.75","95.20","99.40","95.70","95.70","97.92","132.80","90.60","3,59,346","3,51,88,590.30","4,141"
"09-Dec-2011","EQ","99.10","100.25","97.10","99.15","98.55","99.40","98.77","139.00","90.60","3,53,639","3,49,29,540.25","4,063"
"08-Dec-2011","EQ","102.10","102.75","98.50","102.60","98.80","99.15","100.12","139.00","90.60","2,28,787","2,29,06,980.50","2,941"
"07-Dec-2011","EQ","103.00","103.80","102.15","102.35","102.30","102.60","102.94","139.00","90.60","2,16,219","2,22,57,064.80","4,266"
"05-Dec-2011","EQ","104.20","104.50","102.00","103.50","102.50","102.35","103.10","139.00","90.60","1,81,907","1,87,54,483.70","2,096"
"02-Dec-2011","EQ","102.80","104.00","102.15","103.05","103.55","103.50","103.11","145.90","90.60","5,16,370","5,32,41,609.20","4,142"
"01-Dec-2011","EQ","101.85","104.55","101.20","99.80","103.00","103.05","102.58","145.90","90.60","6,52,746","6,69,60,735.10","4,231"
"30-Nov-2011","EQ","103.00","103.00","98.75","100.40","99.30","99.80","99.53","145.90","90.60","1,34,408","1,33,77,033.10","2,185"
"29-Nov-2011","EQ","105.80","105.80","100.15","101.70","100.45","100.40","101.34","145.90","90.60","1,65,156","1,67,36,882.75","2,464"
"28-Nov-2011","EQ","100.40","102.40","100.40","99.00","102.10","101.70","101.32","145.90","90.60","2,28,039","2,31,05,107.20","3,378"
"25-Nov-2011","EQ","99.00","100.35","97.50","99.10","99.95","99.00","99.13","147.95","90.60","2,40,889","2,38,79,079.85","3,253"
"24-Nov-2011","EQ","95.85","100.55","93.85","95.85","99.60","99.10","96.28","147.95","90.60","3,02,560","2,91,31,939.80","4,304"
"23-Nov-2011","EQ","98.90","98.90","95.10","99.30","95.60","95.85","97.32","147.95","90.60","3,52,624","3,43,15,657.85","5,075"
"22-Nov-2011","EQ","98.50","99.90","97.30","98.45","99.65","99.30","98.91","147.95","90.60","3,28,140","3,24,55,267.35","5,080"
"21-Nov-2011","EQ","98.10","100.60","96.10","99.85","98.30","98.45","99.15","147.95","90.60","3,03,264","3,00,69,243.80","3,127"
"18-Nov-2011","EQ","98.00","100.90","95.20","98.85","100.35","99.85","97.50","164.25","90.60","5,42,871","5,29,32,597.85","8,560"
"17-Nov-2011","EQ","101.00","101.65","98.00","100.95","98.05","98.85","100.38","164.25","90.60","4,58,803","4,60,54,279.80","5,682"
"16-Nov-2011","EQ","101.05","101.80","99.05","101.60","101.50","100.95","100.33","164.25","90.60","3,82,155","3,83,41,877.80","4,868"
"15-Nov-2011","EQ","105.65","105.65","100.60","104.50","100.95","101.60","102.93","164.25","90.60","3,77,938","3,88,99,312.85","3,038"
"14-Nov-2011","EQ","105.20","106.50","103.90","104.65","104.70","104.50","104.56","164.25","90.60","4,23,962","4,43,27,703.80","2,758"
"11-Nov-2011","EQ","102.95","106.00","101.80","102.95","105.50","104.65","103.60","164.25","90.60","7,48,221","7,75,19,322.55","7,156"
"09-Nov-2011","EQ","106.00","107.50","102.40","105.95","102.60","102.95","104.82","164.25","90.60","3,56,598","3,73,79,806.90","5,100"
"08-Nov-2011","EQ","106.30","106.85","105.00","106.05","105.75","105.95","105.88","164.25","90.60","2,79,973","2,96,44,782.90","5,071"
"04-Nov-2011","EQ","105.50","107.10","105.15","104.25","106.05","106.05","106.06","164.25","90.60","4,20,376","4,45,86,398.15","5,288"
"03-Nov-2011","EQ","106.55","108.20","102.80","106.85","104.40","104.25","104.31","164.25","90.60","9,21,093","9,60,81,283.40","8,145"
"02-Nov-2011","EQ","104.30","107.90","104.30","106.50","107.00","106.85","106.79","164.25","90.60","3,62,559","3,87,17,566.50","4,585"
"01-Nov-2011","EQ","107.20","109.35","105.50","108.45","106.90","106.50","107.22","164.25","90.60","4,48,834","4,81,24,043.10","5,383"
"31-Oct-2011","EQ","111.00","111.90","107.65","109.50","108.40","108.45","110.01","164.25","90.60","9,88,359","10,87,32,242.60","9,009"
"28-Oct-2011","EQ","105.55","110.20","105.05","103.20","109.65","109.50","108.02","164.25","90.60","8,42,551","9,10,10,776.25","8,546"
"26-Oct-2011","EQ","104.05","104.05","102.15","102.80","102.75","103.20","103.13","164.25","90.60","48,266","49,77,634.15","708"
"25-Oct-2011","EQ","100.95","103.80","99.55","100.65","103.55","102.80","101.27","164.25","90.60","3,28,992","3,33,16,256.20","4,254"
"24-Oct-2011","EQ","105.00","106.00","99.50","101.65","100.50","100.65","103.24","164.25","90.60","4,89,362","5,05,22,031.50","5,440"
"21-Oct-2011","EQ","103.50","104.00","101.30","102.50","101.80","101.65","102.83","164.25","90.60","1,84,658","1,89,88,845.45","3,162"
"20-Oct-2011","EQ","104.35","104.35","102.10","103.75","102.30","102.50","102.71","164.25","90.60","89,448","91,87,385.80","1,119"
"19-Oct-2011","EQ","103.20","105.00","102.20","101.10","104.75","103.75","103.10","164.25","90.60","2,67,714","2,76,00,322.45","3,140"
"18-Oct-2011","EQ","101.85","102.50","100.55","103.20","100.90","101.10","101.36","164.25","90.60","99,730","1,01,09,053.60","3,122"
"17-Oct-2011","EQ","105.00","105.70","102.90","104.35","103.00","103.20","104.12","164.25","90.60","1,11,111","1,15,68,498.80","2,176"
"14-Oct-2011","EQ","103.90","105.00","102.50","103.35","104.70","104.35","103.65","164.25","90.60","1,33,704","1,38,58,677.30","1,693"
"13-Oct-2011","EQ","104.40","105.50","103.10","103.55","103.50","103.35","104.50","164.25","90.60","3,19,482","3,33,85,124.95","5,833"
"12-Oct-2011","EQ","100.95","104.15","100.75","100.50","104.10","103.55","102.41","164.25","90.60","3,45,881","3,54,21,135.20","3,624"
"11-Oct-2011","EQ","102.60","103.50","100.00","101.15","100.35","100.50","101.68","164.25","90.60","1,46,313","1,48,76,751.50","2,328"
"10-Oct-2011","EQ","100.85","101.95","100.10","100.00","100.75","101.15","101.00","164.25","90.60","1,66,353","1,68,02,463.80","2,169"
"07-Oct-2011","EQ","100.55","102.00","98.60","97.15","100.00","100.00","100.16","164.25","90.60","2,93,056","2,93,52,172.10","3,478"
