"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","45.50","46.45","44.80","45.00","45.20","45.20","45.57","103.50","44.55","12,59,816","5,74,11,890.65","10,903"
"29-Dec-2011","EQ","45.00","46.80","44.55","45.80","44.70","45.00","45.44","103.50","44.55","20,82,606","9,46,43,862.95","11,897"
"28-Dec-2011","EQ","47.75","47.90","45.25","47.50","45.60","45.80","46.10","103.50","45.25","16,09,215","7,41,88,401.00","9,987"
"27-Dec-2011","EQ","49.10","49.30","46.90","49.05","47.50","47.50","47.92","103.50","46.90","16,83,533","8,06,77,899.70","11,068"
"26-Dec-2011","EQ","50.00","50.00","48.75","49.10","49.25","49.05","49.26","103.50","47.80","11,46,819","5,64,94,062.80","5,903"
"23-Dec-2011","EQ","50.70","51.35","48.55","50.70","49.00","49.10","49.98","103.50","47.80","13,68,721","6,84,11,715.65","7,491"
"22-Dec-2011","EQ","49.75","51.10","48.60","49.55","50.95","50.70","49.88","103.50","47.80","12,72,162","6,34,58,844.50","7,598"
"21-Dec-2011","EQ","49.20","49.95","48.20","48.15","49.80","49.55","48.95","103.50","47.80","13,82,985","6,76,97,058.05","9,006"
"20-Dec-2011","EQ","49.90","50.40","47.80","49.90","48.45","48.15","48.62","103.50","47.80","14,82,356","7,20,71,813.30","10,686"
"19-Dec-2011","EQ","51.00","51.00","48.40","51.10","49.75","49.90","49.60","103.50","48.40","25,43,010","12,61,43,214.05","13,657"
"16-Dec-2011","EQ","52.90","54.50","50.80","51.85","50.80","51.10","52.15","103.50","48.65","16,36,880","8,53,62,445.70","10,798"
"15-Dec-2011","EQ","52.85","53.05","50.85","53.05","51.75","51.85","51.73","103.50","48.65","12,32,470","6,37,56,394.30","8,226"
"14-Dec-2011","EQ","53.90","54.30","52.60","53.10","52.90","53.05","53.45","103.50","48.65","10,46,830","5,59,52,260.85","6,728"
"13-Dec-2011","EQ","52.50","53.60","52.10","52.55","53.55","53.10","52.87","103.50","48.65","8,59,331","4,54,35,755.50","5,859"
"12-Dec-2011","EQ","55.25","55.25","52.25","54.40","52.50","52.55","53.16","103.50","48.65","11,93,445","6,34,47,111.20","8,523"
