Date,Day,Holiday
08-January-2009,Thursday,Moharram
26-January-2009,Monday,Republic Day
23-February-2009,Monday,Mahashivratri
10-March-2009,Tuesday,Id-E-Milad
11-March-2009,Wednesday,Holi
03-April-2009,Friday,Ram Navmi
07-April-2009,Tuesday,Mahavir Jayanti
10-April-2009,Friday,Good Friday
14-April-2009,Tuesday,Dr. Ambedkar Jayanti
30-April-2009,Thursday,General Parliamentary Elections
01-May-2009,Friday,Maharashtra Day
21-September-2009,Monday,Ramzan Id
28-September-2009,Monday,Dasera
02-October-2009,Friday,Gandhi Jayanti
19-October-2009,Monday,Diwali (Laxmi Puja)
02-November-2009,Monday,Gurunanak Jayanti
25-December-2009,Friday,Christmas
28-December-2009,Monday,Moharram
01-January-2010,Friday,New Year
26-January-2010,Tuesday,Republic Day
12-February-2010,Friday,Mahashivratri
01-March-2010,Monday,Holi
24-March-2010,Wednesday,Ram Navmi
02-April-2010,Friday,Good Friday
14-April-2010,Wednesday,Dr. Babasaheb Ambedkar Jayanti
10-September-2010,Friday,Ramzan Id
05-November-2010,Friday,Diwali (Laxmi Puja)
17-November-2010,Wednesday,Bakri-Id
17-December-2010,Friday,Moharum
26-January-2011,Wednesday,Republic Day
02-March-2011,Wednesday,Mahashivratri
12-April-2011,Tuesday,Ram Navmi
14-April-2011,Thursday,Dr. Ambedkar Jayanti
22-April-2011,Friday,Good Friday
15-August-2011,Monday,Independence Day
31-August-2011,Wednesday,Ramzan ID
01-September-2011,Thursday,Ganesh Chaturthi
06-October-2011,Thursday,Dussera
26-October-2011,Wednesday,Diwali (Laxmi Puja)
27-October-2011,Thursday,Diwali Balipratipada
07-November-2011,Monday,Bakri-Id
10-November-2011,Thursday,Gurunanak Jayanti
06-December-2011,Tuesday,Moharum
26-January-2012,Thursday,Republic Day
20-February-2012,Monday,Mahashivratri
08-March-2012,Thursday,Holi
05-April-2012,Thursday,Mahavir Jayanti
06-April-2012,Friday,Good Friday
01-May-2012,Tuesday,May Day
15-August-2012,Wednesday,Independence Day
20-August-2012,Monday,Ramzan Id
19-September-2012,Wednesday,Ganesh Chaturthi
02-October-2012,Tuesday,Gandhi Jayanti
24-October-2012,Wednesday,Dussehra
26-October-2012,Friday,Bakri Id
13-November-2012,Tuesday,Laxmi Puja
14-November-2012,Wednesday,Diwali-Balipratipada
28-November-2012,Wednesday,Gurunanak Jayanti
25-December-2012,Tuesday,Christmas
27-March-2013,Wednesday,Holi-2013
29-March-2013,Friday,Good Friday
19-April-2013,Friday,Ram Navmi
24-April-2013,Wednesday,Mahavir Jayanti
01-May-2013,Wednesday,Maharashtra Day
09-August-2013,Friday,Ramzan Id
15-August-2013,Thursday,Independence Day
09-September-2013,Monday,Ganesh Chaturthi
02-October-2013,Wednesday,Mahatma Gandhi Jayanti
16-October-2013,Wednesday,Bakri ID
04-November-2013,Monday,Diwali-Balipratipada
15-November-2013,Friday,Moharram
25-December-2013,Wednesday,Christmas
27-February-2014,Thursday,Mahashivratri
17-March-2014,Monday,Holi
08-April-2014,Tuesday,Ram Navmi
14-April-2014,Monday,Dr. Ambedkar Jayanti
18-April-2014,Friday,Good Friday
24-April-2014,Thursday,General Election in Mumbai
01-May-2014,Thursday,May Day
29-July-2014,Tuesday,Ramzan ID
15-August-2014,Friday,Independence Day
29-August-2014,Friday,Ganesh Chaturthi
02-October-2014,Thursday,Gandhi Jayanti
03-October-2014,Friday,Dasera
06-October-2014,Monday,Bakri ID
23-October-2014,Thursday,Laxmi Puja
24-October-2014,Friday,Diwali-Balipratipada
04-November-2014,Tuesday,Moharram
06-November-2014,Thursday,Gurunanak Jayanti
25-December-2014,Thursday,Christmas
26-January-2015,Monday,Republic Day
17-February-2015,Tuesday,Mahashivratri
6-March-2015,Friday,Holi
2-April-2015,Thursday,Mahavir Jayanti
3-April-2015,Friday,Good Friday
14-April-2015,Tuesday,Dr.Baba Saheb Ambedkar Jayanti
1-May-2015,Friday,Maharashtra Day
17-September-2015,Thursday,Ganesh Chaturthi
25-September-2015,Friday,Bakri Id
