Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost,Market Capitalisation Type,Year,Month
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 10,320 ",0.47%,0.88,0.52,3.57 ,14.13 ,0.14,Total,2009,Apr
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,846,780"," 12,281 ",0.56%,0.71,0.38,2.55 ,13.92 ,0.10,Total,2009,Apr
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,201,848"," 12,333 ",0.57%,0.9,0.42,3.98 ,14.73 ,0.16,Total,2009,Apr
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,590,051,180"," 20,007 ",0.92%,1.39,0.62,4.70 ,34.31 ,0.09,Total,2009,Apr
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,982,397,960"," 142,890 ",6.56%,0.94,0.61,2.60 ,20.30 ,0.11,Total,2009,Apr
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 81,050 ",3.72%,1.03,0.61,3.38 ,9.61 ,0.09,Total,2009,Apr
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 14,015 ",0.64%,0.49,0.15,1.82 ,3.08 ,0.10,Total,2009,Apr
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 35,212 ",1.62%,1.03,0.41,3.99 ,0.84 ,0.12,Total,2009,Apr
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 18,713 ",0.86%,0.52,0.31,3.19 ,9.41 ,0.10,Total,2009,Apr
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,428,226"," 39,078 ",1.79%,1.59,0.58,5.86 ,37.63 ,0.13,Total,2009,Apr
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 32,530 ",1.49%,0.8,0.45,2.91 ,4.42 ,0.13,Total,2009,Apr
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 16,331 ",0.75%,0.73,0.38,2.81 ,12.59 ,0.10,Total,2009,Apr
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,339,682,624"," 8,698 ",0.40%,1.01,0.38,5.17 ,27.24 ,0.15,Total,2009,Apr
