Annexure II- S&P CNX Nifty Index : April 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for April 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2009
,,,,,(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 10,320 ",0.47%,0.88 ,0.52 ,3.57 ,14.13 ,0.14
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,846,780"," 12,281 ",0.56%,0.71 ,0.38 ,2.55 ,13.92 ,0.10
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,201,848"," 12,333 ",0.57%,0.90 ,0.42 ,3.98 ,14.73 ,0.16
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,590,051,180"," 20,007 ",0.92%,1.39 ,0.62 ,4.70 ,34.31 ,0.09
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,982,397,960"," 142,890 ",6.56%,0.94 ,0.61 ,2.60 ,20.30 ,0.11
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 81,050 ",3.72%,1.03 ,0.61 ,3.38 ,9.61 ,0.09
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 14,015 ",0.64%,0.49 ,0.15 ,1.82 ,3.08 ,0.10
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 35,212 ",1.62%,1.03 ,0.41 ,3.99 ,0.84 ,0.12
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 18,713 ",0.86%,0.52 ,0.31 ,3.19 ,9.41 ,0.10
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,428,226"," 39,078 ",1.79%,1.59 ,0.58 ,5.86 ,37.63 ,0.13
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 32,530 ",1.49%,0.80 ,0.45 ,2.91 ,4.42 ,0.13
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 16,331 ",0.75%,0.73 ,0.38 ,2.81 ,12.59 ,0.10
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,339,682,624"," 8,698 ",0.40%,1.01 ,0.38 ,5.17 ,27.24 ,0.15
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,844,539,800"," 49,124 ",2.26%,1.23 ,0.62 ,3.58 ,22.29 ,0.08
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,253,841,090"," 46,807 ",2.15%,1.01 ,0.59 ,2.27 ,13.04 ,0.11
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 23,616 ",1.08%,0.36 ,0.18 ,2.26 ,10.41 ,0.09
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 9,141 ",0.42%,1.18 ,0.55 ,4.22 ,3.27 ,0.15
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,179,876,077"," 51,173 ",2.35%,0.43 ,0.26 ,2.66 ,(1.16),0.08
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,128,130,890"," 53,326 ",2.45%,1.64 ,0.74 ,4.80 ,43.99 ,0.10
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 17,996 ",0.83%,1.09 ,0.52 ,3.29 ,15.87 ,0.17
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,864,150,215"," 86,454 ",3.97%,0.69 ,0.42 ,2.53 ,14.00 ,0.09
22,ITC,I T C Ltd.,CIGARETTES,"3,774,399,560"," 71,298 ",3.27%,0.50 ,0.32 ,2.31 ,2.19 ,0.09
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,171,394,824"," 51,503 ",2.36%,1.13 ,0.67 ,4.02 ,30.97 ,0.10
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 13,605 ",0.62%,1.00 ,0.41 ,4.09 ,27.19 ,0.11
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 23,517 ",1.08%,0.72 ,0.37 ,2.74 ,4.38 ,0.09
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280"," 13,582 ",0.62%,0.96 ,0.32 ,3.62 ,(1.79),0.17
27,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 156,664 ",7.19%,0.79 ,0.56 ,2.49 ,5.64 ,0.12
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 184,959 ",8.49%,0.87 ,0.56 ,3.02 ,10.84 ,0.12
29,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 15,068 ",0.69%,0.96 ,0.50 ,3.98 ,16.15 ,0.10
