Annexure II- S&P CNX Nifty Index : December 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for December 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost December 2009
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,785 ",0.51%,0.78 ,0.37 ,0.95 ,3.52 ,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,109,270"," 8,810 ",0.58%,0.77 ,0.38 ,1.58 ,9.38 ,0.06
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,046,521,930"," 8,503 ",0.56%,0.71 ,0.30 ,1.38 ,12.89 ,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,023,942,340"," 24,289 ",1.60%,1.30 ,0.58 ,1.70 ,(1.02),0.07
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,968,423,300"," 40,447 ",2.67%,0.92 ,0.38 ,2.21 ,10.08 ,0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 37,974 ",2.51%,0.91 ,0.58 ,1.51 ,7.11 ,0.05
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 8,212 ",0.54%,0.40 ,0.12 ,1.42 ,7.70 ,0.06
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 12,137 ",0.80%,0.96 ,0.50 ,1.36 ,1.37 ,0.06
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 16,646 ",1.10%,0.42 ,0.17 ,2.15 ,4.70 ,0.07
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,502,566"," 13,090 ",0.86%,1.59 ,0.49 ,2.02 ,2.73 ,0.06
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 18,567 ",1.23%,0.64 ,0.30 ,2.07 ,(1.28),0.08
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,820,010"," 16,977 ",1.12%,0.73 ,0.35 ,1.15 ,3.96 ,0.06
