Annexure II- S&P CNX Nifty Index : February 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for February 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2009
,,,,,(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,781 ",0.45%,0.91 ,0.55 ,2.81 ,(24.31),0.11
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,827,780"," 10,136 ",0.59%,0.70 ,0.37 ,2.61 ,6.64 ,0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,198,848"," 9,676 ",0.56%,0.87 ,0.42 ,1.71 ,(10.30),0.13
4,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,982,316,190"," 121,202 ",7.04%,0.93 ,0.58 ,1.77 ,0.72 ,0.08
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 68,721 ",3.99%,1.03 ,0.58 ,2.25 ,6.29 ,0.07
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 13,843 ",0.80%,0.56 ,0.19 ,2.04 ,(2.31),0.08
7,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 31,684 ",1.84%,1.02 ,0.38 ,2.06 ,1.46 ,0.11
8,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 14,885 ",0.86%,0.50 ,0.31 ,1.24 ,(0.23),0.08
9,DLF,DLF Ltd.,CONSTRUCTION,"3,398,553,826"," 25,829 ",1.50%,1.61 ,0.59 ,4.91 ,(14.44),0.12
10,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 25,826 ",1.50%,0.79 ,0.45 ,1.89 ,4.25 ,0.10
11,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 12,588 ",0.73%,0.72 ,0.38 ,3.23 ,14.83 ,0.09
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,339,498,112"," 6,711 ",0.39%,1.02 ,0.40 ,2.55 ,(13.70),0.12
13,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,844,533,180"," 36,254 ",2.11%,1.24 ,0.61 ,3.24 ,(16.79),0.08
14,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,253,550,650"," 37,835 ",2.20%,1.03 ,0.59 ,1.87 ,(3.90),0.08
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 18,565 ",1.08%,0.34 ,0.15 ,1.30 ,6.03 ,0.06
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 6,564 ",0.38%,1.16 ,0.53 ,2.31 ,(21.14),0.12
