Annexure II- S&P CNX Nifty Index : January 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for January 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost January 2009
,,,,,(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 10,281 ",0.57%,0.89 ,0.55 ,2.99 ,6.91 ,0.13
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,817,290"," 9,504 ",0.53%,0.69 ,0.38 ,2.99 ,5.47 ,0.09
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,198,848"," 10,788 ",0.60%,0.86 ,0.42 ,4.13 ,1.14 ,0.17
4,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,982,161,940"," 120,337 ",6.72%,0.92 ,0.58 ,3.52 ,(11.40),0.09
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 64,656 ",3.61%,1.05 ,0.58 ,2.72 ,(3.07),0.08
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 14,171 ",0.79%,0.61 ,0.21 ,2.64 ,4.21 ,0.10
7,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 31,229 ",1.74%,1.01 ,0.37 ,4.17 ,(4.30),0.13
8,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 14,920 ",0.83%,0.51 ,0.30 ,2.64 ,2.87 ,0.10
9,DLF,DLF Ltd.,CONSTRUCTION,"3,405,471,826"," 30,249 ",1.69%,1.59 ,0.62 ,5.88 ,(37.04),0.14
10,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 24,773 ",1.38%,0.82 ,0.46 ,3.13 ,(5.31),0.13
11,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 10,962 ",0.61%,0.71 ,0.40 ,3.30 ,(1.97),0.12
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,339,324,096"," 7,775 ",0.43%,1.05 ,0.41 ,5.89 ,0.69 ,0.17
