Annexure II- S&P CNX Nifty Index : July 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2009
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,110 ",0.56%,0.87 ,0.50 ,2.99 ,(9.99),0.11
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,948,930"," 8,892 ",0.71%,0.73 ,0.42 ,2.84 ,15.02 ,0.11
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,618,098"," 8,845 ",0.70%,0.86 ,0.41 ,2.80 ,24.00 ,0.13
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,597,637,330"," 19,005 ",1.51%,1.26 ,0.62 ,3.63 ,10.20 ,0.10
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,966,502,620"," 51,141 ",4.06%,0.99 ,0.64 ,2.42 ,2.25 ,0.11
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 35,241 ",2.80%,0.99 ,0.66 ,2.73 ,1.19 ,0.08
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 6,125 ",0.49%,0.43 ,0.16 ,2.20 ,10.21 ,0.12
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 10,122 ",0.80%,1.10 ,0.53 ,2.89 ,1.10 ,0.09
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 12,960 ",1.03%,0.51 ,0.30 ,2.13 ,8.57 ,0.12
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,388,226"," 14,359 ",1.14%,1.56 ,0.55 ,5.10 ,27.48 ,0.10
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 14,912 ",1.18%,0.74 ,0.44 ,3.17 ,15.12 ,0.11
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 18,819 ",1.49%,0.80 ,0.44 ,2.73 ,18.71 ,0.10
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,340,243,400"," 5,135 ",0.41%,1.09 ,0.44 ,4.39 ,29.60 ,0.12
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,845,364,620"," 63,696 ",5.05%,1.18 ,0.62 ,3.95 ,8.16 ,0.12
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,261,832,660"," 51,507 ",4.09%,0.90 ,0.61 ,2.17 ,0.40 ,0.11
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 14,437 ",1.15%,0.45 ,0.23 ,3.02 ,14.86 ,0.09
