CNX NIFTY JUNIOR INDEX :June 2009,,,,,,,,,,,

Sr.no.,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2009,Weightage,Beta,R2,Volatility,Monthly return,Avg. Impact Cost for June 2009
,,,,(In Rs.),(Rs. crores),%,,,%,,%

1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,"950,067,680","4,835",2.45%,0.97,0.45,3.8,-6.88,0.2
2,ADANIENT,Adani Enterprises Ltd.,TRADING,"246,609,175","5,076",2.57%,0.94,0.46,3.49,21.53,1.26
3,ANDHRABANK,Andhra Bank,BANKS,"4,850,000,000","1,928",0.98%,0.83,0.52,2.6,-13.45,0.14
4,APOLLOTYRE,Apollo Tyres Ltd.,TYRES,"504,024,770",789,0.40%,0.59,0.22,4.38,-1.44,0.17
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,"1,330,338,317","1,950",0.99%,0.83,0.42,4.24,-7.86,0.19
6,ASIANPAINT,Asian Paints Ltd.,PAINTS,"959,197,790","5,698",2.88%,0.28,0.14,2.01,9.98,0.3
7,BANKBARODA,Bank of Baroda,BANKS,"3,642,664,000","7,495",3.79%,0.84,0.45,2.9,1.52,0.13
8,BANKINDIA,Bank of India,BANKS,"5,251,728,000","6,580",3.33%,1.03,0.61,3.66,4.49,0.13
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,"800,000,000","2,538",1.28%,0.56,0.31,3.06,-1.94,0.19
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,"445,304,542","1,802",0.91%,0.78,0.3,2.96,-19.94,0.19
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,"1,000,000,000","1,713",0.87%,0.65,0.25,4.64,20.52,0.16
12,CANBK,Canara Bank,BANKS,"4,100,000,000","2,888",1.46%,0.81,0.45,3.03,-7.51,0.13
13,CHENNPETRO,Chennai Petroleum Corporation Ltd.,REFINERIES,"1,489,114,000",837,0.42%,0.74,0.36,2.74,-8.37,0.17
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,"1,299,827,940","4,683",2.37%,0.3,0.14,1.89,4.03,0.23
