Annexure II- S&P CNX Nifty Index : June 2009,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2009
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750","7,900",0.68%,0.87,0.49,3.15,19.58,0.13
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,948,930","7,731",0.66%,0.71,0.4,3.81,-2.14,0.11
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,618,098","7,133",0.61%,0.85,0.42,3.54,-4.48,0.15
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,597,637,330","17,245",1.48%,1.3,0.62,3.58,6.84,0.1
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,983,251,310","50,016",4.30%,1,0.64,1.54,-2.28,0.09
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000","34,826",2.99%,1.03,0.66,2.7,1.19,0.09
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240","5,557",0.48%,0.49,0.18,2.33,-7.45,0.12
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160","10,012",0.86%,1.02,0.48,3.02,0.39,0.11
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714","11,937",1.03%,0.5,0.31,2.22,13.71,0.1
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,388,226","11,264",0.97%,1.57,0.56,4.58,-23.54,0.11
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000","12,954",1.11%,0.76,0.48,1.85,-3.88,0.11
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340","15,853",1.36%,0.77,0.42,3.43,9.9,0.12
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,340,243,400","3,962",0.34%,1.03,0.41,4.15,11.41,0.16
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,845,364,620","58,891",5.06%,1.23,0.64,2.09,7.58,0.1
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,261,832,660","51,302",4.41%,0.97,0.62,2.25,3.37,0.1
