Annexure II- S&P CNX Nifty Index : March 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for March 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2009
,,,,,(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 9,042 ",0.48%,0.89 ,0.53 ,2.36 ,16.20 ,0.09
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,839,780"," 10,781 ",0.57%,0.70 ,0.38 ,2.22 ,6.36 ,0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,198,848"," 10,750 ",0.57%,0.88 ,0.41 ,2.25 ,11.09 ,0.13
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,590,051,180"," 14,897 ",0.79%,1.38 ,0.62 ,5.61 ,19.27 ,0.10
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,982,397,960"," 118,782 ",6.28%,0.96 ,0.61 ,2.79 ,(2.00),0.09
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 73,944 ",3.91%,1.02 ,0.59 ,2.92 ,7.60 ,0.07
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 13,596 ",0.72%,0.52 ,0.17 ,2.63 ,(1.79),0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 34,918 ",1.84%,1.00 ,0.38 ,3.00 ,10.21 ,0.10
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 17,104 ",0.90%,0.51 ,0.31 ,1.83 ,14.91 ,0.10
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,462,032"," 28,395 ",1.50%,1.54 ,0.56 ,4.73 ,10.07 ,0.10
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 31,154 ",1.65%,0.79 ,0.44 ,2.86 ,20.63 ,0.11
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 14,504 ",0.77%,0.72 ,0.37 ,2.72 ,15.22 ,0.07
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,339,523,712"," 6,835 ",0.36%,1.00 ,0.38 ,3.18 ,1.85 ,0.12
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,844,539,800"," 40,171 ",2.12%,1.24 ,0.62 ,4.16 ,10.80 ,0.07
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,253,775,590"," 41,406 ",2.19%,1.04 ,0.59 ,3.25 ,9.43 ,0.09
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 21,390 ",1.13%,0.36 ,0.17 ,2.19 ,15.21 ,0.07
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 8,851 ",0.47%,1.18 ,0.55 ,4.41 ,34.84 ,0.11
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,179,799,957"," 51,770 ",2.74%,0.44 ,0.27 ,2.26 ,(6.31),0.09
