Annexure II- S&P CNX Nifty Index : May 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for May 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2009
,,,,,(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 13,794 ",0.49%,0.86 ,0.50 ,4.96 ,33.67 ,0.14
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,846,780"," 14,686 ",0.53%,0.70 ,0.41 ,4.23 ,19.58 ,0.19
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,576,848"," 13,949 ",0.50%,0.86 ,0.44 ,4.40 ,13.09 ,0.21
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,594,416,070"," 27,999 ",1.00%,1.33 ,0.66 ,5.48 ,39.77 ,0.14
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,983,112,560"," 155,832 ",5.59%,1.02 ,0.66 ,7.18 ,9.05 ,0.17
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 106,625 ",3.82%,1.02 ,0.66 ,5.22 ,31.55 ,0.11
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 16,801 ",0.60%,0.53 ,0.19 ,4.73 ,19.88 ,0.17
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 43,974 ",1.58%,0.98 ,0.45 ,4.12 ,24.89 ,0.14
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 17,318 ",0.62%,0.50 ,0.32 ,3.82 ,(7.46),0.14
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,428,226"," 68,992 ",2.47%,1.55 ,0.56 ,8.46 ,76.55 ,0.16
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 38,054 ",1.36%,0.78 ,0.48 ,3.76 ,16.98 ,0.18
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,745,340"," 19,281 ",0.69%,0.76 ,0.44 ,4.80 ,18.06 ,0.19
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,339,682,624"," 11,180 ",0.40%,1.01 ,0.41 ,4.67 ,28.53 ,0.24
