Annexure II- S&P CNX Nifty Index : November 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for November 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 2009
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,521 ",0.51%,0.78 ,0.38 ,1.89 ,(3.70),0.09
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,063,070"," 8,054 ",0.55%,0.84 ,0.44 ,2.37 ,6.26 ,0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,046,370,580"," 7,532 ",0.51%,0.79 ,0.32 ,2.42 ,3.59 ,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,019,473,020"," 24,512 ",1.68%,1.28 ,0.59 ,2.18 ,10.14 ,0.07
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,968,423,300"," 36,742 ",2.51%,0.92 ,0.41 ,2.72 ,2.29 ,0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 35,453 ",2.42%,0.94 ,0.61 ,1.13 ,1.17 ,0.06
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 7,625 ",0.52%,0.41 ,0.12 ,1.97 ,15.38 ,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 11,974 ",0.82%,0.95 ,0.46 ,1.78 ,5.66 ,0.08
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 15,898 ",1.09%,0.43 ,0.19 ,1.47 ,11.46 ,0.09
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,372,766"," 12,742 ",0.87%,1.66 ,0.52 ,3.76 ,(5.04),0.08
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 18,807 ",1.29%,0.66 ,0.31 ,2.33 ,20.22 ,0.10
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,766,450"," 16,330 ",1.12%,0.76 ,0.34 ,1.20 ,9.01 ,0.08
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,343,860,808"," 7,125 ",0.49%,1.15 ,0.37 ,3.19 ,10.07 ,0.10
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,852,485,320"," 69,664 ",4.76%,1.14 ,0.55 ,1.61 ,4.08 ,0.08
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,273,575,240"," 60,921 ",4.16%,0.82 ,0.59 ,1.48 ,8.98 ,0.08
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 15,518 ",1.06%,0.60 ,0.28 ,2.24 ,10.20 ,0.07
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 15,007 ",1.03%,1.22 ,0.49 ,4.00 ,13.34 ,0.10
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,180,898,100"," 29,833 ",2.04%,0.35 ,0.16 ,1.57 ,0.60 ,0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,132,269,520"," 96,611 ",6.60%,1.50 ,0.67 ,2.46 ,9.74 ,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 8,048 ",0.55%,1.09 ,0.52 ,2.51 ,(2.11),0.10
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,954,991,130"," 15,591 ",1.07%,1.45 ,0.56 ,2.58 ,12.51 ,0.08
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,866,558,465"," 113,930 ",7.79%,0.68 ,0.38 ,1.92 ,7.85 ,0.07
23,ITC,I T C Ltd.,CIGARETTES,"3,783,552,310"," 66,186 ",4.52%,0.58 ,0.32 ,1.92 ,0.90 ,0.08
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"930,781,836"," 26,532 ",1.81%,1.14 ,0.49 ,2.45 ,7.29 ,0.09
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"2,804,102,740"," 16,979 ",1.16%,1.77 ,0.59 ,3.95 ,7.66 ,0.09
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,197,831,870"," 96,701 ",6.61%,1.25 ,0.69 ,1.45 ,2.97 ,0.08
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 20,838 ",1.42%,1.13 ,0.45 ,2.11 ,11.65 ,0.09
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 20,602 ",1.41%,0.63 ,0.28 ,2.06 ,10.98 ,0.07
29,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 18,165 ",1.24%,0.59 ,0.41 ,1.24 ,(1.22),0.07
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 40,468 ",2.77%,0.86 ,0.50 ,1.58 ,6.00 ,0.07
31,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 12,019 ",0.82%,0.91 ,0.46 ,1.64 ,5.88 ,0.07
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 5,728 ",0.39%,0.71 ,0.38 ,1.63 ,(4.36),0.08
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,102,086,790"," 6,914 ",0.47%,0.82 ,0.24 ,2.11 ,16.76 ,0.07
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 11,629 ",0.79%,1.53 ,0.59 ,2.54 ,(2.27),0.09
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 9,512 ",0.65%,1.68 ,0.61 ,3.77 ,11.47 ,0.07
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,862,425,320"," 187,545 ",12.82%,1.23 ,0.72 ,2.55 ,10.14 ,0.08
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 14,690 ",1.00%,1.63 ,0.64 ,3.00 ,(0.84),0.09
38,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,209 ",0.36%,1.04 ,0.56 ,1.97 ,3.14 ,0.08
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 11,547 ",0.79%,1.48 ,0.66 ,2.14 ,19.81 ,0.08
40,SBIN,State Bank of India,BANKS,"6,348,802,220"," 57,707 ",3.94%,1.16 ,0.66 ,2.37 ,2.21 ,0.06
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 7,964 ",0.54%,1.12 ,0.50 ,2.24 ,2.29 ,0.10
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,680,783,722"," 34,572 ",2.36%,1.39 ,0.53 ,3.06 ,11.27 ,0.09
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 10,911 ",0.75%,0.53 ,0.18 ,1.25 ,5.31 ,0.08
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,447,486"," 5,756 ",0.39%,1.56 ,0.45 ,5.63 ,17.88 ,0.10
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,798,380,830"," 17,893 ",1.22%,1.22 ,0.38 ,2.19 ,16.91 ,0.07
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,370,932,210"," 22,141 ",1.51%,0.83 ,0.48 ,1.58 ,1.18 ,0.09
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 35,371 ",2.42%,1.47 ,0.55 ,3.13 ,22.83 ,0.07
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 34,593 ",2.36%,0.87 ,0.42 ,1.97 ,9.57 ,0.08
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 10,638 ",0.73%,1.76 ,0.49 ,4.00 ,(3.59),0.09
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,932,867,096"," 18,741 ",1.28%,0.81 ,0.40 ,1.71 ,3.82 ,0.08
,,,,," 1,462,989 ",100.00%,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-December-2008 to 30-November-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-November-2009 to 30-November-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 30-November-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
