Annexure II- S&P CNX Nifty Index : October 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for October 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 2009
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,810 ",0.59%,0.82 ,0.44 ,1.65 ,(1.90),0.09
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,029,070"," 7,579 ",0.57%,0.80 ,0.42 ,1.19 ,(8.49),0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,046,070,628"," 7,270 ",0.55%,0.84 ,0.37 ,1.44 ,(10.54),0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,979,706,700"," 20,867 ",1.58%,1.26 ,0.59 ,2.15 ,(7.89),0.08
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,968,423,300"," 36,240 ",2.74%,0.98 ,0.49 ,4.08 ,(30.07),0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 35,043 ",2.65%,0.97 ,0.64 ,1.71 ,(4.77),0.07
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 6,609 ",0.50%,0.44 ,0.14 ,1.59 ,(10.90),0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 11,333 ",0.86%,0.98 ,0.50 ,2.40 ,0.61 ,0.08
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 13,974 ",1.06%,0.45 ,0.21 ,1.96 ,2.57 ,0.10
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,453,466"," 13,418 ",1.01%,1.62 ,0.50 ,3.36 ,(15.47),0.07
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 15,645 ",1.18%,0.67 ,0.32 ,1.96 ,(3.03),0.09
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,753,060"," 14,980 ",1.13%,0.79 ,0.38 ,2.12 ,(21.26),0.08
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,342,513,200"," 6,547 ",0.50%,1.08 ,0.36 ,2.16 ,(10.14),0.10
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,848,794,330"," 66,849 ",5.06%,1.16 ,0.59 ,1.75 ,(4.70),0.08
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,269,435,650"," 55,809 ",4.22%,0.83 ,0.58 ,1.23 ,(1.81),0.08
