Annexure II- S&P CNX Nifty Index : September 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 2009
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,961 ",0.57%,0.89 ,0.50 ,1.51 ,3.39 ,0.08
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,013,320"," 8,282 ",0.59%,0.77 ,0.44 ,1.70 ,1.64 ,0.06
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,045,730,598"," 8,125 ",0.58%,0.84 ,0.40 ,0.91 ,0.50 ,0.10
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,598,706,700"," 20,486 ",1.47%,1.23 ,0.61 ,1.90 ,8.82 ,0.06
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,968,423,300"," 51,820 ",3.71%,0.99 ,0.61 ,2.17 ,(1.38),0.08
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 36,798 ",2.64%,0.96 ,0.64 ,1.08 ,0.84 ,0.06
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 7,418 ",0.53%,0.42 ,0.15 ,3.01 ,13.07 ,0.07
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 11,264 ",0.81%,1.15 ,0.58 ,1.47 ,(1.15),0.08
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,554,582,714"," 13,188 ",0.94%,0.51 ,0.29 ,1.61 ,3.34 ,0.09
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,388,226"," 15,873 ",1.14%,1.54 ,0.53 ,2.38 ,3.27 ,0.06
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 16,134 ",1.16%,0.74 ,0.42 ,1.59 ,7.08 ,0.08
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,747,840"," 19,023 ",1.36%,0.80 ,0.44 ,1.56 ,3.40 ,0.07
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,340,513,200"," 7,274 ",0.52%,1.08 ,0.41 ,2.42 ,13.60 ,0.09
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,847,259,970"," 70,109 ",5.02%,1.15 ,0.62 ,1.85 ,12.74 ,0.08
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,267,057,880"," 56,804 ",4.07%,0.84 ,0.61 ,1.13 ,12.20 ,0.07
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 15,041 ",1.08%,0.50 ,0.26 ,2.09 ,10.70 ,0.07
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,700,566,605"," 14,023 ",1.00%,1.25 ,0.55 ,3.18 ,21.75 ,0.08
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,180,540,060"," 27,460 ",1.97%,0.42 ,0.25 ,1.45 ,1.02 ,0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,129,158,430"," 101,008 ",7.23%,1.52 ,0.72 ,2.40 ,20.83 ,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 11,868 ",0.85%,1.13 ,0.56 ,1.13 ,(7.21),0.08
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,865,295,885"," 110,378 ",7.91%,0.66 ,0.42 ,1.62 ,8.22 ,0.06
22,ITC,I T C Ltd.,CIGARETTES,"3,776,140,500"," 59,877 ",4.29%,0.53 ,0.36 ,1.39 ,0.91 ,0.08
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,172,498,964"," 99,029 ",7.09%,1.19 ,0.71 ,1.46 ,7.77 ,0.07
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,788,212,650"," 17,494 ",1.25%,1.15 ,0.48 ,2.33 ,2.26 ,0.07
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 22,508 ",1.61%,0.68 ,0.40 ,1.99 ,18.34 ,0.07
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,443,096,280"," 2,882 ",0.21%,0.98 ,0.40 ,2.29 ,0.78 ,0.11
27,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 18,507 ",1.33%,0.71 ,0.55 ,0.81 ,0.66 ,0.06
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 39,532 ",2.83%,0.87 ,0.58 ,1.32 ,(1.14),0.06
29,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 10,614 ",0.76%,0.85 ,0.50 ,1.35 ,16.88 ,0.07
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 6,310 ",0.45%,0.75 ,0.48 ,1.09 ,2.18 ,0.07
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,101,859,565"," 6,119 ",0.44%,0.75 ,0.24 ,2.18 ,23.07 ,0.06
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 20,902 ",1.50%,1.55 ,0.66 ,2.90 ,18.80 ,0.07
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 10,488 ",0.75%,1.51 ,0.62 ,1.82 ,5.29 ,0.06
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,738,694,060"," 156,727 ",11.23%,1.24 ,0.76 ,2.00 ,9.80 ,0.06
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 17,127 ",1.23%,1.65 ,0.71 ,1.79 ,6.59 ,0.08
36,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"930,781,836"," 22,542 ",1.61%,1.13 ,0.49 ,3.02 ,12.44 ,0.08
37,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 6,123 ",0.44%,1.03 ,0.62 ,1.51 ,4.00 ,0.07
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 10,010 ",0.72%,1.34 ,0.62 ,2.02 ,5.07 ,0.08
39,SBIN,State Bank of India,BANKS,"6,348,802,220"," 56,558 ",4.05%,1.07 ,0.66 ,1.97 ,25.94 ,0.06
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 8,420 ",0.60%,1.01 ,0.45 ,2.20 ,7.72 ,0.10
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,663,885,280"," 24,726 ",1.77%,1.47 ,0.62 ,2.77 ,14.87 ,0.08
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 10,579 ",0.76%,0.42 ,0.14 ,2.24 ,18.24 ,0.08
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,422,800"," 5,730 ",0.41%,1.66 ,0.52 ,2.33 ,(2.24),0.07
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,850,000,000"," 3,296 ",0.24%,0.89 ,0.42 ,1.20 ,(3.52),0.08
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,499,331,670"," 14,073 ",1.01%,1.25 ,0.48 ,3.24 ,20.72 ,0.07
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,368,472,660"," 21,512 ",1.54%,0.91 ,0.55 ,1.55 ,0.71 ,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 31,125 ",2.23%,1.51 ,0.62 ,2.31 ,20.08 ,0.07
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 30,275 ",2.17%,0.86 ,0.45 ,1.76 ,17.83 ,0.07
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 14,453 ",1.04%,1.71 ,0.41 ,2.87 ,0.05 ,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,931,778,026"," 18,339 ",1.31%,0.91 ,0.50 ,1.60 ,9.48 ,0.06
,,,,,,,,,,,
,,,,," 1,396,214 ",100.00%,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-October-2008 to 30-September-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-September-2009 to 30-September-2009,,,,,,,,
,,,,,,,,
* Last day of trading was 30-September-2009,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,
,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
