CNX NIFTY JUNIOR INDEX : April 2010,,,,,,,,,,,

Sr.no.,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2010,Weightage,Beta,R2,Volatility,Monthly return,Avg. Impact Cost for April 2010
,,,,(In Rs.),(Rs. crores),%,,,%,,%
,,,,,,,,,,,
1,ADANIENT,Adani Enterprises Ltd.,TRADING,529153209,7592.68,2.55,0.89,0.37,1.87,19.77,0.10
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,103006768,4577.03,1.54,1.14,0.49,2.61,-9.11,0.11
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3110.22,1.04,0.96,0.49,2.42,22.32,0.09
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,13303383170,3916.05,1.31,1.14,0.42,2.43,7.62,0.10
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,9980.71,3.35,0.37,0.15,0.96,1.96,0.12
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,1446835100,15259.99,5.12,0.65,0.24,1.85,3.90,0.08
7,BANKBARODA,Bank of Baroda,BANKS,728532800,11647.39,3.91,0.84,0.40,1.78,8.32,0.09
8,BANKINDIA,Bank of India,BANKS,525175500,7105.55,2.38,1.03,0.44,1.71,11.92,0.08
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3512.85,1.18,0.68,0.30,1.29,-17.40,0.08
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,1113261355,3441.05,1.15,1.05,0.31,1.17,8.45,0.10
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,2000000000,2365.27,0.79,0.89,0.32,1.50,6.38,0.08
12,CANBK,Canara Bank,BANKS,4100000000,4726.16,1.59,0.96,0.45,2.21,4.74,0.09
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,1359928170,4944.43,1.66,0.38,0.17,1.35,9.88,0.08
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6220.04,2.09,0.39,0.15,2.33,-1.65,0.17
