Annexure II- S&P CNX Nifty Index : April 2010,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8041.91,0.53,0.81,0.40,1.41,-4.53,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877448660,9140.41,0.60,0.83,0.40,1.12,-4.84,0.07
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3047422760,9880.53,0.65,0.72,0.31,1.21,1.00,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,4045188410,31347.89,2.05,1.13,0.55,1.69,8.71,0.06
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,39379.97,2.58,0.91,0.56,1.45,4.25,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,6686.88,0.44,0.49,0.14,1.57,-0.11,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,37975300960,36463.30,2.38,0.97,0.35,1.49,-4.48,0.06
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18968444660,13581.55,0.89,0.89,0.44,1.73,3.29,0.06
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,17412.63,1.14,0.48,0.18,1.55,1.42,0.06
10,DLF,DLF Ltd.,CONSTRUCTION,3394747860,11260.60,0.74,1.58,0.55,2.1,0.58,0.06
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,19276.62,1.26,0.67,0.30,2.01,4.51,0.08
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1352216456,8389.00,0.55,1.07,0.35,2.45,10.06,0.07
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4577432720,69716.07,4.56,0.81,0.58,1,3.46,0.06
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17226.77,1.13,0.83,0.36,2.33,-1.49,0.06
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913462442,23198.86,1.52,1.31,0.46,1.81,-1.52,0.07
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2181686781,25100.11,1.64,0.38,0.14,1.34,0.10,0.06
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2870477970,71344.04,4.67,1.17,0.59,1.86,3.56,0.06
18,ITC,I T C Ltd.,CIGARETTES,3818176790,69237.30,4.53,0.66,0.31,1.09,1.06,0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11142848720,106074.35,6.94,1.41,0.69,2.13,-0.06,0.06
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,32998377920,10281.94,0.67,1.07,0.42,1.85,-6.64,0.09
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869125960,131894.92,8.62,0.69,0.36,1.11,4.67,0.05
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,12966707720,15976.23,1.04,1.36,0.53,2.1,5.93,0.08
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,21246202450,16919.11,1.11,1.55,0.61,2.06,-1.27,0.07
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,9312340820,28673.58,1.88,1.09,0.49,1.09,5.74,0.06
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3479842860,11931.68,0.78,1.29,0.56,1.62,1.28,0.07
