Annexure II- CNX Nifty Jr. Index : Aug 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,611851646,10414,3.29,0.72,0.17,2.07,0.51,0.08
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030067680,4521,1.43,1.04,0.31,1.87,0.25,0.1
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3568,1.13,1.12,0.36,1.98,0.29,0.08
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4800,1.52,1.11,0.32,1.57,0.18,0.1
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,13086,4.14,0.46,0.1,0.97,0.27,0.1
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,1446835100,18974,6,0.74,0.19,1.6,0.09,0.08
7,BANKBARODA,Bank of Baroda,BANKS,3642664000,13545,4.28,0.76,0.23,1.71,0.32,0.1
8,BANKINDIA,Bank of India,BANKS,5251755000,8254,2.61,1.06,0.27,2.15,0.36,0.09
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3206,1.01,0.58,0.14,1.2,-0.38,0.09
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4719,1.49,1.44,0.42,1.18,0.32,0.11
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2505,0.79,1,0.32,2.19,0.45,0.09
12,CANBK,Canara Bank,BANKS,4100000000,5653,1.79,1.15,0.4,1.6,0.33,0.08
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5501,1.74,0.39,0.1,1.28,-0.09,0.08
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6259,1.98,0.44,0.09,1.14,-0.23,0.18
15,CORPBANK,Corporation Bank,BANKS,1434400000,1349,0.43,0.79,0.22,1.39,-0.01,0.11
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,11229,3.55,0.97,0.24,1.72,0.33,0.11
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,7155,2.26,0.47,0.08,1.69,0.69,0.13
18,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,844868975,17124,5.42,0.52,0.1,1.13,0.04,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,5822,1.84,1,0.3,1.51,-0.07,0.1
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,7775,2.46,0.35,0.08,1.21,-0.34,0.12
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,269917553,3981,1.26,0.7,0.17,1.51,0.26,0.1
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,6372,2.02,1.11,0.1,2.01,-0.07,0.09
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,8705,2.75,0.43,0.04,1.99,0.9,0.08
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,3668426760,4798,1.52,1.94,0.53,2.27,-0.22,0.09
25,IDBI,IDBI Bank Ltd.,BANKS,7248366980,4170,1.32,1.41,0.5,1.7,0.11,0.07
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3717,1.18,1.45,0.37,1.84,-0.26,0.09
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803317478,5236,1.66,1.81,0.41,2.45,0.13,0.09
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,5190,1.64,1.12,0.32,2.24,0.2,0.1
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2634,0.83,1.15,0.3,1.75,0.4,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,11640,3.68,1.9,0.55,1.18,0.06,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,7245,2.29,1.25,0.31,1.86,0.27,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,890938100,8396,2.66,0.45,0.07,1.39,-0.23,0.12
33,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,12248,3.87,1.13,0.32,1.33,0.16,0.09
34,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1505,0.48,1.07,0.35,1.48,-0.07,0.1
35,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2098561910,4335,1.37,0.56,0.09,1.63,0.24,0.1
36,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6931,2.19,1.04,0.31,1.51,0.28,0.09
37,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419355285,3336,1.06,0.68,0.18,1.12,-0.15,0.09
38,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,260148246,2130,0.67,0.81,0.12,3.93,-0.07,0.08
39,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,4096,1.3,0.72,0.18,1.49,0.43,0.09
40,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2194,0.69,1.27,0.31,1.8,-0.81,0.07
41,RNRL,Reliance Natural Resources Ltd.,GAS,8165652110,2747,0.87,1.2,0.13,1.35,-0.48,0.09
42,SESAGOA,Sesa Goa Ltd.,MINING,859702559,12095,3.83,1.8,0.42,2.37,-0.55,0.08
43,SYNDIBANK,Syndicate Bank,BANKS,5219682820,1902,0.6,1.34,0.45,2.16,0.19,0.1
44,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,18971968540,947,0.3,1.03,0.28,2.14,0,0.14
45,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1240684410,2075,0.66,0.95,0.25,1.37,-0.41,0.08
46,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,5737,1.81,0.83,0.18,1.16,-0.06,0.13
47,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,1244870790,5081,1.61,0.6,0.13,1.55,0.21,0.12
48,UNIONBANK,Union Bank of India,BANKS,5051179000,7406,2.34,0.87,0.25,1.95,0.18,0.08
49,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,881575654,5861,1.85,1.01,0.23,1.56,0.02,0.1
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,484483733,7955,2.52,0.82,0.16,1.95,-0.12,0.07
,,,,Total,316124,,,,,,0.9
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2009 to 31-Aug-2010.,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
"* The coefficient of determination (R2) measures the strength of relationship between two variables the return on a security versus
that of the market.",,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2010 to 31-Aug-2010.,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Aug-2010.,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost.,,,,,,,,,,,
,,,,,,,,,,,
* FF MCAP = Free- Float market capitalization.,,,,,,,,,,,
