Annexure II- S&P CNX Nifty Index : Aug 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,4129,0.26,0.59,0.09,1.19,-0.18,0.08
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8792,0.56,0.68,0.21,1.36,0.22,0.06
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3049899822,10262,0.66,0.75,0.19,2.37,0.32,0.08
4,AXISBANK,Axis Bank Ltd.,BANKS,4079539080,33802,2.16,1.13,0.44,1.11,-0.04,0.06
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,38027,2.43,0.67,0.32,0.91,-0.05,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,9836,0.63,0.28,0.02,2.65,0.81,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,39942,2.55,0.62,0.07,1.63,0.31,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18973604790,14322,0.91,1.07,0.4,2.17,0,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,15388,0.98,0.38,0.06,1.23,-0.32,0.06
10,DLF,DLF Ltd.,CONSTRUCTION,3394813100,10949,0.7,1.66,0.5,1.94,0.03,0.07
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,20754,1.33,0.57,0.13,1.38,0.25,0.08
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1357567624,9006,0.58,0.99,0.23,1.73,-0.1,0.07
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4601330170,74994,4.79,0.79,0.4,1.12,0.02,0.06
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17096,1.09,0.65,0.17,1.31,-0.05,0.06
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913493834,21627,1.38,1.94,0.55,1.91,0.19,0.08
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182080402,27692,1.77,0.37,0.07,1.02,0.24,0.06
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2909906740,80762,5.16,0.98,0.45,1.5,0.24,0.09
18,ITC,I T C Ltd.,CIGARETTES,7649590760,85366,5.45,0.6,0.18,1.43,0.26,0.08
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11152793050,109041,6.96,1.57,0.66,1.95,0.37,0.06
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33002313060,5648,0.36,0.71,0.09,2.05,0.08,0.09
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869505505,130758,8.35,0.77,0.35,1.16,-0.12,0.05
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14597996190,20347,1.3,1.22,0.38,1.21,-0.19,0.07
