Annexure II- CNX Nifty Jr. Index : Dec 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1155415465,16282,4.82,1.07,0.25,1.4,-2.89,0.16
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030096630,4676,1.39,1.00,0.32,1.74,12.41,0.1
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3536,1.05,1.18,0.39,2.25,-4.66,0.12
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4174,1.24,1.14,0.32,2.45,-10.68,0.11
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,13250,3.93,0.48,0.11,1.66,8.68,0.1
6,BANKBARODA,Bank of Baroda,BANKS,3642664000,15088,4.47,0.82,0.29,1.37,-4.33,0.12
7,BANKINDIA,Bank of India,BANKS,5251755000,8427,2.5,1.16,0.36,2.38,-3.46,0.1
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3419,1.01,0.59,0.18,1.13,3.44,0.13
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,5114,1.51,1.23,0.44,2.19,1.47,0.13
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2924,0.87,0.89,0.25,1.59,7.79,0.08
11,CANBK,Canara Bank,BANKS,4100000000,7263,2.15,1.16,0.38,1.98,-10.96,0.1
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5796,1.72,0.59,0.16,1.1,-1.82,0.1
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6080,1.8,0.54,0.14,1.24,-0.58,0.24
14,CORPBANK,Corporation Bank,BANKS,1434400000,1670,0.49,0.90,0.25,1.91,-10.26,0.11
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,11746,3.48,0.79,0.19,1.02,-7.49,0.1
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,7625,2.26,0.51,0.12,1.29,-1.17,0.14
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7661,2.27,0.71,0.16,1.95,3.44,0.1
