Annexure II- S&P CNX Nifty Index : Dec 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,10865,0.59,0.69,0.18,2.11,9.33,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3054721472,11729,0.64,0.88,0.2,2.01,1.67,0.09
3,AXISBANK,Axis Bank Ltd.,BANKS,4096894230,34566,1.89,1.23,0.45,2.71,-1.23,0.07
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,20842,1.14,0.64,0.16,1.47,-2.26,0.07
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,36717,2.01,0.78,0.4,0.91,5.43,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8507,0.47,0.42,0.04,1.66,-2.47,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,43779,2.4,0.69,0.11,1.69,-0.37,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18998569430,14352,0.79,1.00,0.34,1.12,5.58,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,18765,1.03,0.55,0.12,2.02,7.72,0.07
10,DLF,DLF Ltd.,CONSTRUCTION,3394949304,10588,0.58,1.58,0.49,2.27,-4.82,0.08
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846136535,20911,1.14,0.41,0.07,1.33,-6.93,0.07
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,23027,1.26,0.55,0.15,1.01,4.3,0.08
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1366140048,10846,0.59,0.97,0.26,1.05,13,0.07
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4637730530,83262,4.56,0.90,0.42,1.81,2.67,0.07
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18973,1.04,0.50,0.06,4.64,0.27,0.06
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913594243,32104,1.76,1.81,0.56,2.25,19.58,0.07
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182119802,32761,1.79,0.54,0.13,1.34,4.91,0.07
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2925786170,94374,5.17,1.07,0.46,1.38,6.07,0.08
19,ITC,I T C Ltd.,CIGARETTES,7698932420,92199,5.05,0.63,0.21,0.93,1.6,0.06
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11480257800,131460,7.2,1.52,0.62,2.3,0.26,0.08
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870173370,165923,9.08,0.75,0.33,0.88,12.84,0.05
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14603829180,19394,1.06,1.31,0.45,2.13,-2.22,0.08
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,12170,0.67,1.64,0.5,2.15,-3.9,0.08
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,27648,1.51,1.10,0.43,1.59,11.83,0.07
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3670873110,15907,0.87,1.19,0.41,1.98,-4.84,0.09
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1215610018,105504,5.77,0.97,0.43,1.3,1.5,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2982935375,34436,1.88,1.18,0.36,1.81,1.69,0.07
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,18807,1.03,0.66,0.17,1.13,-0.03,0.07
29,NTPC,NTPC Ltd.,POWER,82454644000,25645,1.4,0.56,0.24,1.42,9.05,0.06
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,43445,2.38,0.64,0.19,1.12,3.44,0.05
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,13916,0.76,0.49,0.15,1.17,3.53,0.05
32,PNB,Punjab National Bank,BANKS,3153025000,16260,0.89,0.87,0.35,1.61,0.28,0.09
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2105203465,9108,0.5,0.93,0.29,1.71,4.57,0.06
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,7548,0.41,1.27,0.44,2.22,2.74,0.07
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9685,0.53,1.18,0.23,3.33,10.28,0.08
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32887098380,179252,9.81,1.09,0.51,1.46,7.42,0.06
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,11825,0.65,1.19,0.37,2.57,-0.11,0.08
38,RPOWER,Reliance Power Ltd.,POWER,28050826060,8685,0.48,1.06,0.28,1.72,-1.28,0.07
