Annexure II- S&P CNX Nifty Index : February 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 8,064 ",0.56%,0.78 ,0.37 ,0.97 ,(2.02),0.09
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,402,020"," 9,322 ",0.65%,0.79 ,0.40 ,1.65 ,5.90 ,0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,046,612,130"," 8,727 ",0.61%,0.69 ,0.29 ,1.77 ,5.06 ,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,036,327,640"," 27,696 ",1.94%,1.27 ,0.58 ,1.87 ,9.63 ,0.08
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,969,519,800"," 34,113 ",2.39%,0.93 ,0.36 ,2.73 ,(8.83),0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 37,121 ",2.60%,0.92 ,0.56 ,1.22 ,(2.32),0.06
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 7,287 ",0.51%,0.44 ,0.12 ,2.18 ,4.27 ,0.10
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,786,470"," 11,445 ",0.80%,0.94 ,0.49 ,1.66 ,0.13 ,0.08
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 16,043 ",1.12%,0.48 ,0.19 ,1.99 ,(0.33),0.10
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,698,660"," 10,816 ",0.76%,1.61 ,0.55 ,2.33 ,(10.55),0.07
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 17,915 ",1.25%,0.68 ,0.32 ,1.52 ,1.21 ,0.08
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,820,010"," 18,417 ",1.29%,0.81 ,0.42 ,1.77 ,3.74 ,0.07
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,347,011,864"," 7,777 ",0.54%,1.09 ,0.37 ,1.38 ,5.85 ,0.10
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,861,489,960"," 63,193 ",4.42%,1.18 ,0.58 ,1.59 ,4.88 ,0.07
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,561,149,940"," 59,201 ",4.14%,0.82 ,0.58 ,1.33 ,4.52 ,0.07
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 15,988 ",1.12%,0.74 ,0.34 ,1.66 ,14.03 ,0.07
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,913,434,307"," 21,139 ",1.48%,1.32 ,0.49 ,3.27 ,10.38 ,0.09
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,181,441,805"," 24,721 ",1.73%,0.40 ,0.18 ,1.65 ,(2.52),0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,138,469,520"," 97,144 ",6.80%,1.47 ,0.67 ,1.78 ,5.03 ,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 9,652 ",0.68%,1.08 ,0.46 ,2.08 ,4.53 ,0.10
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,965,767,610"," 14,954 ",1.05%,1.36 ,0.52 ,2.29 ,5.17 ,0.08
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,867,676,165"," 125,271 ",8.77%,0.69 ,0.38 ,1.39 ,5.11 ,0.07
23,ITC,I T C Ltd.,CIGARETTES,"3,800,021,680"," 60,199 ",4.21%,0.63 ,0.31 ,1.83 ,(7.16),0.07
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"930,781,836"," 24,379 ",1.71%,1.09 ,0.49 ,1.83 ,0.71 ,0.08
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"4,243,681,902"," 15,123 ",1.06%,1.66 ,0.36 ,2.64 ,(4.10),0.08
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,200,545,626"," 93,901 ",6.57%,1.27 ,0.71 ,1.42 ,9.86 ,0.08
