Annexure II- S&P CNX Nifty Index : January 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for January 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost January 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 8,231 ",0.55%,0.81 ,0.37 ,2.47 ,5.72 ,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,402,020"," 8,803 ",0.58%,0.79 ,0.38 ,2.26 ,(0.09),0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,046,612,130"," 8,304 ",0.55%,0.68 ,0.29 ,2.28 ,(2.35),0.10
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,032,084,690"," 25,236 ",1.67%,1.29 ,0.58 ,2.31 ,3.69 ,0.07
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,969,519,800"," 37,584 ",2.49%,0.93 ,0.38 ,1.82 ,(7.08),0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 38,004 ",2.52%,0.93 ,0.56 ,1.76 ,0.08 ,0.06
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 6,989 ",0.46%,0.44 ,0.13 ,1.58 ,(14.90),0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,966,678,160"," 11,429 ",0.76%,0.94 ,0.49 ,1.90 ,(5.83),0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 15,759 ",1.05%,0.45 ,0.18 ,1.79 ,(5.33),0.09
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,502,566"," 56,629 ",3.76%,1.59 ,0.50 ,2.89 ,(7.63),0.06
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 17,702 ",1.17%,0.66 ,0.32 ,1.69 ,(4.66),0.07
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,820,010"," 17,828 ",1.18%,0.80 ,0.40 ,2.05 ,5.02 ,0.07
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,346,219,552"," 7,343 ",0.49%,1.07 ,0.36 ,3.36 ,(6.60),0.09
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,858,553,370"," 60,150 ",3.99%,1.19 ,0.56 ,1.50 ,(10.91),0.06
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,552,365,640"," 59,927 ",3.97%,0.83 ,0.59 ,1.69 ,(4.18),0.08
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 14,021 ",0.93%,0.70 ,0.31 ,1.90 ,(9.24),0.06
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,913,433,052"," 18,016 ",1.19%,1.29 ,0.49 ,2.68 ,(8.39),0.09
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,181,441,805"," 25,352 ",1.68%,0.38 ,0.17 ,1.56 ,(8.50),0.06
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,137,408,530"," 92,479 ",6.13%,1.49 ,0.66 ,2.24 ,(5.32),0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 18,120 ",1.20%,1.08 ,0.46 ,2.65 ,0.69 ,0.09
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,960,901,040"," 19,668 ",1.30%,1.34 ,0.52 ,1.88 ,(1.65),0.08
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,867,676,165"," 118,580 ",7.86%,0.70 ,0.40 ,1.78 ,(4.83),0.06
23,ITC,I T C Ltd.,CIGARETTES,"3,795,325,160"," 64,597 ",4.28%,0.61 ,0.31 ,1.26 ,(0.26),0.07
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"930,781,836"," 24,207 ",1.61%,1.11 ,0.50 ,1.61 ,(10.71),0.07
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"4,243,681,902"," 15,647 ",1.04%,1.69 ,0.37 ,2.77 ,(6.16),0.08
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,200,545,626"," 85,470 ",5.67%,1.27 ,0.71 ,1.82 ,(15.13),0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,798,212,650"," 20,673 ",1.37%,1.19 ,0.50 ,2.68 ,(5.86),0.09
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 18,381 ",1.22%,0.70 ,0.32 ,1.79 ,(10.94),0.07
29,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 18,555 ",1.23%,0.59 ,0.41 ,1.23 ,(9.06),0.06
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 36,982 ",2.45%,0.87 ,0.49 ,1.52 ,(6.93),0.06
31,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 11,958 ",0.79%,0.96 ,0.48 ,1.89 ,(0.83),0.07
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 6,468 ",0.43%,0.77 ,0.48 ,1.31 ,2.32 ,0.08
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,102,086,790"," 6,890 ",0.46%,0.84 ,0.23 ,2.03 ,(12.30),0.07
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 35,047 ",2.32%,1.44 ,0.59 ,2.30 ,(1.48),0.07
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 9,197 ",0.61%,1.67 ,0.62 ,2.39 ,(6.14),0.05
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,864,135,810"," 184,504 ",12.23%,1.14 ,0.71 ,1.37 ,(4.07),0.07
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 14,504 ",0.96%,1.54 ,0.64 ,1.45 ,(9.81),0.07
38,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,324 ",0.35%,1.03 ,0.52 ,1.56 ,(5.90),0.07
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 12,564 ",0.83%,1.33 ,0.61 ,2.19 ,(11.25),0.07
40,SBIN,State Bank of India,BANKS,"6,348,802,220"," 52,993 ",3.51%,1.19 ,0.66 ,1.63 ,(9.36),0.05
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 9,716 ",0.64%,1.10 ,0.52 ,2.96 ,10.41 ,0.10
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,680,783,722"," 30,366 ",2.01%,1.37 ,0.55 ,2.04 ,(12.79),0.08
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 11,071 ",0.73%,0.61 ,0.21 ,1.56 ,(2.37),0.08
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,463,486"," 5,643 ",0.37%,1.50 ,0.42 ,2.56 ,(14.50),0.08
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,798,380,830"," 18,734 ",1.24%,1.23 ,0.38 ,2.27 ,(12.28),0.07
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,371,886,650"," 21,338 ",1.41%,0.81 ,0.46 ,1.81 ,(5.54),0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 34,754 ",2.30%,1.47 ,0.53 ,2.94 ,(7.87),0.06
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 36,995 ",2.45%,0.91 ,0.44 ,2.27 ,(1.87),0.07
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 9,967 ",0.66%,1.71 ,0.50 ,2.87 ,(9.72),0.07
