Annexure II- CNX Nifty Jr. Index : July 2010,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,537039759,8113.38,2.64,0.67,0.41,1,0.37,0.085
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030067680,4306.16,1.4,1.02,0.57,1.44,0.09,0.118
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3311.15,1.08,1.05,0.61,1.9,0.46,0.087
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4753.95,1.55,1.2,0.62,1.91,0.51,0.08
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,12441.5,4.05,0.51,0.38,1.62,0.57,0.089
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,1446835100,18684.17,6.08,0.82,0.48,1.52,0.36,0.061
7,BANKBARODA,Bank of Baroda,BANKS,3642664000,12342.33,4.01,0.75,0.52,1.01,0.32,0.075
8,BANKINDIA,Bank of India,BANKS,5251755000,7639.21,2.48,0.99,0.53,1.39,0.74,0.076
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3455.4,1.12,0.57,0.4,1.17,0.19,0.093
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4252.1,1.38,1.57,0.65,1.84,0.57,0.094
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2295.75,0.75,1.03,0.6,1.17,-0.22,0.076
12,CANBK,Canara Bank,BANKS,4100000000,5333.36,1.73,1.09,0.64,1.32,0.31,0.066
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5636.45,1.83,0.47,0.39,0.56,0.03,0.081
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6669.64,2.17,0.39,0.29,1.37,0.09,0.171
15,CORPBANK,Corporation Bank,BANKS,1434400000,1359.97,0.44,0.78,0.47,1.17,0.4,0.1
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,10421.54,3.39,1.02,0.54,2.08,0.34,0.104
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,5972.53,1.94,0.63,0.37,1.34,0.3,0.102
18,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,844868975,17372.32,5.65,0.48,0.31,1.35,-0.3,0.084
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,5955.59,1.94,0.94,0.56,1.81,0.41,0.091
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8545.14,2.78,0.32,0.28,1.06,-0.37,0.114
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,269910153,3762.91,1.22,0.79,0.42,1.38,0.01,0.089
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,5410.65,1.76,1.12,0.35,1.16,-0.2,0.085
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,7102.11,2.31,0.38,0.2,1.96,-0.34,0.082
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,3668426760,4746.61,1.54,1.92,0.75,2.16,0.31,0.069
25,IDBI,IDBI Bank Ltd.,BANKS,7248366980,4065.4,1.32,1.41,0.74,1.35,0,0.072
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,4077.21,1.33,1.49,0.65,2.22,0.44,0.086
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803317478,5449.06,1.77,1.82,0.66,1.65,0.19,0.086
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,5187.46,1.69,1.06,0.56,0.8,-0.26,0.089
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2417.18,0.79,1.07,0.56,1.7,0.45,0.08
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,11625.68,3.78,1.86,0.75,1.89,0.25,0.061
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6801.56,2.21,1.27,0.6,2.02,0.61,0.061
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,889998190,9017,2.93,0.36,0.23,1.2,-0.21,0.072
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1515.69,0.49,1.1,0.62,2.41,0.08,0.095
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2097826180,3809.86,1.24,0.66,0.33,1.52,0.23,0.085
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,5778.11,1.88,0.94,0.53,1.27,-0.08,0.085
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419355285,3417.74,1.11,0.63,0.41,0.67,-0.32,0.087
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,259782964,2186.98,0.71,0.81,0.37,1.76,-0.44,0.073
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,3718.94,1.21,0.77,0.48,1.53,0.28,0.088
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2628.99,0.86,1.31,0.6,1.06,-0.32,0.067
40,RNRL,Reliance Natural Resources Ltd.,GAS,8165652110,3097.59,1.01,1.24,0.4,5.7,-1.88,0.079
41,SESAGOA,Sesa Goa Ltd.,MINING,859702559,13595.55,4.42,1.69,0.65,1.65,0.12,0.061
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,1793.75,0.58,1.27,0.7,1.59,0.62,0.09
43,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,18971968540,934.11,0.3,1.01,0.58,2.09,0.06,0.135
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1240684410,2200.02,0.72,1,0.53,1.3,-0.21,0.061
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,5794.54,1.88,0.78,0.42,1.28,0.17,0.134
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,1244870790,4869.42,1.58,0.65,0.41,0.89,-0.08,0.087
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7091.21,2.31,0.75,0.49,1.14,0.1,0.077
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,880827496,5743.07,1.87,1.04,0.49,1.77,0.02,0.08
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,12398.52,4.03,1.19,0.61,1.54,0.26,0.076
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,484483733,8347.05,2.71,0.82,0.42,1.41,-0.12,0.067
,,,,Total,307445.61,,,,,,

* Beta & R2 are calculated for the period 01-Aug-2009 to 31-Jul-2010,,,,,,,,,,,

* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect on the market as a whole.,,,,,,,,,,,

* The coefficient of determination (R2) measures the strength of relationship between two variables the return on a security versus that of the market.,,,,,,,,,,,

* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2010 to 31-Jul-2010,,,,,,,,,,,

* Last day of trading was 30-Jul-2010

* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 lakhs

* Impact Cost for CNX Nifty Junior is the weightage average impact cost

^ FF MCAP = Free- Float market capitalisation
