Annexure II- S&P CNX Nifty Index : July 2010,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jul. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8606.18,0.55,0.66,0.36,1.47,-0.27,0.06
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8515.39,0.54,0.76,0.51,1.07,-0.24,0.05
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3049440622,9801.31,0.63,0.7,0.46,1.44,0.12,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,4069409790,34015.51,2.17,1.1,0.66,1.29,0.36,0.05
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,38238.35,2.44,0.71,0.6,0.95,-0.04,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8230.89,0.53,0.22,0.11,2.24,-0.12,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,38484.73,2.46,0.65,0.3,2.53,0.74,0.06
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18972975440,14417.45,0.92,1.03,0.65,1.39,0.45,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16643.87,1.06,0.4,0.28,0.83,-0.16,0.06
10,DLF,DLF Ltd.,CONSTRUCTION,3394813100,11167.82,0.71,1.63,0.73,2,0.22,0.06
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,20347.99,1.3,0.61,0.4,1.72,-0.27,0.07
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1354998640,8181.64,0.52,1.09,0.52,1.68,0.35,0.07
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4596907030,73542.3,4.69,0.72,0.61,1.15,0.48,0.06
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,16593.61,1.06,0.78,0.49,1.93,-0.53,0.05
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913476324,20859.79,1.33,1.92,0.75,1.23,0.48,0.07
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182080402,26898.29,1.72,0.47,0.34,1.22,-0.27,0.07
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,290951373,77142.54,4.92,0.93,0.68,1.25,0.06,0.05
