CNX NIFTY JUNIOR INDEX : June 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,532486759,7402.9,2.48,0.8,0.26,-0.03,0.87,0.1
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030067680,4219.76,1.41,1,0.35,0.26,2.04,0.13
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3052.65,1.02,0.98,0.42,-0.21,1.36,0.09
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4150.74,1.39,1.11,0.36,0.26,1.67,0.1
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,10922.35,3.65,0.44,0.14,0.46,1.56,0.09
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,1446835100,17291.2,5.78,0.73,0.25,0.55,1.11,0.08
7,BANKBARODA,Bank of Baroda,BANKS,3642664000,11809.77,3.95,0.8,0.35,-0.05,1.48,0.08
8,BANKINDIA,Bank of India,BANKS,5251755000,6521.51,2.18,0.95,0.31,0.28,1.43,0.1
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3355.09,1.12,0.64,0.21,0.06,1.4,0.11
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3774.72,1.26,1.39,0.40,0.36,2.13,0.11
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2387.07,0.8,1,0.36,0.47,1.5,0.1
12,CANBK,Canara Bank,BANKS,4100000000,4936.26,1.65,1.09,0.45,0.43,1.09,0.08
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5578.47,1.87,0.41,0.13,0.47,1.58,0.09
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6477.71,2.17,0.43,0.12,0.24,1.97,0.21
15,CORPBANK,Corporation Bank,BANKS,1434400000,1243.92,0.42,0.75,0.26,-0.13,1.4,0.09
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,9769.72,3.27,0.9,0.29,0.33,1.77,0.11
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,5794.5,1.94,0.63,0.18,0.29,1.62,0.11
18,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,844226925,18188.16,6.08,0.48,0.12,0.17,1.69,0.06
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,5431.69,1.82,0.85,0.34,-0.37,1.46,0.11
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9125.75,3.05,0.3,0.09,0.17,1.31,0.14
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,269882353,3768.1,1.26,0.85,0.22,-0.01,1.4,0.08
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,5638.07,1.89,1.18,0.05,-0.01,1.38,0.1
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,7772.59,2.6,0.38,0.05,1.25,4.23,0.1
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,3588426760,4378.53,1.46,1.76,0.58,0.5,2.89,0.09
25,IDBI,IDBI Bank Ltd.,BANKS,7248119150,4087.56,1.37,1.4,0.62,0.22,1.73,0.07
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3599.95,1.2,1.6,0.52,0.22,2.33,0.08
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803108478,5173.62,1.73,1.72,0.46,0.02,2.16,0.09
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,5353.31,1.79,0.98,0.34,0.03,1.79,0.11
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2198.59,0.74,0.97,0.35,0.63,1.92,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,10919.46,3.65,1.7,0.58,-0.17,2.2,0.08
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6010.56,2.01,1.26,0.44,0.28,1.51,0.06
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,889844050,9255.54,3.1,0.39,0.08,0.26,0.85,0.07
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1514.69,0.51,1.01,0.41,0.5,1.99,0.1
34,MPHASIS,Mphasis Ltd.,COMPUTERS - SOFTWARE,2097272050,3636.24,1.22,0.66,0.14,-0.05,1.95,0.09
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,5867.9,1.96,0.89,0.30,0.28,1.74,0.09
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419323285,3703.06,1.24,0.68,0.22,0.43,1.58,0.08
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,259090022,2404.83,0.8,0.79,0.15,-0.27,2.23,0.09
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,3521.26,1.18,0.82,0.29,0.07,1.58,0.09
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2828.42,0.95,1.32,0.41,0.59,1.92,0.08
40,RNRL,Reliance Natural Resources Ltd.,GAS,8165652110,4863.96,1.63,1.28,0.26,1.15,4.6,0.09
41,SESAGOA,Sesa Goa Ltd.,MINING,859702559,13028.45,4.36,1.52,0.42,-0.31,3.28,0.08
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,1606.5,0.54,1.19,0.53,0.01,1.82,0.09
43,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,18971968540,942.56,0.32,1.06,0.44,0.61,2.5,0.16
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1235089890,2280.81,0.76,1.05,0.35,0.68,2.24,0.08
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,5624.51,1.88,0.87,0.22,0.13,0.93,0.14
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,1244870790,4949.93,1.66,0.61,0.18,-0.2,1.69,0.13
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7002.29,2.34,0.78,0.27,0.3,2.37,0.09
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,879127136,5828.57,1.95,0.95,0.25,0.07,2.23,0.1
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,11203.56,3.75,1.08,0.37,0.32,1.12,0.09
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,484483733,8640.4,2.89,0.63,0.12,0.37,2.18,0.09
,,,Total,,299037.72,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2009 to 30-Jun-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jun-2010 to 30-Jun-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Jun-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
