Annexure II- S&P CNX Nifty Index : June 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8757.4,0.57,0.77,0.19,0.02,0.56,0.06
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8869.95,0.58,0.81,0.32,0.33,1.25,0.06
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3048869622,9383,0.61,0.66,0.20,0.26,1.6,0.11
4,AXISBANK,Axis Bank Ltd.,BANKS,4069409790,31074.17,2.02,1.16,0.49,0.05,1.69,0.07
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,38865.65,2.53,0.76,0.42,0.21,1.24,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8563.61,0.56,0.24,0.02,0.66,3.66,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,32107.26,2.09,0.65,0.12,0.03,2.47,0.07
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18972134200,13071.96,0.85,0.98,0.44,0.07,1.57,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,17176.68,1.12,0.41,0.09,0.28,1.16,0.08
10,DLF,DLF Ltd.,CONSTRUCTION,3394788440,10466.13,0.68,1.68,0.56,0.21,2.1,0.07
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,20990.32,1.37,0.58,0.15,0.14,1.1,0.08
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1354998640,7881.86,0.51,1.16,0.31,-0.2,1.91,0.08
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4584990600,67102.94,4.36,0.73,0.44,0.08,1.31,0.06
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18424.3,1.2,0.73,0.24,0.26,1.45,0.06
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913476324,18780.31,1.22,1.81,0.58,-0.14,2.79,0.09
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2181686781,27997.43,1.82,0.45,0.11,0.56,1.46,0.06
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,289448828,75314.2,4.9,1.04,0.50,0.26,1.51,0.06
18,ITC,I T C Ltd.,CIGARETTES,3818176790,79772.56,5.19,0.63,0.23,0.36,1.48,0.06
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11148075420,96062.97,6.25,1.51,0.71,-0.02,1.97,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33000128930,4682.95,0.3,0.87,0.20,0.77,2.77,0.09
