Annexure II- S&P CNX Nifty Index : March 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for March 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 8,424 ",0.55%,0.81 ,0.38 ,1.56 ,4.46 ,0.06
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,448,660"," 9,605 ",0.63%,0.80 ,0.38 ,1.51 ,3.03 ,0.06
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,047,422,760"," 9,783 ",0.64%,0.76 ,0.32 ,1.67 ,12.06 ,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,045,188,410"," 28,836 ",1.89%,1.18 ,0.56 ,1.55 ,3.89 ,0.06
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,972,551,960"," 38,170 ",2.50%,0.96 ,0.35 ,1.75 ,11.88 ,0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 37,775 ",2.48%,0.93 ,0.58 ,1.14 ,1.76 ,0.05
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 6,694 ",0.44%,0.45 ,0.12 ,1.64 ,(8.14),0.07
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,967,726,520"," 13,149 ",0.86%,0.94 ,0.46 ,1.74 ,14.88 ,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 17,169 ",1.13%,0.51 ,0.20 ,1.53 ,7.02 ,0.08
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,698,660"," 11,195 ",0.73%,1.64 ,0.56 ,1.92 ,3.50 ,0.06
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 18,446 ",1.21%,0.66 ,0.31 ,1.36 ,2.96 ,0.06
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,820,010"," 19,226 ",1.26%,0.80 ,0.41 ,0.90 ,4.39 ,0.06
