CNX NIFTY JUNIOR INDEX : May 2010,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,532479509,7457.76,2.61,0.82,0.28,2.17,-0.15,0.12
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030067680,4006.68,1.4,1.01,0.38,2.04,-0.61,0.15
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3205.4,1.12,0.91,0.42,2.06,0.16,0.1
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3935.54,1.37,1.06,0.34,2.57,0.06,0.11
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,9898.82,3.46,0.46,0.18,1.58,0.03,0.14
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,1446835100,15357.1,5.37,0.68,0.23,1.64,0.27,0.09
7,BANKBARODA,Bank of Baroda,BANKS,3642664000,11958.69,4.18,0.77,0.35,1.92,0.14,0.09
8,BANKINDIA,Bank of India,BANKS,5251755000,6151.12,2.15,0.97,0.35,2,-0.66,0.11
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3318.98,1.16,0.65,0.23,1.38,-0.26,0.12
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3504.07,1.22,1.13,0.31,2.77,-0.09,0.14
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2158.23,0.75,1,0.35,1.53,-0.12,0.11
12,CANBK,Canara Bank,BANKS,4100000000,4501.76,1.57,0.98,0.4,1.92,-0.21,0.1
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5048.05,1.76,0.45,0.18,1.66,0.11,0.11
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6177.57,2.16,0.36,0.11,1.89,-0.01,0.2
15,CORPBANK,Corporation Bank,BANKS,1434400000,1282.17,0.45,0.65,0.23,2.08,0,0.14
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,9112.21,3.18,0.84,0.29,2.45,-0.4,0.14
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,5454.44,1.91,0.66,0.22,1.67,-0.07,0.14
18,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,844226925,17594.1,6.15,0.45,0.12,2.06,0.54,0.1
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,5911.93,2.07,0.76,0.33,2.66,0.83,0.13
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8808.18,3.08,0.27,0.09,2.3,0.49,0.15
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,269861353,3784.52,1.32,0.95,0.28,1.74,0.05,0.1
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,5661.76,1.98,1.2,0.06,2.51,-0.49,0.12
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6020.24,2.1,0.39,0.08,1.41,0.69,0.1
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,3588426760,3959.78,1.38,1.82,0.6,3.61,-0.78,0.1
