Annexure II- S&P CNX Nifty Index : May 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8717.82,0.19,0.86,0.24,5.42,0.52,0.07
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8268.41,0.09,0.92,0.35,1.58,-0.46,0.07
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3048338372,8887.39,0.19,0.79,0.26,2.53,-0.47,0.1
4,AXISBANK,Axis Bank Ltd.,BANKS,4051741190,30688.98,3.31,1.15,0.45,2.28,-0.12,0.07
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,37186.01,4.01,0.79,0.42,1.19,-0.27,0.07
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,7509.23,0.81,0.25,0.03,1.56,0.57,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,32119.48,1.73,0.6,0.12,2.4,-0.57,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18971635170,12916.69,1.39,1.06,0.43,2.43,-0.21,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16187.18,0.35,0.43,0.1,1.86,-0.33,0.08
10,DLF,DLF Ltd.,CONSTRUCTION,3394788440,10032.83,0.22,1.74,0.57,2.87,-0.51,0.08
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,20377.19,2.2,0.61,0.18,1.36,0.27,0.08
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1353821440,8268.6,0.18,1.2,0.33,2.61,-0.11,0.1
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4577432720,65925.83,7.1,0.68,0.38,1.74,-0.26,0.09
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17425.09,0.38,0.64,0.2,0.97,0.06,0.07
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913462442,19527.48,0.21,1.74,0.54,3.41,-0.76,0.09
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2181686781,24821.49,0.27,0.43,0.11,1.45,-0.04,0.08
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,287327776,70840.35,0.76,0.96,0.44,1.49,-0.03,0.07
18,ITC,I T C Ltd.,CIGARETTES,3818176790,73961.66,0.8,0.67,0.24,1.8,0.32,0.08
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11145618140,96777.4,10.43,1.4,0.64,2.54,-0.4,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,32998377920,3984.44,0.43,0.9,0.23,3.01,-0.86,0.1
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869125960,128046.5,6.9,0.65,0.31,1.46,-0.13,0.07
