Annexure II- S&P CNX Nifty Junior Index : Nov 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1155415465,16767,4.93,1.07,0.24,4.8,-5,0.16
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030096200,4159,1.22,1.01,0.31,1.67,-8.55,0.13
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3708,1.09,1.15,0.36,1.82,-11.45,0.12
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4672,1.37,1.11,0.31,2.1,-5.47,0.14
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,12192,3.58,0.45,0.10,1.78,-1.45,0.12
6,BANKBARODA,Bank of Baroda,BANKS,3642664000,15771,4.63,0.82,0.27,1.83,-7.58,0.13
7,BANKINDIA,Bank of India,BANKS,5251755000,8729,2.56,1.14,0.33,3.22,-3.85,0.11
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3305,0.97,0.64,0.19,1.16,4.84,0.12
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,5040,1.48,1.23,0.43,1.38,-0.94,0.13
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2713,0.8,0.89,0.22,1.92,-5.16,0.11
11,CANBK,Canara Bank,BANKS,4100000000,8157,2.4,1.23,0.39,3.24,2.77,0.1
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5904,1.73,0.58,0.15,2.66,0.66,0.1
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6115,1.8,0.58,0.15,1.88,-3.15,0.18
