Annexure II- S&P CNX Nifty Index : Nov 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9938,0.57,0.66,0.18,1.78,-2.97,0.1
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3052687722,11529,0.66,0.88,0.21,2.57,-1.3,0.11
3,AXISBANK,Axis Bank Ltd.,BANKS,4093659750,34967,2.01,1.18,0.47,2,-9.7,0.09
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,21323,1.23,0.67,0.16,1.44,3,0.08
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,34825,2.01,0.79,0.39,1.66,-10.6,0.07
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8723,0.5,0.47,0.05,1.91,-10.57,0.09
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,43944,2.53,0.75,0.13,2.33,7.41,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18974549430,13576,0.78,1.02,0.35,2.3,-2.69,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,17420,1,0.46,0.09,2.03,-3.73,0.09
10,DLF,DLF Ltd.,CONSTRUCTION,3394944736,11125,0.64,1.56,0.49,2.98,-15.1,0.1
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846007875,22465,1.29,0.40,0.07,0.83,6.42,0.07
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,22077,1.27,0.60,0.16,0.96,-0.15,0.08
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1364564696,9587,0.55,0.96,0.25,1.72,-0.99,0.08
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4631855440,80996,4.67,0.87,0.42,1.73,-2.72,0.1
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18921,1.09,0.51,0.10,1.46,7.85,0.08
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913538217,26846,1.55,1.81,0.56,2.64,-3.01,0.1
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182119802,31227,1.8,0.50,0.12,1.38,1.26,0.08
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2923094230,88889,5.12,1.06,0.46,1.77,-3.38,0.1
19,ITC,I T C Ltd.,CIGARETTES,7691458190,90659,5.22,0.66,0.23,1.41,0.03,0.08
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11478647930,131098,7.55,1.48,0.63,2.21,-7.3,0.1
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870173370,147043,8.47,0.79,0.37,1.36,1.64,0.06
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14600772240,19831,1.14,1.28,0.44,2.46,-7.73,0.1
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,12664,0.73,1.60,0.49,3.31,-11.6,0.1
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,24722,1.42,1.09,0.43,1.58,-9.78,0.09
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3667776730,16701,0.96,1.16,0.41,1.87,1.83,0.13
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1209896180,103459,5.96,0.97,0.44,1.72,-6.43,0.08
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2982935375,33865,1.95,1.20,0.37,2.44,-0.16,0.09
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,18812,1.08,0.66,0.17,1.54,-5.72,0.09
29,NTPC,NTPC Ltd.,POWER,82454644000,23517,1.35,0.61,0.27,1.11,-4.76,0.07
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,41998,2.42,0.63,0.19,1.49,-5.61,0.08
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,5450,0.31,0.49,0.16,1.91,-5.66,0.07
32,PNB,Punjab National Bank,BANKS,3153025000,16215,0.93,0.84,0.36,2.26,-7.03,0.1
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2105203465,8710,0.5,0.88,0.26,1.92,-4.95,0.09
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,7347,0.42,1.22,0.44,1.94,-20.99,0.08
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8782,0.51,1.11,0.23,2.17,-28.19,0.1
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32884914220,166864,9.61,1.11,0.53,1.76,-9.84,0.07
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,11838,0.68,1.13,0.37,2.15,-19.52,0.09
38,RPOWER,Reliance Power Ltd.,POWER,28050826060,8798,0.51,1.04,0.27,3.27,1.2,0.09
39,SESAGOA,Sesa Goa Ltd.,MINING,859702559,11711,0.67,1.46,0.35,2.08,-6.2,0.08
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,11637,0.67,0.91,0.31,1.52,-7.08,0.08
41,SBIN,State Bank of India,BANKS,6349981150,77136,4.44,1.07,0.41,2.74,-6.45,0.06
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,10347,0.6,1.43,0.49,2.14,-8.61,0.09
43,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,25587,1.47,1.62,0.52,2.18,-5.62,0.1
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,16817,0.97,0.48,0.11,1.46,2.15,0.12
45,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3490746130,3489,0.2,1.20,0.28,2.95,-18.31,0.1
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,54732,3.15,0.81,0.25,1.59,2.15,0.08
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5148022840,40039,2.31,1.48,0.41,2.38,5.5,0.08
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,20931,1.21,0.71,0.29,1.53,-7.92,0.09
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9023890170,35632,2.05,1.56,0.53,1.89,-1.2,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4903991602,21166,1.22,0.94,0.32,1.86,-0.97,0.09
,,,,Total,1735975,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2009 to 30-Nov-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2010 to 30-Nov-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Nov-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
