Annexure II- CNX Nifty Jr. Index : Oct 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1155415465,17649,4.91,0.84,0.2,1.67,4.44,0.11
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030096200,4548,1.27,1.05,0.33,1.21,-6.51,0.12
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,4188,1.17,1.16,0.35,2.43,7.77,0.11
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4943,1.38,1.17,0.33,2.11,1.07,0.09
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,12731,3.54,0.38,0.07,1.72,0.87,0.09
6,BANKBARODA,Bank of Baroda,BANKS,3642664000,17065,4.75,0.76,0.24,1.31,14.31,0.11
7,BANKINDIA,Bank of India,BANKS,5251755000,9079,2.53,0.99,0.28,2.43,-7.34,0.1
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3153,0.88,0.68,0.19,1.98,-7.81,0.1
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,5087,1.42,1.36,0.45,1.62,1.62,0.11
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,3034,0.84,0.94,0.24,3.51,12.41,0.1
11,CANBK,Canara Bank,BANKS,4100000000,7937,2.21,1.16,0.38,2.63,23.02,0.09
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5865,1.63,0.39,0.09,1.1,-0.71,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6315,1.76,0.5,0.12,1.09,0.55,0.16
14,CORPBANK,Corporation Bank,BANKS,1434400000,1767,0.49,0.83,0.21,1.93,7.51,0.1
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,12049,3.35,0.97,0.24,2,0.05,0.12
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,7710,2.15,0.42,0.07,1.52,6.7,0.1
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7111,1.98,0.73,0.12,2.02,-5.58,0.14
