Annexure II- S&P CNX Nifty Index : Oct 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9953,0.56,0.72,0.21,1.74,-1.86,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3051235022,11456,0.64,0.88,0.23,1.73,-1.27,0.11
3,AXISBANK,Axis Bank Ltd.,BANKS,4084649150,37416,2.1,1.14,0.46,1.73,-6.59,0.07
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,20989,1.18,0.61,0.14,1.08,-2.36,0.08
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,38642,2.17,0.69,0.34,1.47,-5.6,0.06
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,9433,0.53,0.37,0.03,1.76,-3.38,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,39734,2.23,0.64,0.1,1.97,-10.81,0.07
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18974549430,13821,0.78,1.01,0.39,1.23,-5.17,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,17910,1.01,0.39,0.07,1.31,9,0.07
10,DLF,DLF Ltd.,CONSTRUCTION,3394891336,12717,0.71,1.6,0.51,1.79,-9.64,0.07
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846007875,20856,1.17,0.42,0.08,2.07,11.79,0.07
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,22079,1.24,0.67,0.19,1.14,1.38,0.08
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1359997184,9524,0.54,1.05,0.28,1.72,-6.29,0.07
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4612316900,80304,4.52,0.84,0.43,1.12,-8.83,0.07
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17800,1,0.59,0.13,1.44,0.92,0.06
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913513834,27359,1.54,1.92,0.6,2.28,3.01,0.09
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182119802,30855,1.73,0.49,0.12,1.73,-4.84,0.08
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2918256780,88835,4.99,1.03,0.47,1.93,-7.49,0.09
19,ITC,I T C Ltd.,CIGARETTES,7665465320,89763,5.05,0.66,0.23,1.55,-4.17,0.09
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11474876390,133453,7.5,1.47,0.64,1.89,2.45,0.08
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869505505,143181,8.05,0.81,0.38,1.38,-4.21,0.06
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14599962240,22871,1.29,1.22,0.42,1.91,-3.29,0.08
