Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sep. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,634910996,11018,3.2,1.84,0.72,1.96,-1.81,0.09
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1030067680,4766,1.39,1.51,0.64,1.83,5.98,0.1
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3753,1.09,1.28,0.64,1.54,2.9,0.09
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,4702,1.37,0.63,0.27,1.77,-3.55,0.09
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,12615,3.67,0.93,0.52,1.37,-2.76,0.08
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,20419,5.94,0.8,0.4,1.53,6.93,0.09
7,BANKBARODA,Bank of Baroda,BANKS,3642664000,14681,4.27,0.59,0.39,1.16,6.59,0.09
8,BANKINDIA,Bank of India,BANKS,5251755000,9655,2.81,1.07,0.46,1.8,14.58,0.08
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3359,0.98,1.26,0.7,1.39,2.61,0.1
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4890,1.42,0.43,0.28,1.16,1.8,0.1
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2648,0.77,0.53,0.34,1.22,5.3,0.08
12,CANBK,Canara Bank,BANKS,4100000000,6414,1.86,0.78,0.4,1.52,12.04,0.09
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5806,1.69,0.4,0.2,1.53,5.41,0.09
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,6237,1.81,0.45,0.45,0.76,-1.62,0.13
15,CORPBANK,Corporation Bank,BANKS,1434400000,1641,0.48,1.1,0.45,1.91,18.02,0.1
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,11850,3.45,0.16,0.1,1.25,4.25,0.12
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,7139,2.08,0.73,0.62,0.9,0.31,0.11
18,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,845721315,18112,5.27,0.91,0.55,1.27,5.35,0.09
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6713,1.95,1.32,0.51,1.98,13.09,0.1
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9234,2.68,0.65,0.37,1.36,17.53,0.11
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270017853,4180,1.22,0.76,0.37,1.57,3.59,0.09
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,6497,1.89,0.88,0.65,1.05,-0.7,0.09
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,8396,2.44,0.91,0.41,1.7,-5.1,0.08
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,3718426760,4995,1.45,1.68,0.63,2.07,0.02,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,9843662030,7101,2.06,0.96,0.35,2.1,22.61,0.09
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3863,1.12,0.87,0.5,1.34,2.95,0.08
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803581478,5354,1.56,1.56,0.61,1.98,-1.84,0.1
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,4978,1.45,1.1,0.73,1.16,-5.46,0.09
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2787,0.81,0.72,0.29,1.94,5.18,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,13721,3.99,1.88,0.75,1.93,13.66,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,8655,2.52,1.07,0.44,1.86,19.8,0.08
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,891145240,9145,2.66,1.11,0.45,1.9,8.77,0.1
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1530,0.44,0.88,0.55,1.23,-0.13,0.08
34,MPHASIS,Mphasis Ltd.,COMPUTERS - SOFTWARE,2098652410,4341,1.26,0.82,0.44,1.43,-0.85,0.08
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,7559,2.2,1.51,0.61,1.89,7.92,0.16
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419417635,3664,1.07,0.8,0.38,1.64,8.41,0.1
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,261728098,1959,0.57,1.17,0.5,1.82,-9.81,0.07
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,4030,1.17,0.13,0.09,1.13,-1.56,0.1
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2634,0.77,0.23,0.1,1.78,17.89,0.09
40,RNRL,Reliance Natural Resources Ltd.,GAS,8165652110,2851,0.83,1.58,0.86,1.41,1.31,0.09
41,SESAGOA,Sesa Goa Ltd.,MINING,859702559,12491,3.63,1.25,0.63,1.54,0.74,0.06
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,2005,0.58,1.01,0.51,1.52,3.76,0.09
43,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,18971968540,934,0.27,0.98,0.59,1.29,-3.28,0.13
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1246404960,2456,0.71,0.33,0.09,2.68,16.26,0.08
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,5483,1.59,0.38,0.31,0.95,-3.74,0.12
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740205480,10456,3.04,1.16,0.38,2.37,16.79,0.12
47,UNIONBANK,Union Bank of India,BANKS,5051179000,8755,2.55,0.84,0.43,1.49,15.52,0.09
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,881575654,5703,1.66,1.32,0.83,1.23,-3.96,0.12
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,13453,3.91,2.09,0.67,2.41,1.33,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,484483733,8317,2.42,0.49,0.26,1.43,4.6,0.07
,,,,Total,343945,,,,,,
