Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sep. 2010
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,4884,0.28,-0.02,-0.01,1.55,18.3,0.08
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9999,0.57,0.55,0.21,1.98,13.73,0.07
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3050728272,11495,0.66,0.57,0.19,2.3,11.99,0.08
4,AXISBANK,Axis Bank Ltd.,BANKS,4084649150,39083,2.23,1.27,0.67,1.44,15.48,0.06
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,39163,2.23,0.49,0.42,0.87,2.99,0.06
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,9685,0.55,1.19,0.57,1.6,-1.54,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,44694,2.55,1.23,0.53,1.78,11.9,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18974549430,14428,0.82,0.68,0.43,1.2,0.74,0.06
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16357,0.93,0.67,0.45,1.14,6.3,0.06
10,DLF,DLF Ltd.,CONSTRUCTION,3394891336,13714,0.78,1.33,0.55,1.83,25.25,0.07
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,21451,1.22,1.14,0.59,1.48,3.35,0.07
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1358608712,9913,0.57,0.81,0.38,1.6,9.99,0.08
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4612316900,87681,5,0.66,0.42,1.2,16.64,0.06
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17731,1.01,0.26,0.12,1.72,3.71,0.07
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913493834,25610,1.46,2.38,0.8,2.27,18.42,0.08
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182319802,32360,1.85,0.3,0.17,1.38,16.84,0.07
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2916571550,94658,5.4,1.22,0.51,1.81,16.94,0.08
18,ITC,I T C Ltd.,CIGARETTES,7659416160,93412,5.33,0.99,0.46,1.64,9.29,0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11468413640,127638,7.28,1.67,0.84,1.52,13.83,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33006062550,5815,0.33,0.01,0,1.49,2.94,0.09
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869505505,146978,8.38,1.1,0.66,1.26,12.4,0.05
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14597996190,23176,1.32,1.12,0.49,1.74,13.9,0.08
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,13878,0.79,1.21,0.5,1.82,10.77,0.08
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,27462,1.57,0.59,0.4,1.13,3.36,0.06
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3660115300,17297,0.99,1.14,0.47,1.84,14.97,0.08
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1209896180,108883,6.21,0.54,0.41,1.01,13.21,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2894243935,29496,1.68,0.38,0.26,1.12,10.34,0.07
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,19062,1.09,0.58,0.34,1.3,14.58,0.06
29,NTPC,NTPC Ltd.,POWER,82454644000,27728,1.58,0.4,0.28,1.08,10.72,0.07
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,47353,2.7,0.54,0.4,1.03,4.97,0.07
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,6112,0.35,0.14,0.11,0.97,-2.11,0.08
32,PNB,Punjab National Bank,BANKS,3153025000,17207,0.98,0.57,0.47,0.91,9.57,0.07
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2103770785,8452,0.48,0.46,0.18,1.98,13.34,0.06
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,8815,0.5,1.11,0.53,1.59,2.9,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,11226,0.64,1.35,0.47,2.17,7.98,0.08
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32875652570,167019,9.53,1.75,0.84,1.59,7.4,0.05
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,14993,0.86,1.46,0.66,1.67,6.71,0.07
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,5866,0.33,1.01,0.63,1.22,5.58,0.08
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,12444,0.71,0.49,0.29,1.28,18.89,0.07
40,SBIN,State Bank of India,BANKS,6349981150,83514,4.76,0.72,0.34,1.61,17.14,0.05
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,12013,0.69,0.81,0.64,0.97,9.86,0.07
42,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,26484,1.51,1.8,0.51,2.71,10.53,0.08
