Annexure II-  CNX Nifty Jr. Index : Apr 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Apr. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr. 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,14903.85,4.42,0.95,0.24,0.95,-6.24,0.14
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1135096750,4819.15,1.43,0.9,0.36,1.15,6.5,0.1
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3265.32,0.97,1.08,0.37,1.66,-7.77,0.09
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3456.24,1.03,1.25,0.37,1.78,-6.77,0.09
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,12685.7,3.76,0.5,0.14,1.14,9.85,0.08
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,15344.23,4.55,0.86,0.35,1.66,-5.49,0.1
7,BANKINDIA,Bank of India,BANKS,5464803700,8875.28,2.63,1.26,0.41,1.55,-3.84,0.09
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3536.02,1.05,0.48,0.17,1.27,8.78,0.1
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4687.5,1.39,1.15,0.46,1.52,0.06,0.12
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2583.06,0.77,1.02,0.34,1.8,6.81,0.08
11,CANBK,Canara Bank,BANKS,4430000000,9035.45,2.68,1.15,0.37,1.11,0.89,0.07
12,COALINDIA,Coal India Ltd.,MINING,63163644000,24036.92,7.13,0.21,0.03,1.64,9.83,0.07
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6026.27,1.79,0.49,0.14,2.31,11.09,0.1
