Annexure II- S&P CNX Nifty Index : Apr  2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,10820.52,0.63,0.63,0.19,1.1,3.56,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3060356372,13012.82,0.75,0.93,0.23,2.02,7.33,0.08
3,AXISBANK,Axis Bank Ltd.,BANKS,4105458430,33093.94,1.91,1.33,0.55,1.97,-8.35,0.07
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,19935.36,1.15,0.65,0.2,1.12,0.73,0.07
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,31611.42,1.83,0.8,0.37,1.79,-3.01,0.06
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8134.63,0.47,0.68,0.12,1.52,2.89,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,45899.29,2.65,0.73,0.16,1.19,6.34,0.06
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19019171010,15160.33,0.88,0.78,0.27,1.64,-0.54,0.05
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,15705.12,0.91,0.48,0.13,1.14,-3.78,0.07
10,DLF,DLF Ltd.,CONSTRUCTION,3395094632,8081.89,0.47,1.52,0.52,2.05,-17.04,0.07
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846168735,20934.24,1.21,0.52,0.16,1.17,1.52,0.08
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,21356.41,1.23,0.58,0.2,1.33,2.47,0.07
13,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916987780,15575.49,0.9,0.5,0.08,1.48,-0.18,0.08
14,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1371455248,12576.99,0.73,1.03,0.36,2.99,9.05,0.07
15,HDFCBANK,HDFC Bank Ltd.,BANKS,4652256840,81807.23,4.73,1.03,0.53,1.54,-2.14,0.05
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,16318.2,0.94,0.46,0.05,2.67,7.58,0.06
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914397914,27763.32,1.61,1.57,0.52,1.98,3.3,0.06
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2159436598,29550.37,1.71,0.56,0.19,1.63,-0.66,0.06
19,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2933773380,91865.68,5.31,1.13,0.5,1.8,0.8,0.06
20,ITC,I T C Ltd.,CIGARETTES,7738144280,102233.7,5.91,0.74,0.31,0.99,5.63,0.06
21,ICICIBANK,ICICI Bank Ltd.,BANKS,11514594300,128324.4,7.42,1.45,0.64,1.23,-0.16,0.06
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870757795,140099.51,8.1,0.86,0.4,2.44,-10.34,0.04
23,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14609475480,15441.65,0.89,1.37,0.49,2.16,-6.02,0.06
24,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,10639.65,0.62,1.7,0.49,2.83,-0.22,0.07
25,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934269031,25432.14,1.47,1.09,0.48,1.6,-6.1,0.06
26,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3683233270,15196.87,0.88,1.17,0.44,1.89,-6.06,0.08
27,LT,Larsen & Toubro Ltd.,ENGINEERING,1217704252,85253.44,4.93,1.1,0.5,1.68,-3.41,0.07
28,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069700545,35868.3,2.07,1.16,0.4,2.03,8,0.07
29,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,17431.41,1.01,0.8,0.26,1.65,4.4,0.07
30,NTPC,NTPC Ltd.,POWER,82454644000,23299.85,1.35,0.68,0.32,1.29,-5.59,0.07
31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,41522.34,2.4,0.66,0.2,1.68,5.66,0.06
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14801.15,0.86,0.5,0.22,0.85,2.6,0.07
33,PNB,Punjab National Bank,BANKS,3153025000,15769.07,0.91,0.84,0.37,1.06,-2.28,0.08
34,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2106261540,6974.1,0.4,0.86,0.28,1.48,2.69,0.07
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,6339.98,0.37,1.28,0.35,1.9,-3.49,0.07
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,6632.98,0.38,1.18,0.21,2.18,-7.11,0.08
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32733726620,165825.12,9.59,0.96,0.49,1.31,-6.23,0.05
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2674202620,9226.24,0.53,1.23,0.25,1.39,-4.34,0.08
39,RPOWER,Reliance Power Ltd.,POWER,28050826060,7177.84,0.41,1.05,0.27,1.54,0.23,0.09
40,SESAGOA,Sesa Goa Ltd.,MINING,859702559,11946.68,0.69,1.31,0.32,2.59,7.74,0.05
