Annexure II-  CNX Nifty Jr. Index : Aug 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,12626.3564,4.215456145,1.150423906,0.25,3.238629942,-9.573014518,0.16
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135097290,4965.7258,1.657865395,0.925734327,0.38,2.528304858,-3.771704349,0.12
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,3059.6887,1.021512709,1.106417633,0.45,2.007333859,-3.698224852,0.11
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3241.0358,1.082057551,1.123269375,0.30,2.630754472,-2.739726027,0.14
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14925.501,4.983052348,0.538118516,0.18,1.449493635,4.851627313,0.1
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,12389.465,4.136367192,0.975665911,0.45,2.0158359,-16.21052632,0.13
7,BANKINDIA,Bank of India,BANKS,5464803700,5767.6738,1.925605075,1.288112154,0.42,2.202043512,-19.94301994,0.13
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2976.8913,0.993869833,0.405425021,0.12,1.651744226,-12.17455706,0.15
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3749.3287,1.251757055,1.067891834,0.40,2.935217023,-15.82374319,0.18
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2292.2127,0.765281908,1.057188807,0.36,1.667548612,-8.992162794,0.1
11,CANBK,Canara Bank,BANKS,4430000000,6103.9532,2.037875869,1.230780262,0.38,2.275145324,-6.994225951,0.11
12,COALINDIA,Coal India Ltd.,MINING,63163644000,23724.2647,7.92062209,0.483084749,0.09,1.958783845,-3.258209916,0.08
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6337.4625,2.115835669,0.448671058,0.12,1.630230102,-2.546367456,0.13
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4483.7732,1.496959906,0.519063415,0.14,1.482403899,-14.72829311,0.19
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,5699.5078,1.902847062,0.910852154,0.19,3.002864657,-11.24225435,0.14
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,5743.5606,1.917554602,0.546636253,0.19,1.448914301,-7.651509243,0.13
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6865.0187,2.291966451,0.660728285,0.12,2.089730867,-3.516129032,0.13
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6353.66,2.121243393,1.144351082,0.42,2.841611133,-12.97924727,0.15
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3000.9168,1.001891026,1.291477963,0.40,2.299425448,-12.07177814,0.16
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8856.8594,2.956965668,0.278131607,0.07,1.258006115,-9.608085633,0.15
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270331753,4557.3938,1.521539001,0.882594531,0.17,2.14672626,-1.316386745,0.11
22,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6182.4819,2.064093591,0.715195191,0.18,1.661818157,-2.684039088,0.1
23,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,2604.6006,0.869576246,1.959157801,0.50,4.203068684,-28.36605891,0.12
24,IDBI,IDBI Bank Ltd.,BANKS,9845646550,3793.5735,1.266528697,1.426124542,0.59,2.211961789,-14.17475728,0.1
25,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,2548.1164,0.850718338,1.739015423,0.56,3.885920178,-16.40798226,0.11
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3636.7737,1.214179258,0.940800651,0.36,1.73283474,-5.131578947,0.12
27,IOB,Indian Overseas Bank ,BANKS,6187493430,2323.2021,0.77562808,1.317452325,0.46,1.691577972,-20.60627932,0.14
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4659689850,8783.7247,2.932548796,1.214473135,0.37,2.389485854,-9.07079646,0.15
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7188.3656,2.399919579,1.6427281,0.49,3.954714684,-12.25255531,0.09
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6375.3354,2.128479978,1.570409979,0.41,2.100906197,-0.37655919,0.09
