Annexure II-  S&P CNX Nifty  Index : Aug 2011,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Equity Capital (Rs.),FF MCAP^  August 30 2011 (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost August. 2011,
1,ACC,1877452660,9358,17.69,0.65,0.21,1.11,-0.87,0.09,
2,AMBUJACEM,3063982222,9998,18.90,0.84,0.21,1.38,2.86,0.09,
3,AXISBANK,4120335430,27781,52.52,1.38,0.56,2.63,-19.79,0.09,
4,BAJAJ-AUTO,2893670200,21117,39.92,0.77,0.27,2.12,7.07,0.12,
5,BHARTIARTL,18987650480,48725,92.12,0.74,0.23,1.49,-7.46,0.09,
6,BHEL,4895200000,27942,52.83,0.85,0.35,2.00,-3.87,0.07,
7,BPCL,3615421240,8717,16.48,0.69,0.21,1.24,2.55,0.08,
8,CAIRN,19022929240,10157,19.20,0.66,0.22,2.55,-9.49,0.11,
9,CIPLA,1605842714,14244,26.93,0.66,0.24,1.62,-8.45,0.09,
10,DLF,3395150248,7138,13.49,1.36,0.39,3.80,-14.83,0.10,
11,DRREDDY,847379160,18858,35.65,0.59,0.23,1.60,-5.68,0.11,
12,GAIL,12684774000,18443,34.87,0.57,0.20,1.48,-10.95,0.11,
13,GRASIM,917018380,13868,26.22,0.63,0.25,1.53,-0.50,0.11,
14,HCLTECH,1377377048,10083,19.06,1.09,0.43,3.35,-15.58,0.11,
15,HDFC,2940499850,87799,166.00,1.14,0.51,2.06,-3.82,0.09,
16,HDFCBANK,4667711360,84509,159.78,1.05,0.57,1.95,-3.05,0.11,
17,HEROMOTOCO,399375000,19579,37.02,0.44,0.05,1.74,14.94,0.07,
18,HINDALCO,1914419297,19368,36.62,1.40,0.45,3.09,-10.60,0.09,
19,HINDUNILVR,2160683560,32862,62.13,0.50,0.16,0.75,-1.11,0.07,
20,ICICIBANK,11519613370,100595,190.19,1.36,0.63,2.19,-15.77,0.08,
21,IDFC,14630078390,13464,25.46,1.47,0.52,2.90,-9.60,0.09,
22,INFY,2870938460,112954,213.56,0.93,0.43,2.83,-15.60,0.07,
23,ITC,7748944660,106650,201.64,0.71,0.29,1.63,-4.01,0.08,
24,JINDALSTEL,934509595,20253,38.29,1.05,0.49,2.85,-11.39,0.10,
25,JPASSOCIAT,4252866364,6935,13.11,1.77,0.50,3.97,-7.88,0.09,
26,KOTAKBANK,3689449755,16347,30.91,1.16,0.45,2.22,-0.53,0.11,
27,LT,1221099382,86253,163.07,1.17,0.54,2.25,-6.76,0.09,
28,M&M,3069874195,34054,64.38,1.14,0.40,2.34,2.41,0.08,
29,MARUTI,1444550300,14440,27.30,0.78,0.30,1.91,-9.54,0.08,
30,NTPC,82454644000,21638,40.91,0.73,0.32,1.55,-3.86,0.09,
31,ONGC,42777450600,35519,67.15,0.56,0.16,1.82,-2.21,0.08,
32,PNB,3168121570,12369,23.38,0.93,0.42,1.79,-17.29,0.11,
33,POWERGRID,46297253530,14185,26.82,0.54,0.24,1.55,-4.66,0.08,
34,RANBAXY,2107534630,7214,13.64,0.85,0.25,2.04,-12.43,0.09,
35,RCOM,10320134405,5277,9.98,1.36,0.26,4.32,-21.66,0.11,
36,RELCAPITAL,2456328000,4328,8.18,1.42,0.38,4.31,-33.25,0.10,
37,RELIANCE,32742743160,132000,249.57,1.01,0.52,2.14,-5.48,0.09,
38,RELINFRA,2653702620,6010,11.36,1.21,0.24,3.98,-19.31,0.11,
39,RPOWER,28051264660,4660,8.81,1.11,0.33,3.16,-24.21,0.10,
40,SAIL,41304005450,6320,11.95,1.11,0.38,3.20,-14.60,0.09,
41,SBIN,6349989910,50883,96.20,1.22,0.52,1.86,-15.82,0.06,
42,SESAGOA,869101423,9128,17.26,1.12,0.31,3.48,-14.91,0.09,
43,SIEMENS,680589800,7533,14.24,0.54,0.13,1.16,-4.21,0.09,
44,STER,3361568684,18128,34.27,1.24,0.43,2.18,-19.47,0.10,
45,SUNPHARMA,1035581955,18472,34.92,0.67,0.21,1.81,-5.13,0.08,
46,TATAMOTORS,5382725080,26036,49.23,1.38,0.44,3.39,-21.71,0.07,
47,TATAPOWER,2373072360,16908,31.97,0.64,0.25,2.18,-18.46,0.10,
48,TATASTEEL,9592144500,31190,58.97,1.22,0.55,2.91,-16.92,0.08,
49,TCS,1957220996,52892,100.00,1.05,0.42,3.29,-8.32,0.07,
50,WIPRO,4911647692,17046,32.23,0.88,0.38,2.14,-13.88,0.10,
,,Total,1500226,2836.39,,,,,0.09,
,,,,,,,,,,
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sept-2010 to 30-Aug-2011,,,,,,,,,,
,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2011 to 30-Aug-2011,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 30-Aug-2011,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
