Annexure II-  CNX Nifty Jr. Index : Dec. 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,7001.791,2.828657631,1.292945062,0.296482148,3.113159937,-2.587923026,0.18
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135098730,4007.1812,1.618863471,0.865734165,0.325236082,1.873383201,-17.48146496,0.15
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,1878.827,0.759028416,1.134483354,0.503910449,1.988061529,-19.72891566,0.13
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2973.6666,1.201333305,1.14828682,0.290660347,3.562926343,-7.505070994,0.14
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,11742.1359,4.743712333,0.526883547,0.187656101,1.578594955,-9.967527393,0.11
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,11195.614,4.522922632,1.050036588,0.424880738,2.338723963,-4.963576632,0.13
7,BANKINDIA,Bank of India,BANKS,5464803700,4969.9771,2.007823948,1.155108057,0.383351295,2.627969459,-18.60962567,0.13
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2607.4833,1.0533987,0.414853995,0.146157823,1.386155275,-10.34757494,0.15
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3400.6324,1.373823467,1.191482658,0.456433142,2.160908383,-2.814186584,0.15
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1899.4729,0.767369165,1.06245822,0.417688897,3.134754066,-14.05931273,0.11
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,6131.5636,2.477093956,0.294101518,0.093992191,1.165566724,-2.92488986,0.12
12,CANBK,Canara Bank,BANKS,4430000000,5212.3484,2.105739671,1.24160106,0.454288826,2.368274027,-15.44885177,0.12
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6600.6766,2.666611191,0.368195099,0.096165195,1.211183299,-1.088421788,0.12
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4025.7752,1.626375272,0.494401794,0.111104989,2.056765504,-7.072049621,0.2
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4716.6556,1.905484448,1.26006867,0.278027034,3.284676074,-0.355590676,0.14
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,4757.3563,1.921927147,0.596612952,0.185066509,1.524317547,-1.863267022,0.16
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1742047322,5423.0865,2.190875879,0.371918398,0.082011786,1.473190003,4.354669465,0.1
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,4822.2683,1.948150984,0.698979204,0.134821106,2.386585685,-9.750859107,0.16
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,5766.4045,2.329573118,1.220340398,0.47155411,2.63478776,-5.93492529,0.13
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2336.4476,0.943902829,1.371236441,0.380992882,3.129896627,1.941747573,0.18
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8127.911,3.283599507,0.192064626,0.039221711,1.004653264,1.463147462,0.15
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270412753,4104.389,1.658134507,0.669874479,0.110355437,2.559548392,-6.80952381,0.12
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4187.5989,1.691750523,0.699117513,0.157452101,3.004276139,-8.517179024,0.11
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4190039860,1359.7162,0.549312541,2.082943286,0.538828873,2.839436854,-11.45228216,0.11
25,IDBI,IDBI Bank Ltd.,BANKS,9845703710,2676.1156,1.081125503,1.397165901,0.616752463,2.225389347,-16.13770845,0.1
