Annexure II- S&P CNX Nifty Index : December  2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10609,0.76,0.66,0.55,1.91,-0.65,0.09
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3066027522,11690,0.83,0.83,0.49,2.56,4.61,0.11
3,AXISBANK,Axis Bank Ltd.,BANKS,4124910160,20928,1.49,1.35,0.76,2.64,-14.73,0.08
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,21357,1.52,0.76,0.56,1.34,-4.65,0.08
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,41309,2.94,0.74,0.52,2.56,-11.03,0.09
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,18870,1.34,0.92,0.60,2.49,-15.51,0.11
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,6174,0.44,0.61,0.41,2.47,-11.18,0.10
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19028751780,11450,0.81,0.80,0.55,2.26,4.25,0.09
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16233,1.16,0.47,0.42,0.99,-2.48,0.07
10,COALINDIA,Coal India Ltd.,MINING,63163644000,18990,1.35,0.56,0.35,2.03,-8.10,0.07
11,DLF,DLF Ltd.,CONSTRUCTION,3396321978,6653,0.47,1.43,0.66,2.77,-11.99,0.09
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847632430,19899,1.42,0.58,0.50,1.07,0.03,0.07
13,GAIL,GAIL (India) Ltd.,GAS,12684774000,17233,1.23,0.57,0.46,1.52,-2.04,0.09
14,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,917068920,15797,1.12,0.66,0.56,1.76,6.30,0.10
15,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1381119904,9572,0.68,1.10,0.65,2.00,1.08,0.08
16,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2947028520,86601,6.16,1.09,0.75,1.71,1.61,0.10
17,HDFCBANK,HDFC Bank Ltd.,BANKS,4678302940,76651,5.46,1.03,0.78,2.19,-3.54,0.11
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18180,1.29,0.54,0.35,2.03,-4.73,0.07
19,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914530981,14900,1.06,1.43,0.70,3.09,-5.77,0.09
20,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161025377,41805,2.98,0.39,0.33,1.23,2.58,0.07
21,ICICIBANK,ICICI Bank Ltd.,BANKS,11522580900,78889,5.61,1.44,0.84,3.05,-3.90,0.08
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14633270000,10832,0.77,1.38,0.72,2.56,-15.69,0.10
23,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871015410,133433,9.50,0.98,0.69,1.35,6.17,0.07
24,ITC,I T C Ltd.,CIGARETTES,7789453850,108124,7.70,0.68,0.59,1.16,0.30,0.07
25,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,17532,1.25,1.22,0.73,2.61,-9.97,0.09
26,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,5919,0.42,1.81,0.73,3.20,-15.62,0.10
27,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3694114475,15937,1.13,1.14,0.73,2.17,-7.75,0.11
28,LT,Larsen & Toubro Ltd.,ENGINEERING,1223689254,53448,3.80,1.14,0.71,2.39,-21.81,0.08
29,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,31321,2.23,1.10,0.66,2.32,-5.98,0.09
30,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,12148,0.86,0.74,0.53,1.86,-5.54,0.08
31,NTPC,NTPC Ltd.,POWER,82454644000,20558,1.46,0.82,0.63,2.34,-0.92,0.10
32,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,34615,2.46,0.57,0.41,1.37,-3.81,0.09
33,PNB,Punjab National Bank,BANKS,3168121570,10389,0.74,0.81,0.60,2.20,-11.48,0.09
34,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14171,1.01,0.57,0.56,1.88,1.01,0.08
35,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2109998620,6194,0.44,0.69,0.45,2.11,-6.84,0.08
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4647,0.33,1.47,0.59,3.68,-5.59,0.11
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32746231880,116912,8.32,1.15,0.78,2.47,-10.96,0.08
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2634702620,4633,0.33,1.25,0.53,2.12,-15.72,0.10
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,3897,0.28,1.13,0.64,2.21,-16.97,0.11
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,4774,0.34,1.23,0.67,2.90,1.62,0.09
41,SBIN,State Bank of India,BANKS,6349995950,41738,2.97,1.15,0.72,2.51,-8.14,0.06
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,6372,0.45,1.09,0.57,2.90,-10.95,0.11
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,5462,0.39,0.64,0.45,1.91,-6.81,0.11
44,STER,Sterlite Industries (India) Ltd.,METALS,3361568684,12593,0.90,1.44,0.76,2.79,-9.67,0.10
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,18699,1.33,0.62,0.47,1.23,-5.30,0.08
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383226160,31239,2.22,1.61,0.73,2.55,3.41,0.07
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,14120,1.00,0.75,0.52,3.56,-4.90,0.12
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,22287,1.59,1.24,0.77,2.67,-12.94,0.07
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,58886,4.19,1.02,0.68,1.42,4.04,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4915688640,20394,1.45,0.85,0.62,1.78,5.70,0.08
,,,,,1405066,100.00,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2011 to 30-Dec-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2011 to 30-Dec-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Dec-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
