Annexure II-  CNX Nifty Jr. Index : Feb 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Feb. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb. 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1155415465,15310.38,5.34,1.02,0.25,2.04,8.31,0.17
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1135096750,4300.72,1.5,0.97,0.35,2.18,3.17,0.14
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3188.95,1.11,1.08,0.34,2.06,-2.83,0.11
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3048.66,1.06,1.18,0.34,2.87,-20.7,0.14
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,10976.2,3.83,0.53,0.15,1.53,-6.86,0.09
6,BANKBARODA,Bank of Baroda,BANKS,3642665000,14651.79,5.11,0.82,0.30,2.4,0.14,0.14
7,BANKINDIA,Bank of India,BANKS,5251755000,8201.8,2.86,1.23,0.37,2.9,0.1,0.11
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3204.37,1.12,0.48,0.14,1.25,-5.25,0.15
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4129.72,1.44,1.08,0.43,1.75,-10.63,0.15
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2181.46,0.76,0.98,0.31,2.59,-10.94,0.11
11,CANBK,Canara Bank,BANKS,4100000000,6755.66,2.36,1.26,0.40,2.55,1.87,0.09
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5472.85,1.91,0.46,0.13,1.07,-0.33,0.12
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5334.51,1.86,0.53,0.15,1.61,-7.78,0.17
14,CORPBANK,Corporation Bank,BANKS,1434400000,1435.67,0.5,0.82,0.23,2,-4.94,0.12
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,9273.27,3.23,0.85,0.23,2.63,-12.15,0.14
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,6312.1,2.2,0.54,0.14,2.61,-11.2,0.17
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6277.44,2.19,0.67,0.13,2.13,6.5,0.13
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,5970.15,2.08,1.05,0.32,2.36,-4.26,0.13
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,4677.15,1.63,1.41,0.41,5.38,4.19,0.17
