Annexure II- S&P CNX Nifty Index : Feb  2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Feb  2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb  2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,9426,0.59,0.61,0.16,1.58,-2.25,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3059718172,9692,0.61,0.89,0.21,2.2,-6.58,0.1
3,AXISBANK,Axis Bank Ltd.,BANKS,4100884740,31309,1.97,1.29,0.50,2.56,-1.9,0.08
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,17165,1.08,0.64,0.17,1.89,1.86,0.1
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,31619,1.98,0.81,0.41,2.02,-9.8,0.06
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,7151,0.45,0.51,0.06,2.3,-9.71,0.09
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,40012,2.51,0.73,0.14,1.94,3.86,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19013752770,14728,0.92,0.89,0.30,1.74,3.24,0.08
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,15205,0.95,0.46,0.11,1.02,-9.78,0.08
10,DLF,DLF Ltd.,CONSTRUCTION,3394984680,7684,0.48,1.43,0.44,2.43,-5.38,0.08
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846136535,19450,1.22,0.48,0.12,1.69,-4.82,0.09
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,19160,1.2,0.54,0.16,1.36,-9.43,0.09
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1369108416,10658,0.67,0.88,0.27,1.74,-9.84,0.09
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4643299610,72996,4.58,0.99,0.48,1.77,0.24,0.08
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,13982,0.88,0.52,0.06,2.92,-10.28,0.07
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914356570,25874,1.62,1.64,0.52,2.56,-12.32,0.08
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182119802,29526,1.85,0.51,0.14,1.08,4,0.07
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2930259350,81682,5.13,1.12,0.46,2.45,0.14,0.09
19,ITC,I T C Ltd.,CIGARETTES,7717467380,89583,5.62,0.76,0.28,2.56,3.94,0.08
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11512407200,111768,7.02,1.51,0.62,2.5,-4.97,0.07
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870648465,144474,9.07,0.75,0.36,1.31,-3.87,0.06
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14607653980,15429,0.97,1.36,0.46,3.52,-1.39,0.09
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,8870,0.56,1.7,0.47,5.07,-7.16,0.1
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,25540,1.6,1.14,0.49,2.46,-0.83,0.09
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3681506650,14305,0.9,1.17,0.41,2.85,5.14,0.11
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1215610018,81501,5.12,1.07,0.48,2.97,-6.89,0.08
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069700545,29199,1.83,1.12,0.36,2.7,-13.68,0.1
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,15983,1,0.68,0.20,1.72,-3.56,0.1
29,NTPC,NTPC Ltd.,POWER,82454644000,21709,1.36,0.57,0.25,1.66,-10.16,0.09
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,36470,2.29,0.64,0.19,2.01,-8.18,0.09
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14008,0.88,0.48,0.17,1.22,2.49,0.06
32,PNB,Punjab National Bank,BANKS,3153025000,14131,0.89,0.85,0.36,2.05,-3.84,0.1
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2106261540,6624,0.42,0.88,0.29,2.24,-20.23,0.07
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5356,0.34,1.34,0.39,4.76,-9.21,0.1
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,5688,0.36,1.17,0.21,3.99,-30.09,0.12
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32892220340,163325,10.25,1.05,0.51,1.9,4.89,0.07
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2674202620,8524,0.54,1.23,0.23,6.29,-13.8,0.11
38,RPOWER,Reliance Power Ltd.,POWER,28050826060,6060,0.38,1.05,0.26,2.96,-18.32,0.11
39,SESAGOA,Sesa Goa Ltd.,MINING,859702559,9941,0.62,1.29,0.29,2.75,-19.9,0.08
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,12805,0.8,0.61,0.13,0.4,-0.77,0.04
41,SBIN,State Bank of India,BANKS,6349989910,67811,4.26,1.15,0.43,2.33,-0.45,0.05
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,8935,0.56,1.24,0.41,1.89,-5.19,0.08
43,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,23316,1.46,1.53,0.46,2.23,0.06,0.09
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,15913,1,0.56,0.14,2.08,-3.94,0.11
45,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3554731294,3408,0.21,1.32,0.29,3.31,-5.57,0.1
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,56382,3.54,0.83,0.28,1.71,-4.25,0.08
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5372697370,37852,2.38,1.51,0.42,3.78,-5.61,0.07
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,18612,1.17,0.67,0.28,1.64,-7.48,0.1
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9593890170,39922,2.51,1.38,0.52,2.15,-5.09,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4907577530,22178,1.39,0.81,0.28,1.72,0.02,0.09
,,,,,1592942,,,,,,
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-March-2010 to 28-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2011 to 28-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
